,cate,product,cost,review_star,review,tag
0,Amazon Launchpad,"Kids Formula & Fiber Daily Gummy Multivitamin: Fiber for Digestive Health, Vitamin C, D3, & Zinc for Immunity, Omega 3 Fish Oil (EPA & DHA), B6, Methyl B12, 120 Count (Pack of 1)",$9.50 - $32.18,4,"Tastes great, sugar-free is awesome, especially with no artificial sweeteners, colors, or flavors; texture is great, except each gummy has a few hard little bits (maybe dried lemon or orange rind?). Ingredients are high-quality, I like that there's natural vitamin E (d-alpha and not dl-alpha) and that instead of folic acid, these vitamins have the superior form, methylfolate. At the recommended four-per-day rate, though, 3 people use up a 120-count bottle every 10 days. In other words, they're fairly expensive. They're also fairly low in Vitamin A and don't contain iron, which is good in the sense that kids aren't likely to be poisoned by eating too many, but we'd like to have a bit more of those nutrients in our vitamins. One child was also disappointed to learn that he won't be able to eat them after he has braces put on, because chewy things can pop the brackets off. The upside is that I don't have to remember to give them out every day because the kids remember on their own.",positive
1,Amazon Launchpad,"Kids Formula & Fiber Daily Gummy Multivitamin: Fiber for Digestive Health, Vitamin C, D3, & Zinc for Immunity, Omega 3 Fish Oil (EPA & DHA), B6, Methyl B12, 120 Count (Pack of 1)",$9.50 - $32.18,5,"I don't even know where to begin. Our 7 year old son tested off the charts for impulsivity, inattention, and hyperactivity in his ADHD evaluation and was diagnosed with severe ADHD in February of this year. He had struggled in school since kindergarten and received bad reports almost every single day from his teacher this year. He was frustrated because he couldn't control it, and we were distraught and all we wanted to was to do what was best for him. We wanted to help him so badly. I scrambled to find a doctor to set up and appointment with to discuss medication even though I am typically adverse to any medications for our family unless absolutely necessary and always seek natural methods first if possible. We were only a couple of weeks away from putting our son on ADHD pharmaceuticals. In a last ditch effort, I ordered Smarty Pants gummies and prayed with all my heart they would help. We also eliminated ALL artificial food dyes and began to eat as organic and clean as possible. After one week, we already noticed a difference. After 2 weeks, the difference was substantial. We went to his doctor appointment and she noticed such a difference that she was fully supportive of continuing our natural methods and even wrote a letter to support our decision to his school. The good reports started to come back from school and we are now almost 3 months in and we have only received a couple of semi-tough day reports. Overall his teacher has given us positive reports for weeks now and that has NEVER happened. His teacher even told us she no longer felt it necessary to have a support team meeting that they had arranged with several of his teachers and staff to strategize what to do next to help him because he has made so much improvement!!!! He still forgets from time to time and still needs redirection at times, but he was so bad before that he could barely even function and has now gone to fully succeeding and thriving! He is a completely different kid and we are eternally grateful for finding something that has completely changed our son's life and given him the ability to be the incredible kid he has always been. I tell everyone about these and joke that I would literally be their ""spokes-mom"" if I could because I love them so much.",positive
2,Amazon Launchpad,"Kids Formula & Fiber Daily Gummy Multivitamin: Fiber for Digestive Health, Vitamin C, D3, & Zinc for Immunity, Omega 3 Fish Oil (EPA & DHA), B6, Methyl B12, 120 Count (Pack of 1)",$9.50 - $32.18,5,"i bought it for my grandson , he needs some good vitamins for his whole body, thanks again, i will ordered before he finish it",positive
3,Amazon Launchpad,"Kids Formula & Fiber Daily Gummy Multivitamin: Fiber for Digestive Health, Vitamin C, D3, & Zinc for Immunity, Omega 3 Fish Oil (EPA & DHA), B6, Methyl B12, 120 Count (Pack of 1)",$9.50 - $32.18,3,"We ordered these and received them quickly. They were immediately brought inside and not left out in the heat. They look weird with goldish-type veins all over them but smell fine. I did see there were several other reviews with similar concerns. I was able to text message the actual Smarty Pants support to ask questions about why the sleep kids gummies look like this and if they were safe for consumption. This is the response I received from the company:

""Part of the production process includes drying the final gummies - and during the drying time the surface appearance of some gummies can be impacted more than others. This variance can occur in the same batch and also from batch to batch. There is no quality concern or safety risk from this appearance. We use a combination of herbal ingredients, including Saffron Extract, in SmartyPants Healthy Kids Sleep. Due to the nature of the saffron extract, there may be some natural color variance in the gummies. However, you can rest assured that this doesn't impact the purity, potency, and safety of the product, which are all tested for at a third-party lab. We are sorry for the concerns this has raised.""

I only gave this a three-star rating right now, because we only used them for one day. But I look forward to updating it after using it for a few weeks.",fair
4,Amazon Launchpad,"Kids Formula & Fiber Daily Gummy Multivitamin: Fiber for Digestive Health, Vitamin C, D3, & Zinc for Immunity, Omega 3 Fish Oil (EPA & DHA), B6, Methyl B12, 120 Count (Pack of 1)",$9.50 - $32.18,4,Great flavor. I'm a bariatric patient and need to take vitamins daily. I have to remind nyself not to take TOO many of these yummy little bites!,positive
5,Amazon Launchpad,"Kids Formula & Fiber Daily Gummy Multivitamin: Fiber for Digestive Health, Vitamin C, D3, & Zinc for Immunity, Omega 3 Fish Oil (EPA & DHA), B6, Methyl B12, 120 Count (Pack of 1)",$9.50 - $32.18,5,"According some ONLINE research, these are good. We trust this brand with multivitamins too. Started to know more about this brand because Costco carries is, and Costco usually carries reputable brands, imho. So we thought maybe we could trust them w probiotic supplements as well.

Because my son doesn't drink milk, our pediatrician makes sure that we have cheese and yogurt, and we add this to make sure that my son's gut is as healthy as possible. After all, immunity stems from the gut. Since we started this (along w multivitamins, and vitamin c from this same brand), my unmasked son hasn't come home sick with anything from preschool, which is an amazing feat. Fingers crossed he continues to fight off anything that comes his way. We of course use these as SUPPLEMENTS to a healthy diet. I sent him in w a full tummy of fruit, yogurt, and an egg on rice every morning.

Good luck with your decision, and I hope this helped a bit. :)",positive
6,Amazon Launchpad,"Kids Formula & Fiber Daily Gummy Multivitamin: Fiber for Digestive Health, Vitamin C, D3, & Zinc for Immunity, Omega 3 Fish Oil (EPA & DHA), B6, Methyl B12, 120 Count (Pack of 1)",$9.50 - $32.18,5,"We did not know what to expect when we gave our toddler these gummies for the first time. However, I must report we were pleasantly surprised to see him consume all three vitamins and ask for more. So that tells us he can not only chew but also enjoys the gummies. There will be no problem getting him to take his daily dosage.",positive
7,Amazon Launchpad,"Kids Formula & Fiber Daily Gummy Multivitamin: Fiber for Digestive Health, Vitamin C, D3, & Zinc for Immunity, Omega 3 Fish Oil (EPA & DHA), B6, Methyl B12, 120 Count (Pack of 1)",$9.50 - $32.18,5,"My 4 year old has never slept well. After becoming a big sister, the jealous behavior coupled with long standing bad sleep habits had her awake hours past her bedtime and multiple times a night. To say it was a battle would be putting it lightly...all with a newborn to juggle.

She has been taking Smarty pants kids sleep for 7 nights, and fallen asleep as soon as her head hit the pillow for the past 4. These vitamins are life changing for her (/me)!

I give her a vitamin at the beginning of her routine and 20-30 minutes later she's asleep. I love that there's no melatonin. We plan to use these for 3ish weeks and then wean off for the rest of the bottle. I'm so grateful to have these! Hoping we finally get some good sleep habits!",positive
8,Amazon Launchpad,"Kids Formula & Fiber Daily Gummy Multivitamin: Fiber for Digestive Health, Vitamin C, D3, & Zinc for Immunity, Omega 3 Fish Oil (EPA & DHA), B6, Methyl B12, 120 Count (Pack of 1)",$9.50 - $32.18,5,So I am not sure what in these vitamins helps migraines but my 9 year suffers from migraines and we literally just put two and two together after him being off of these vitamins for a week that his migraines greatly increased to almost everyday the week he missed! He has been taking these vitamins for 4 years. He started with migraines at age 3 and suffered migraines 1-3 times a week. We started him on these vitamins after the were suggested to us for our daughter with scoliosis because of the vitamin D in them so we just started them both on them and his migraines went to maybe 2-3 per month and having greatly decreased even more to maybe 1-2 a month but going a few months a year without.,positive
9,Amazon Launchpad,"Kids Formula & Fiber Daily Gummy Multivitamin: Fiber for Digestive Health, Vitamin C, D3, & Zinc for Immunity, Omega 3 Fish Oil (EPA & DHA), B6, Methyl B12, 120 Count (Pack of 1)",$9.50 - $32.18,5,every morning my kids remember me to take their viatmen,positive
