,cate,product,cost,review_star,review,tag
0,Appliances,Silonn Ice Maker,$95.39 - $140.62,5,"I just got mine yesterday earlier afternoon I let it sit like it says in the manual. For 24hrs. I then ran a cleaning cycle through it. I noticed that if you only fill it up to just before where it starts to dip on about a half inch below the fill line your Ice won't come out wet when you move the basket of ice to a bag for freezing it in the freezer. Also for those having trouble with the sensors in it if you take a Qtip an just put 1 end in Alcohol an gently wipe the sensors with it an then use the other end to dry them off. That will fix the problem. I use only jugs of Filtered Drinking water in mine you can get it at Wal-mart for a $1.08 a gallon. Mine has been making clear Ice since I started it an I plan on leaveing it on all the time. Only time will tell how long this machine will last hopefully a long time cause I have a small fridge an no room for Ice trays nor bags of Ice as for my drinks it keeps them nice an cold I use soda pop right out of the box an it gets cold thanks to the ice this machine makes real fast. So am really happy an will recommend this machine to any one who needs Ice but has no room for it like me.
Update: I have read all the Reviews regarding this machine an see many people complaning about the Ice not lasting very long in the basket an also about it coming out wet. If you have yours in the kitchen where a lot of heat is generated from the stove an other appliances then the heat is what is making the Ice melt real fast. My Ice maker is on the dinning room table away from the kitchen an the Ice doesn't melt very fast an I am making small Ice not big so the basket is filling up faster than I can use it but it is staying cold an unless I wait several hours it is not melting away my machine made a full basket in only 40 mins. an then stopped because the basket was full I took a nap an still woke up to it still saying it was full also the Ice doesn't melt very fast in my on the go tumbler I still have a 3/4 full of Ice after drinking all of my pop so if you want the Ice to last longer I suggest you move it out of the kitchen an put it somewhere that is away from any heat an you will be suprised at how long the Ice lasts.
Update: I have had this Ice Maker going nonstop for almost a week now an it is working great. I have found out that for people who are using it an then turning it off that everytime you turn it off an then on again that you are sending a surge through the system which shortens the life of the Ice Maker if you want it to last a long time that you need to let it run 24/7. I also have discovered that if you like fountain drinks like you buy at places like Mc. Donalds an convience stores it is best to use the small setting also the large setting is good for putting in coolers that you take when you go on picnics an camping to keep food an fish if you like going fishing to keep them fresh. Both small an large melt at the same rate I know this cause I have tried both in drinks. The Ice Maker keeps the Ice good over night I have mine running 24/7 an every morning wake up to 3/4 of the basket full of Ice. I believe it is because of where I have mine sitting away from any heat source. As soon as I can I am going to buy another one for the future an would highly recommend this Black Ice Maker to everyone just remember to leave it running 24/7 an it will last a long time. The Ice has been melting so slow that I have had to add water 3 times in just 1 week so those that have said that the ice melts to fast must have their Ice Maker next to a heat source cause the Ice does not melt fast enough to add to the water source to make more when it is not near a heat source. So the conclusion is if you want a lot of Ice an you want it to last place your Ice Maker in the dinning room or in the bathroom or some other room away from any sunlight or other source of heat. Also the Ice Maker keeps the Ice frozen just like as if it came from a fridge Freezer. An it is just as hard as if you took it out of one. I know cause I did a test to find out I love this little Ice Maker alot an I know if you follow my suggestions you will too.
Update: Well I have had it running nonstop 24/7 now for over a month an it is still working this is the best $108 I have ever spent. I have had no problems what so ever with it I just keep it full of water an it keeps making Ice for me I love this Ice Maker an have been telling my friends to get one cause it will save you alot of money on buying Ice from the stores.
Update well my Ice Maker is still going strong an is making this summer alot more enjoyable I just let it run all the time an scoop out Ice when I need it. Cause I only occasionally move the ice in the basket to make room for more in it by breaking up what little bit has started melting so it only runs when I do that so it is not being over worked which is why I think some are not lasting very long is cause they are being made to produce a full basket all the time instead of just a little an then getting a break bye letting some of the ice melt a little. I love my Ice maker an I will buy another 1 to put back for when this one finally quits.",positive
1,Appliances,Silonn Ice Maker,$95.39 - $140.62,5,"The first step was to give the machine a good initial cleaning, as instructed in the manual. The cleaning cycle completed after just a few minutes. Then, I added (bottled) water, replaced the basket, and pressed the “select” button for S(mall) or L(arge) “cubes”. (It would be more accurate to make the choices Small and Smaller, but L and S sounds better.) Once I selected L, the ice-making cycle began.
After a few minutes the first batch of ice got dumped into the tray, and another cycle began. That continues until the tray is full of ice or the machine runs out of water. In either case, the machine pauses until the problem is corrected. The best approach is to make sure neither of those things interrupts the process.
The machine itself is quiet enough, but I can easily hear the newborn ice “cubes” falling into the basket, even when I’m in another room watching tv. So, I just notice when I hear that sound, which tells me everything is working well. But every 45 minutes or so, I check on the machine, empty the tray, and check the water level. I don’t use the scoop at all. It’s easier to just lift out the tray and empty the ice into a 1-gallon plastic food storage bag. Each time I do that, I also drop the bag on the counter to break up the ice “cubes”, which tend to stick together into one giant ball of ice. Breaking up the “cubes” often prevents them from getting too welded together. (They aren’t really cubes at all; more like miniature test tubes.)
You can see through the translucent lid well enough. But, even better, you can lift the lid any time without interrupting the ice-making. You can also lift the basket out at any time, but you wouldn’t want to do that just as ice tubes are being emptied into it. (They would simply fall into the water and get recycled into new ice tubes. No damage, just wasted time.) So, it’s a good idea to wait until just after newborn ice tubes have tumbled into the basket, then empty the tray and add water if needed.
You would be very disappointed if you got the machine started, then left for work, then returned 8 hours later expecting a nice supply of ice tubes. It doesn’t take that long for the basket to get full, stop the ice-making, and start melting the ice tubes in the tray. You certainly don’t have to stay with the machine all the time, but you do need to give it your attention every 45 minutes or so. (Maybe an hour.)",positive
2,Appliances,Silonn Ice Maker,$95.39 - $140.62,5,"First thing, it's awesome. The ice tastes good, and the speed is nice, but there is an issue with the marketing. Ultimately, I'm returning it.

----Capacity----
The machine makes a total of one bowl of ice. Not a giant bowl of ice, no. The capacity is a cereal-sized bowl of ice. It will not make more than a cereal-sized bowl of ice until you empty it. So, unless there is only 1 person using the machine or you and whomever you're with will never use the ice at the same time, then you should be ok.

Some more perspective: I can fill two glasses full of ice and then the ice runs out.

---Melting Point---
Like all ice machine makers of this style, the ice does melt somewhat quickly but it's okay enough that it will not bother me. Also, it's soft enough to chew and enjoy, so that might contribute to the ice disappearing from my cup quite often.

---Energy/Run time---
Although I would expect the ice to melt all the time in the summer, it doesn't really. Since it's bunched with other ice, it sorta acts like an insulator. Albeit not the best insulator but the ice isn't melting as quickly as I imagined. Therefore, after it's full, I probably hear it make ice every 3-4 hours. Yesterday I was up all night and only heard it make ice twice during the very late hours.

---Size---
The height is about the length of my keyboard without the number pad. My number pad is detached.

---Overall---
If you meet the criteria I mentioned in the capacity header, don't second guess yourself and just buy it. This is seriously a good product. The ratings speak for themselves.

---Alternatives---
If you absolutely need a larger capacity machine, finding a good deal is risky. The GE opal is the next lineup that matches the quality and reputation of this machine. It's very pricey.",positive
3,Appliances,Silonn Ice Maker,$95.39 - $140.62,4,"UPDATE: 08/14/2022: My beloved icemaker is now emitting an oily yellow chemical into the water retaining basin. As you can imagine, I won't be using this icemaker again! Naturally, it happens when I'm just past my Amazon return window so I've contacted the manufacturer, Silonn for assistance with getting a replacement. I will update my review according to their response. I do hope it was just a defective item and they will send me a new one. I miss it already! I'm taking one star off for now but if they replace it promptly and the new one works I'll add back the star!

I've been looking at these for a while now since my new fridge didn't have an ice maker and I thought I could just use ice trays. TBH the ice trays just weren't for me. I work 3 jobs and I just don't have a lot of time to mess around with ice trays. I understand if you think that's stupid and if ice trays work for you, more power to you but they just didn't work for me. So, anyway, I've been looking at these countertop ice makers but they are so pricey and I just couldn't bring myself to hit ""place order"" on any of them. But I was going to have guests over for dinner and I wanted to have ice so I finally bought this one after researching about 50 of them. I LOVE it. I use it every single day and so does my daughter. I love having easy, quick access to ice without having to mess with ice trays. This machine is easy to refill, easy to clean and easy to operate. I've only used the small ice cubes and they are plenty large enough for me. It makes ice fast. It is a bit noisy but my kitchen is one of those kinda long ones so I just put it on the counter farthest from the living area and I really only hear it when I'm in the kitchen cooking and making noise anyway. If your kitchen is right near your living or sleeping areas it might be a problem for you but it's fine for me. I love it so much that I'm really kicking myself for not buying it sooner. If you are teetering on the edge of deciding to buy one and you see this review, buy it! It is worth every penny.",positive
4,Appliances,Silonn Ice Maker,$95.39 - $140.62,5,"We've had this ice maker for a few months and we're so happy with it. Here's the breakdown.

Pros:
-Fast: each cycle only takes a few minutes so you can have ice very quickly once you turn it on
-Reliable: it's worked perfectly for months and we use it often
-Easy to clean: the self-cleaning feature is great, and a removable plug in the bottom of the chamber makes it easy to drain any old water or cleaning liquid.
-Great ice texture: not too hard, can easily be crunched if desired

Cons:
-Sound, potentially: it's not noisy, but it's not silent either. You can hear it running, and the ice clatters a bit when a cycle is over, but it's not obtrusive in our opinion. But if you're noise sensitive, it might be too much for you.
-Wet ice: there's no refrigeration for the ice once it's made, so as it accumulates and fills the basket, it begins to sweat and slightly melt. This is solved by regularly emptying the basket while the ice maker is on, but it also means the ice likes to stick together once you put it in the freezer, because it was wet. If you use a bag for storage, dropping it against the counter breaks up the cubes easily, so we don't find this problematic, but other users have mentioned it as a downside, and just confirming that it's true--yes, the ice sticks together easily because it's wet when you put it away.

Overall we're very happy with our choice of ice maker and love the teal color we chose. It coordinates with our kitchen and doesn't take too much counterspace. We were previously making ice in trays and therefore used ice sparingly, but now we use it much more freely because we have ice in bulk at our fingertips. Excellent aid for staying hydrated and having ice available for other needs as well.",positive
5,Appliances,Silonn Ice Maker,$95.39 - $140.62,4,"For the value this is a great unit. I had never had before so there were a few things I didn’t realise that is not a reflection on this unit just these type of ice makers.
1) The capacity is not huge. To make a lot of ice you have to often empty the storage basket. I would say it fills about every hour roughly. So for lots of ice you need to transfer to a storage container in the freezer.
2) It doesn’t keep the ice frozen over a period of time. If left in the basket the ice melts and than is refrozen again through the process.
3) Due to the way the ice is made there is a hollow part to the ice. Therefore the ice does melt relatively quickly when added to liquid.
4) If you do want a lot of ice you need to empty the basket and refill the water frequently. This is not a set and forget overnight option for lots of ice. To make the 20 odd pounds of ice the adds all says these machines make a day you would need to recheck almost every hour, empty the basket and refill.
5) It is not super quiet. I wouldn't say it’s loud but definitely you hear it dropping ice if in a room nearby at night.
6) Because of the hollow centre of the ice I wouldn’t use this ice to fill a cooler for example if going out for a day trip. I would still purchase a bag of solid ice.
Overall still a great machine and I use it often (I turn it off and on allot to suit my ice demands) but just be aware of its limitations as a bulk ice maker.",positive
6,Appliances,Silonn Ice Maker,$95.39 - $140.62,5,"I took a chance on this ice machine because of the reviews. I am beyond happy with this purchase. Easy setup and had ice within 30 mins! This currently fits our needs. However, if you are looking for a machine that makes alot of ice at once then pick a larger capacity machine. This would work perfectly for dorm room or for those of us who don't use alot of ice. Again, it's quick to make ice but this machine would not be ideal if you were planning on using it for parties. It's compact and fits nicely on the countertop. It does make some sounds when dropping the ice into the bucket but it's minimal sounding (nothing loud and obnoxious). Our refrigerator ice machine doesn't work, and prior to that we went through alot of filters, which can be expensive. This ice machine has a cleaning push button. It makes large and small ice cubes.",positive
7,Appliances,Silonn Ice Maker,$95.39 - $140.62,4,"This makes bullet shaped ice cubes amazingly fast ... about 9 cubes every 6-10 minutes or so. The holding compartment is not refrigerated so the cubes will eventually melt. The melt water is collected and recycled into the next batch of ice in a continuous process. The process is stopped when the ice bucket reaches a maximum level.
This works extremely well, but the ice container is very small and will fill only about a 16oz glass full. While the claim of ""26# per day"" is probably accurate, you have to be there to empty the tray every time it gets full (and maybe every 30 minutes or so throughout the night!).
As such, don't expect to be able to fill your big ice cooler unless you're prepared to catch and store the ice as its being made.
When the ice bucket is full, the machine cycles on and off only rarely so the small amount of fan/compressor noise is tolerable.
Be patient when you receive it as it must sit unplugged for 24 hours after shipping.",positive
8,Appliances,Silonn Ice Maker,$95.39 - $140.62,5,"The color is awesome, first off. It makes ice quickly and efficiently. And yes, I am sure it can make 26 pounds of ice in 24 hours but remember that you have to empty the tray the ice lands in approximately once per hour. If you don't, it will stop making ice. Also, the ice will start melting if it is in the tray too long. So you need to keep your eye on it to make sure it doesn't stop making ice because the tray is too full or your ice melts. This is not a defect. It seems all countertop ice machines are this way.

In my experience, I can fill a gallon freezer bag (ziplock) in about 4-5 hours. Plan to empty the bin at least once per hour and put the ice straight into your drinks or freezer. I thought this machine would replace my need for buying large bags of ice for parties, but it would take days to achieve that, unless you stay up all day and night tending to the machine. So this machine, realistically, is for light, daily use. Plan on really stocking up on your ice or keep buying bags at the grocery store for large events.

Overall, this is a great machine, takes up little counter space, and makes great little ice cubes with minimal effort. I definitely recommend it. Thanks!",positive
9,Appliances,Silonn Ice Maker,$95.39 - $140.62,5,"*** IF YOU ARE LOOKING FOR CLEANING INSTRUCTIONS, SEE #3 BELOW ***

This is a great ice maker, but here are a few things to consider.

1. It is not an icebox, so any ice it makes will start melting after it is dispensed -- and because it's not cubed ice, I think it probably melts a little faster. The ice is stored in a little basket above the water tank, so it just recycles the melted water into new ice. The ice get a little wet and slushy the longer it sits, but fortunately this machine makes fresh ice quickly.
2. The ice accumulates in such a way that it usually triggers the ""ice basket is full"" sensor even though the basket isn't really full. So usually in the morning I'll open the lid and ""pull"" the stacked ice away from the sensor and into the basket so it will resume making ice immediately.
3. Cleaning the machine isn't difficult, but it's a little time-consuming. Here's how I do it. (A) Drain the water tank via the plug under the water tank. (B) Replace the plug and add 2 cups of vinegar and 2 cups of water to the water tank. (C) Start the cleaning cycle by pressing the ON/OFF/CLEAN button for 5 seconds -- the S / L lights will alternate blinking when the cleaning cycle is running. (D) Wait -- I haven't timed it but it seems like 20 or 30 minutes. (E) After the cleaning cycle has stopped, drain the water tank and refill with fresh water. (F) Run the cleaning cycle again so you don't end up with vinegar-tasting ice. (G) Drain once more before resuming making ice.

Again, none of these issues are deal-breakers. It makes ice quickly. We drink a lot of ice coffee in our house, so this machine is perfect. Just keep in mind it's not an icebox and needs occasional cleaning depending on your water quality.",positive
10,Appliances,"AGLUCKY Counter top Ice Maker Machine,Compact Automatic Ice Maker,9 Cubes Ready in 6-8 Minutes,Portable Ice Cube Maker with Scoop and Basket,Perfect For Home/Kitchen/Office/Bar",$119.99 - $139.99,4,"I like the ice maker. I love the shape, and ""crunchiness"" of the ice. Exactly what I wanted. What I wish I had known (although I love it anyway) is that it's not really a ""freezer."" Once the ice is made, if you don't use up the tray, the ice melts, and recycles to make another batch. (Which makes sense. I just thought that it would keep the ice bucket full, and then keep it frozen till I was ready to use it. Instead, if you don't use the ice that it makes immediately, it melts, and cycles again, over and over till you turn it off.) What I've been doing is turning it on when I get home from work, and use the ice during the evening, then turn it off. The noise doesn't bother me at all. It's also a nice sturdy machine. I would like the price point to be a teeny lower (or, would like a machine capable of making more ice at one time.)",positive
11,Appliances,"AGLUCKY Counter top Ice Maker Machine,Compact Automatic Ice Maker,9 Cubes Ready in 6-8 Minutes,Portable Ice Cube Maker with Scoop and Basket,Perfect For Home/Kitchen/Office/Bar",$119.99 - $139.99,4,"Felt kind of silly buying this for my husband for Father's day. But he loves ice in his drinks and we've got the samsung fridge ice maker so, if you know you know. :p The whole family LOVES this thing. Never had a problem with it but this week the little paddle that scoops the ice suddenly isn't working anymore. It's very weak, it starts to scoop and then can't complete the motion. He's looked into it but can't see anything broken or how to fix, so we've ordered a new one. Should it have lasted more than 14 months? Yeah, probably.
But there's a decent coupon savings right now, so when you average that cost over another 12 months would we pay about $7 a month to have ice again? Yeah. But hopefully this next one lasts longer!",positive
12,Appliances,"AGLUCKY Counter top Ice Maker Machine,Compact Automatic Ice Maker,9 Cubes Ready in 6-8 Minutes,Portable Ice Cube Maker with Scoop and Basket,Perfect For Home/Kitchen/Office/Bar",$119.99 - $139.99,4,"Overall I really like the ice machine. It makes ideal sized cubes for my liking, it’s quiet, and it works quickly. My biggest gripe is that the ice melts really fast. I hear it dump a fresh batch and by the time I go to replenish my beverage a bunch of the top layer has melted and formed a large half-melted conglomerate with the ice below and I have to hack at it with the little plastic shovel it comes with to get myself an adequate amount of ice. It also melts super fast in a drink… faster than other ice cubes I’ve experienced. I dump a scoop into a room temp beverage and it’s gone within minutes. I’ve spent most of my life’s savings on fancy metal mugs that keep your drinks cold for eternity but sometimes I just want a regular plastic tumbler of water with some ice that stays ice for more than 2 minutes…",positive
13,Appliances,"AGLUCKY Counter top Ice Maker Machine,Compact Automatic Ice Maker,9 Cubes Ready in 6-8 Minutes,Portable Ice Cube Maker with Scoop and Basket,Perfect For Home/Kitchen/Office/Bar",$119.99 - $139.99,5,"My story is probably like that of many others, issues with the ice maker on my $2000 fridge that is only 4 years old. We had already had the ice maker replaced twice and now it works when it feels like it. So this little table top icemaker was the perfect solution and it does work just fine, incredibly simple to use, just fill it up with water and turn it on. It gives you a choice of large or small ice cubes, the cubes are cylindrical with a hole in the middle, it stops making ice when the bin is full but will start back up again automatically after you have removed some cubes. I dump the water every couple days and clean the inside with bleach a couple times a week, no other maintenance necessary, it provides enough ice for the two of us.",positive
14,Appliances,"AGLUCKY Counter top Ice Maker Machine,Compact Automatic Ice Maker,9 Cubes Ready in 6-8 Minutes,Portable Ice Cube Maker with Scoop and Basket,Perfect For Home/Kitchen/Office/Bar",$119.99 - $139.99,5,"Great little ice maker! Pumps out a batch of ice about every 5-6mins. Keep in mind, this isn't ment to make enough to fill an ice chest...just for drinks or something like that. It probably could but only makes enough ice until the compartment is full then it stops making ice. So if you dumped the ice every 10mins and remembered to fill the water every so often it could be used for icing down a cooler. Mine is running all day...what doesn't get used just melts back into the tank and it just keeps cycling. Needs cleaning about every two weeks or so but is easy to do. Makes a little bit of noise but is to be expected.",positive
