,cate,product,cost,review_star,review,tag
0,Apps & Games,Minecraft,$6.99,4,"I have been play Minecraft since the beginning of 2022 I luv this game! I stared out as a slow gamer. Small houses and dying multiple times. But now I'm building big houses surviving. Fighting mobs. Finding diamonds. And very soon I'm going to get Java on my laptop. I have learned so much! Thank for being a awesome game.
Here are some updates I want badly.
1. Sharks whales jellyfish. And more sea creatures.
2. Make villagers look boys and girls.
3. make girl zombies
4. Add fireflies
5. Make it so on bedrock edition you can hold torch and other stuff in off hand
6. Make more skins free.
7. Make it so you can search the skin you want.
8. Make shaders free and already In game.
9. Add more animals. Like Jaguar and tigers and lions and bears OH MY!
10. On Character customization make more clothes free.
That's really it! Hope you enjoy the game as much as I do!
Xoxo VioletPlays",positive
1,Apps & Games,Minecraft,$6.99,5,"hardlyre probably reading this because you heard rumors about this super awesome game called Minecraft, and you want to check it out yourself. Well if you do spend it the $7.99 to buy this game then that will be the best $7.99 spent in your entire life. If you search google for what are most popular games on the planet then Minecraft would be on that list. It's basically you're in a world and you're surrounded by blocks and pixels. And you have to try to survive by getting materials and stuff. But when the sun sets monsters come out and try to kill you. You can also go to the End and the Nether and fight bosses and stuff. There is also creative mode where you can fly around and build whatever you want. Your friends can join you too if they have Minecraft and you can all build together!!! Minecraft can be played on: Computer, IPad, IPhone, Kindlefire, Nintendo Switch, Nintendo DS, Xbox, And PS.
There are also mods created by other Minecraft players that can make the game more interesting. The only thing I would change about Minecraft Is that they'd add Hardcore mode to bedrock edition. 1,000,000,000,000,000,000,000,000/5 Stars!",positive
2,Apps & Games,Minecraft,$6.99,4,Online doesn't work because my fire tablet can't handle it but still I like it. I have a TNT mod and it works but I need to not through to much dnt or it will turn of and some of the other mods I downloaded don't work and because I said some of them don't work you might think the rest of them do but the rest of them don't becase the rest of them are for Minecraft PE and I don't have that so you might think why did I download it if it's for Minecraft PE but when I downloaded it I did not know it was for Minecraft PE I knew when I started playing it.,positive
3,Apps & Games,Minecraft,$6.99,4,"I love this game and everything about it and ive been playing sence 2016. But there's one thing, i can NOT update it. I've tried everything, both update buttons, restarting my tablet, turning it off and on, even my dad who works with computers can't fix it. I'm stuck in 1.17 and can't join anyone's world. I'm playing on Samsung if anyone can fix this.",positive
4,Apps & Games,Minecraft,$6.99,4,"I love playing Minecraft but I cannot never Join one of my worlds!😤 It always kicks me out And whatever I do I cannot fix it! It's a really fun game, it's just that I have fire tablet So it never works! same problem with my twin sister! We can never play it And it makes me sad cause it's a really fun game😢 but y'all have a fun time playing Minecraft!😁 bye y'all!👋✌",positive
5,Apps & Games,Minecraft,$6.99,4,Has anybody else heard the clicking of a pen on Minecraft cause I am. I was putting a fence around my garden then suddenly I hear the what sounds like somebody clicking a pen top but when I turned around to see the noise nobody was there. Its annoying so please like fix it or something it gets on my nerves!!!!💢,positive
6,Apps & Games,Minecraft,$6.99,4,Is a great game to play but When I play It takes a battery And when there is no WiFi You have to make a World And You have to get The things you need To survive And if you have friends Your friends can join If you have Them on the visitor then you're OK But if not They can Change it And make Your progress To nothing So I'm just saying the truth No hates😁,positive
7,Apps & Games,Minecraft,$6.99,4,This is one of the best games I have ever seen But it won't update But I am stuck on 1.19.20 So that's why I give it A 4 star rating.,positive
8,Apps & Games,Minecraft,$6.99,4,I like this game but it won't let me play on my firetv tablet I would play on my phone and my little sister would play on my tablet now we can't.,positive
9,Apps & Games,Minecraft,$6.99,5,"Minecraft is an extremely fun game to play with friends and family, its sparks creativity and I have been plays by it for years. Just $20 has changed my entire life, for the better. Here are reasons why you should download:
1.) Minecraft is a fun interactive game that is constantly changing, he w updates add more features and generally make the game more interesting and exciting, as of now (1.17) the added plenty of new features with huge plans in advance, I rate this feature 10/10.
2.) Minecraft is easy to play and connect with freinds, There is servers and every seed (world generation code thingy) changes the generation creating a unique experience for every server. I rate this 10/10
3.) Minecraft have many exciting mobs (or animals/monsters) to battle, farm, care for, etc. The vast majority of the game has exciting animals that each serve a purpose, weather it's trapping a friend or making new ones, the mobs play a role in an exciting experience. I rate this 9/10.
4.) Minecraft has several different blocks that serve not only an aesthetic pupose, but an important purpose in making a dream come true! I rate this 10/10.
5.) Minecraft has several different modes that your character can be on, these include, survival, creative, and adventure. Each of these creates an entirely different experience for the player and I will list each one of these below.
Creative: creative mode is a mode that makes you indestructible, and allows you to fly around, you have every block in the game accessible to you and you can spawn every animal/monster. You can also build as much as you want as you are not constrained by material limits. I rate this feature 10/10
Survival: this is the main game mode were you have health hunger and limited resources, this is best for survivalist and for people looking for an adventure! This is the main way to beat the game and gives you plenty of access to unlimited amounts of fun! I rate this feature 10/10.
Adventure: this is a masochistics dream, you can't build (unless on a special block called an allow block) or break anything, its perfect for playing maps (e.g. cube craft, mineplex, etc. etc...) You can make it so that people cannot destroy your builds and so you can make fun and interesting games. I rate this feature 9/10.
6.) Commands, Minecraft has a special block that allows you to write in a form of code and allows you to do stuff you normally wouldn't be able to do. I love using command blocks to make interesting features and there is SO much potential once you learn the fundamentals. To use command your going to need to go into the chat, and type / this will give you access to most of the commands, one command allows you to do all of the commands, type in the chat /give @s command_block 1. This will give you a command block giving you access to every single command.
7.) Preformance, Minecraft's performance is decent as long as you have a good device and internet, however there is one block that crashes your game when you have to much, that's tnt, you light it and you may not only blow up the area but your device. I rate the preformance 7/10.

Key: 1 updates, 2 world generation, 3 mobs, 4 blocks, 5 game modes, 6 commands, 7 performance. In total I rate this game 90 Kjillion Out of 10",positive
