,cate,product,cost,review_star,review,tag
0,Audible Books & Originals,I'm Glad My Mom Died,$0.00 Free with Audible trial,5,"THIS IS BY FAR, THE BEST BOOK I HAVE READ ALL YEAR BY DEFAULT and I give Jennette McCurdy many props for writing this blockbuster of an read while being extremely honest about it and no sugarcoating, unapologetic, unfiltered, uncensored, no holds barred and a damn great fascinating read. ALREADY ONE OF MY FAVORITE BOOKS OF ALL TIME!

Right from page one, I was taken on a journey about her life growing up, the difficulties with her own mother with the emotional, physical AND psychological (going as FAR on her mother being in the shower with her until she was 17 while ""examing"" her in the process, made me gag) with being forced to be anorexic even as an 11-year old and parts of her adulthood made me cry really hard chapter by chapter and I couldn't even put down this book even for a second. None of the abuse that she has suffered isn't okay at all, child star or not, BAR NONE.

The stuff with her writing about the Creator made me really angry and sad especially the costume tests with the bikinis as she being underage at the time while her mother encouraging it truly horrified me to the core as I totally wished that I want to punch the Creator and even more after reading as justice for Jennette.

Also, the BTS stories on the real experiences of working on ""Sam & Cat"" that she wrote about even nearly getting her chance to finally show her directing skills only to be taken away from her at the eleventh-hour filming on set of S&C as they shattered her dreams while Nickelodeon tried to bribe her with a $300,000 hush money settlement for not going public about her experiences working with the network as she did the right thing on turning down after them protecting a predator for so very long.

The biological father twist was a huge twist to and how her cancer-stricken mom died while lying to her for her entire life even from beyond the grave disgusted me even more that she was forced to be the perfect daughter for a mom who I might as well say, ""The ULTIMATE NARCISSIST Mother from Hell that could Joan Crawford a run for her money"" and the journey of actually meeting her real father.

It was like sitting down and having coffee with Jennette as I was moved by her story and her finally getting her long-needed vindication with the difficulties of being a former child star and getting to share her story to the world and telling a true statement and reason why she doesn't want to return to the show that made her a household name and I don't blame her even after reading this blockbuster of an read with the amount of anxiety that has been stuck with her for years while living in an image that she didn't fit in with and never getting to experience her childhood courtesy of her own mother.

I admire Jennette's strength and determination for having to write this book even if it isn't for everyone and the amount of hours and years of healing. I say this from one writer to another, YOU HAVE A NATURAL TALENT FOR WRITING AND I'M SO READY FOR MORE OF YOUR FUTURE WORK WITH THIS NEXT STEP.

I GIVE THIS BOOK, 11 OUT OF 10 STARS AND TO BE HONEST, 1 BILLION STARS OUT OF 5 as a huge fan of her work and so many mad props and many positive praises that I won't be able to list about my life for this book cause Jennette McCurdy is one hell of an storyteller and I totally wish that I could meet her and give her a nice huge hug with my list of congratulations on how I really, really loved this book to which I'm sure she might be reading this review. :)

After reading this, I too am strongly glad that her mother died too and I have been hyped for this book for months and it is finally here as I totally hope others can read her story despite the overwhelming demand for this book and I hope you can see things in a different light after you read this masterpiece of a book along with some of the finest cover art I have seen in quite a long time with the most UNORTHODOX but really the greatest book title I have ever seen in years of all my life growing up reading books and all of 2022.

Already planning to re-read it again and again and planning to get the audiobook to fully experience this with her narration. GET THIS BOOK ASAP AND I'm glad her mom died also.

I totally hope the success of this book will make Hollywood really wake up about former child stars being mistreated for different reasons and having their stories being told like Jennette's while putting Dan Schneider once and for all behind bars while we're at it for all the crimes he also committed toward her.",positive
1,Audible Books & Originals,I'm Glad My Mom Died,$0.00 Free with Audible trial,4,"I had my child at 38. By the time she was finished with cartoons and started liking ""peoplie"" shows I was in my 40's . ICarly, Sam & Cat were 2 of her favorites. I have to admit I loved both of those shows as well. Jeanette was our absolute favorite on both shows. So, funny. Great comedic timing and great physical comedy skills as well. We never understood why she just disappeared. Respect to her co-stars but I always felt Jeanette had the talent to keep moving. Reading this book really helped me understand. She was abused by her mom on so many levels. The showering and ""exams"" till she was 17 was the most glaring and disturbing example of her lack of boundaries. So many parents especially mothers create eating disorders in their children. They know they're doing it, they know how terrible it is. It was done to them and instead of breaking that cycle they just keep pushing the they way they were pushed. Her mother gave her a terrible relationship with food that she may never fully reconcile. I was extremely overweight as a child I was so lucky I had the world's greatest mom. She always gently tried to push me to make good decisions and to eat healthier I was already a super active kid but I was 250 lbs in 7th grade and I walked into every room like I owned it. Never occurred to me to feel bad about the way I looked. I had a mother who loved me and instilled such a confidence in me and I'm lucky I still carry with me today. I have never fully reconciled my relationship with food. Addictions on any level of very hard. I've also struggled with alcohol and drugs in my life even cigarettes. But the sad reality is you can lock somebody in a room for 6 months without any of those things and they won't die. If you lock somebody in a room without food you're going to die. So you need to come to some sort of understanding with food to develop as healthy a relationship as you can because it's something quite literally no one can't live without. I always enjoy watching the aforementioned shows, but after reading this book I love her even more. She's a wonderful woman she's done a great job. I fell in love with her when I was 40's, she inspired me then and in my 50s she's still inspires me after reading this book I wish her nothing but success in love, life and in the future. Most of all I wish for Jeanette to fully love herself. I wish total healing and I hope someday she can love herself as much as the world does! Congratulations Jeannette you deserve all the accolades from this book because it's honestly, and painfully yet beautifully written. Peace & Love",positive
2,Audible Books & Originals,I'm Glad My Mom Died,$0.00 Free with Audible trial,5,"I read A LOT and have literally never written a review but...

...Omg, omg, omg this book is so real, shocking, sad, relatable, unpredictable and somehow really funny at the same time.

She is a really talented writer with a wild ass story.

I also grew up with a mother who has NPD - and royally screwed up the relationship with my bio dad and robbed my youth from me - and saw all the classic signs. My mom is still with me and I secretly feel so much relief to think of when she's not here torturing me anymore.

Your family is a roll of the dice - you don't get to choose them. And not everyone gets a good one.

This book is permission and grace to not feel required to have toxic people in your life simply because they are blood related (which you had no choice in - you didn't ask to be born).

And to face the hard stuff for YOUR benefit (no one else's) and come out of the other side so much better for it.

I do wish there was more of this book only because it was so good:

- more on the real dad (where is he? do they talk? How did her mother even have TIME for an affair since it seems like she was constantly up Jeanette's ass?)
- also, who she is now. It focuses a lot on the past vs. present and she has come SO far.

I will read or watch anything she writes and can't wait for the next thing (hope there is one!) Like write a series, movie, play - you've got SKILLS Jeanette!",positive
3,Audible Books & Originals,I'm Glad My Mom Died,$0.00 Free with Audible trial,5,"I finished the audiobook within 24 hours. It's read by the author, so you get to experience this story through her voice, which I highly recommend.

I'm not famous, never acted, and I've never suffered an eating disorder, but still relate to McCurdy in so many ways. The first half of her book perfectly captures the experience of being a people-pleasing child surrounded by broken adults. You know something is wrong, but you're unable to name it or explain why it's wrong, and as a child you can't escape it. Navigating your life becomes a terrible game, it's not fun, but being ""good"" at that game also gives you a sick sense of pride.

The latter half speaks to mental illness, familial myths, and abuse. The aftermath of such an upbringing.

I liken the overall feeling of this book to a childhood injury I had. I was like, 7, and I got hit in the face by a bungee cord. (Right above my eye.) I felt pain when it struck me, but I was oddly fine. I didn't even cry. It wasn't until I climbed on the toilet to see myself in the bathroom mirror that things changed. I saw how bad the wound was, and knew the moisture on my face was blood, not sweat like I had thought. After knowing, the wound felt different. And I cried, got stitches, and ended up with a permanent scar.

McCurdy was a child, living the life she knew, recognizing in her own way that things were bad, bargaining and rationalizing those feelings away to survive, to win, until she found herself lost, broken, and unhealthy as an adult. Once you know things, you can't go back.

It's a dark story, but a relatable one, and it's recounted with enough dark humor to give you a breath before you sink too deep. I loved it, I'm rooting for McCurdy, and I look forward to reading (or listening) to more of her work in the future.",positive
4,Audible Books & Originals,I'm Glad My Mom Died,$0.00 Free with Audible trial,5,Sheesh! This was written perfectly. Jeanette explores the foundation of her relationship with her mother while also trying to find herself and where she might have taken a wrong turn. This books just goes to show that money can't fix the things inside of you that are already broken until you do a little work yourself. There's some tearful moments and some light hearted moments. Growing up as an iCarly fan it read like a behind the scenes bit at times. I remember some of the episodes mentioned. While she was busy making us laugh on screen off screen she was not doing well. I'm happy she's better now and I understand why she named the title what the title is. Her journey to stability and health took some time for her to understand that her mother was not the hero she thought she was. That's a hard pill to swallow.,positive
5,Audible Books & Originals,I'm Glad My Mom Died,$0.00 Free with Audible trial,5,"My mother recently passed, not from cancer but other, unnatural circumstances. She was constantly walking out on our family and struggled with mental illness. This past birthday of mine was the first birthday I was aware of her passing. (Even though we found out from the federal bureau of investigation she actually passed in 2018). I've been struggling with her loss. I know that her being alive would have only been detrimental to my mental health as well...but it's difficult relaying these feelings with those who have had ""normal"" mother daughter relationships. I want you to know that I'm truely sorry for how you've struggled but also that I am so grateful to see this unconventional relationship on the page. I bought your book on my birthday. I read it in 2 days. Couldn't put it down. It helps to read someone else's story sometimes, so thank you for your bravery and putting it out there.",positive
6,Audible Books & Originals,I'm Glad My Mom Died,$0.00 Free with Audible trial,5,"I listened to the audiobook version of this, which is narrated by Jennette. Personally, I love memoirs especially from celebrities, and this is no different. I was a huge iCarly fan growing up, and while I never got into or really watched Sam & Cat, I've been a fan of Jennette. This was so beautifully written and the awareness that Jennette has about certain things (and later on after some guidance) is remarkable. You truly never know what happens behind closed doors, and social media/media in general is fake, and this is proof of that. It's truly sad to hear about everything she went through to get to where she is now, but I am so happy for her that she made it. Cheers to her, and fingers crossed this book makes her more money than she ever could've and did earn in her acting career.",positive
7,Audible Books & Originals,I'm Glad My Mom Died,$0.00 Free with Audible trial,5,"As someone who romanticizes the idea of being famous while knowing full well there is a toll it takes, Jennette’s story always sat heavy with me. I knew piece of her story before the book and felt for her. The details and the tone of her writing really kept me going through even the darkness it presented. There’s so much raw truth and it is so unapologetic.
I enjoyed seeing her start to make strides in her personal life and show the ups and downs that came with it. I truly hope she continues to thrive and live her life fully and for herself, whatever that might mean for her.
Fantastic read, 11/10, recommending to all my friends, especially my age group that was as obsessed with her career as I was. So everyone can see the whole picture.
Jennette, I truly wish you well <3",positive
8,Audible Books & Originals,I'm Glad My Mom Died,$0.00 Free with Audible trial,5,"Jeanette has been through a lot in her life. I did not have a famous life, but I can relate to some much she went through- the the poverty, the hoarding, the abuse of a narcissistic, mentally-ill mother and more importantly the shared relief it was when my mother died. I have absolutely no guilt surrounding this either. I too cut off family who want to continue to use me as a scapegoat, a lost mother figure, a cook, a cleaner, a protector. I understand her relationship with food, because of my own experiences as a child, I have a stockier build, so if I complained of being hungry, I’d be mocked “is your fat quivering?” So I just learned to make my own food, tried to never complain about hunger pangs. Life gets better! Jeannette is very brave for telling her story. I’m happy for her present triumphs and all the future holds for her.",positive
9,Audible Books & Originals,I'm Glad My Mom Died,$0.00 Free with Audible trial,5,To be honest I was not expecting much from this book. I had never heard of her before (I'm 58 yrs old) I thought it would be another typical bad childhood/happy ending book. But I quickly changed my mind. She has been through literal hell both physically but especially mentally. Her mom who I think she is still too easy on; where's the well-deserved anger?! was a monster with no redeeming qualities that I can discern of. She practically destroyed her. Reading the book made me hate her for what she put her daughter and sons through. Not to mention her unfortunately weak father who failed in his duty to protect them from her abuse. She has accomplished so much in searching and working hard to attain some semblance of mental wellness. And it seems she has achieved that.. She fought and tackled an enormous mountain that many are unable to accomplish. She is Brave. She is intelligent and funny besides that. I hope she knows that no one can achieve total happiness. But it sounds like she is doing a damn good job of living her life. She has my very best wishes to have alot of peace and happiness in her life. I thank her for sharing herself with us. And I hope she makes alot of money on her book!,positive
