,cate,product,cost,review_star,review,tag
0,Automotive,"THISWORX Car Vacuum Cleaner - Portable, High Power, Handheld Vacuums w/ 3 Attachments - 12v, Auto Accessories Kit for Interior Detailing",$14.72 - $71.99,4,"The cord is really long and helps for trying to clean the car however the suction is all right. I used it after the beach and it only got most of the sand the suction stopped working after using it for a little bit so I had to empty it even though it wasn’t full but the suction came back after doing that. So, as long as you’re okay with emptying it a few times it’s a good product.",positive
1,Automotive,"THISWORX Car Vacuum Cleaner - Portable, High Power, Handheld Vacuums w/ 3 Attachments - 12v, Auto Accessories Kit for Interior Detailing",$14.72 - $71.99,4,I like it. I wish it was also battery operated or chargeable.,positive
2,Automotive,"THISWORX Car Vacuum Cleaner - Portable, High Power, Handheld Vacuums w/ 3 Attachments - 12v, Auto Accessories Kit for Interior Detailing",$14.72 - $71.99,4,"This is definitely a handy tool, I do wish it wasn't restricted to only car-poswered. It does a surprisingly good job at getting most of dirt/particles out of small books but doesn't have quite enough suction power to give a good deep cleaning.",positive
3,Automotive,"THISWORX Car Vacuum Cleaner - Portable, High Power, Handheld Vacuums w/ 3 Attachments - 12v, Auto Accessories Kit for Interior Detailing",$14.72 - $71.99,5,I do a lot of driving/pick ups for ball. If you’ve ever had kids after a game or practice full of dirt and grass you’ll know what I mean when I say you’d think there was a dust bowl in my vehicle. This vacuum makes it easy to clean after every trip or when you get a moment. It is also great at pulling up the dog hair out of the carpet. Best little vacuum I’ve bought for a vehicle.,positive
4,Automotive,"THISWORX Car Vacuum Cleaner - Portable, High Power, Handheld Vacuums w/ 3 Attachments - 12v, Auto Accessories Kit for Interior Detailing",$14.72 - $71.99,5,"This vacuum works great for my vehicle. The cord is long and suction is good enough for my needs. My vehicle never gets super dirty, so I just needed something that would allow me to easily pick up small amounts of dirt and grass from my car floors on a weekly basis. This vacuum works perfectly for that. If you are looking for a vacuum to deep clean your vehicle, I'd recommend looking for something stronger. Other than that, you really can't go wrong with this vacuum. Works great and can easily be stored in your vehicle, as it takes very little space, making it easily accessible when needed.",positive
5,Automotive,"THISWORX Car Vacuum Cleaner - Portable, High Power, Handheld Vacuums w/ 3 Attachments - 12v, Auto Accessories Kit for Interior Detailing",$14.72 - $71.99,4,"It seems to work good- With the quick test run. But I ordered white and received black. I also an extra filter was not included as promised.

Returning isn’t really an option for me since I live in Costa Rica and the cost of shipping back would cost more than the original product price.",positive
6,Automotive,"THISWORX Car Vacuum Cleaner - Portable, High Power, Handheld Vacuums w/ 3 Attachments - 12v, Auto Accessories Kit for Interior Detailing",$14.72 - $71.99,4,"Very happy with this purchase. Picked up plenty of sand, small food wrappers, crumbs, small rocks etc.
I would purchase this item again. Very good value for the price.",positive
7,Automotive,"THISWORX Car Vacuum Cleaner - Portable, High Power, Handheld Vacuums w/ 3 Attachments - 12v, Auto Accessories Kit for Interior Detailing",$14.72 - $71.99,4,very nice and useful it has a very nice bag can be used for any car,positive
8,Automotive,"THISWORX Car Vacuum Cleaner - Portable, High Power, Handheld Vacuums w/ 3 Attachments - 12v, Auto Accessories Kit for Interior Detailing",$14.72 - $71.99,4,"Not really high powered, does the job though.",positive
9,Automotive,"THISWORX Car Vacuum Cleaner - Portable, High Power, Handheld Vacuums w/ 3 Attachments - 12v, Auto Accessories Kit for Interior Detailing",$14.72 - $71.99,4,Good value for the price,positive
10,Automotive,"Cleaning Gel for Car, Car Cleaning Kit Universal Detailing Automotive Dust Car Crevice Cleaner Auto Air Vent Interior Detail Removal Putty Cleaning Keyboard Cleaner for Car Vents, PC, Laptops, Cameras",$7.99,4,"To be fair, I was hoping for a miracle clean. The pad on my keyboard is made of some soft-ish plastic with an engraved grid. It holds dust, dirt, and even glitter forever. I've tried various cleaning substances, stiff brushes, etc., with little effect. It was just gross. I saw an ad for this crevice cleaner, and it was reasonably priced, so I tried it, and I must say, it did a good job. While I was hoping it would magically lift everything off in one swoop, I did have to use it multiple times in small areas, followed by some digging with a sharp object into that stupid grid. And it left a little greasy feel that took a couple of days to disappear. But... that keyboard is the cleanest it's been since I took it out of its box. So for me, this is a good product that I'll use to keep the keyboard from getting gross again. No miracles, but, yeah, it worked well.",positive
