,cate,product,cost,review_star,review,tag
0,Books,It Ends with Us: A Novel (1),$10.26,4,"So much hype over this book! I've read dozens and dozens of KU Romances across every genre - billionaire, mafia, same sex, enemies to lovers, second chance, dark, light, everything in between. There is some really good content over there so I finally wanted to see how they compared to one of the best selling romance novels of all time. Selfishly I also wanted to see how Hoover's writing (this is my first of hers i've read) compared to Sylvia Day whose Bared series I loved Books 1-3.

Overall I give this a 4 stars. It didn't completely bowl me over but overall really good. One little admission is that I totally skipped the pages and pages and pages of ""journal entries"" aka back story for Lily and Atlas, and guess what? Still was able to figure out the story just fine :) It came across to me as filler and really slowed the plot down but I know some readers love those juicy details. I just wanted to get back to the main story line and honestly some of the entries were like 12 pages long. If you wanna do the same, I won't tell anybody and I promise you won't be lost.

Spoilers ahead.
This book honestly wasn't as dark as I thought it would be given all the talk of domestic violence. I thought it would be scene after scene, but there were only 3 incidents in the whole book, 2 of which were somewhat unintentional and/or partially happenstance, while the third was just nauseatingly purposeful. Some of the MC (Lily) reactions seemed a little fake or contrived, and especially I DID not like it when she informed Ryle WHILE HE HELD HIS NEWBORN BABY that she wanted a divorce. Surely she could have waited a day? I don't like when books make me dislike a protagonist and up until this very point at the end, I had really liked Lily.

Ryle and his thought processes were right on. Having experience with men with major emotional trauma this really hit home for me and seemed incredibly realistic. There are two types of abusers in my opinion - the ones who are truly mean and don't care that they are hurting others and the the ones with the demons they can't control. Him putting on Lily by saying ""help me"" as though its up to her to heal him was really on point (if very, very wrong - he is responsible for his own healing).

Anyway, overall pretty well done if a little too much filler in the middle of the book. The ending was pretty superb and that Epilogue! I have to admit I was rooting for Atlas the whole time, but I have a weak spot for rescuers. Unfortunately I didn't really get invested in any of the characters enough to want to spend the money or time on It Starts with Us, which starts where EWU leaves off. I think I'll move on to Ugly Love which I heard was steamier and is a little more along my preference lines.

TBH if you are looking for pure drama and emotional angst Sylvia Day's Book 1 of Bared series is going to leave you gasping, its way more fast paced. Unfortunately though the series drops off in quality after book 3, and one thing CoHo fans love is her consistency.

HTH!",positive
1,Books,It Ends with Us: A Novel (1),$10.26,5,"This book.... OHHH my gosh. This book was so heart-wrenching, yet so beautiful at the same time. Coming from someone who has experienced domestic violence in the past it really hits home. When I first bought this book I didn't know what to except, but it wasn't this. It was everything I could've hoped for and MORE. I loved the way she portrayed Lily. She was so courageous, bold, relatable and perfect in all the right ways. I cannot wait for book 2!!! Once I finished, I couldn't stop crying for a whole hour straight. I can't even remember turning pages because it had me hooked that good!! READ IT READ IT READ IT!

*SPOILERS*]

First off, some of these reviews piss me off, especially the ones that are geared toward the main character Lily.

""Why did Colleen have her stay with someone who was constantly abusing her and treating her as so""?
""I was so pissed she got right with Atlas right after the whole thing with Ryle happened, that would not happen in real life...""

First off, if you have ever experienced domestic violence in your life you would know how hard it is to leave the situation. Second, did you even read the book? Lily clearly states her confusion with either staying or leaving. It's not like she was staying with him because she liked the abuse?! Some of yawl's reviews seriously get to me. Imagine falling in love with someone who was absolutely perfect in your eyes and treated you in all the ways you'd ever imagine. You then get tied down... He starts to abuse you... Does things to you that you never thought this man who loved you SO much could possibly do?!? But it happens. It's not that easy to up in leave... If you TRULY knew what it is like to experience domestic abuse you would know that. So please stop getting mad at Lily for taking so long to leave! The whole thing about her getting with Atlas so fast after the whole dealio with Ryle ended, was PERFECT in my eyes. People are getting mad at how quickly she got back with him, but he was her safe place and FIRST true love (who matter-of-fact she never fell out of love with). I would've done the exact same dang thing!",positive
2,Books,It Ends with Us: A Novel (1),$10.26,5,"I have never been inspired to write a book review. This is my first. I read all the critical reviews, but the subject matter of this book hit a very sensitive nerve for me. First of all, for those who thought the book was too sensual or too emotional, I must venture a guess this subject matter is something they have never lived or even thought was possible.
Domestic abuse has many sides and many questions. If you have not been a victim, it might be easy to say,”Why didn’t you leave?” This book answers many questions and explores the victims and abusers viewpoints. The most prominent quotation in this book for me is, “There are no bad people, only people who do bad things.” I believe the circumstances of our childhoods shape us into the adults we become, even more than genetics. The traumas we have to survive and the way we are made to feel about ourselves stay with us.
I was a survivor of my parents abuse of each other. It was not just my father, but also my mother who fought violently with each other. I was able to go to university and leave the trauma physically, but not emotionally.
I married the first man who proposed so I didn’t have to go home.
I withstood his verbal and physical abuse for 28 years. He stopped hurting me before my bruises and choking so as not to send me to the hospital. I stayed with him for 28 years because he was a good father and my daughters loved him.
I loved him because when he was good, he was very good. Was I stupid? Was I afraid to go out on my own? Yes. My children came first. I would endure anything for their safety and happiness.
This amazing book addresses both sides of abuse, from each perspective. The heartbreak of having to decide your future with a man you love with all your heart, who loves you with everything he has in him, but who also has demons he is unable to control.
Please read this book. It will give you sight into this ongoing tragedy between men and women. Withhold your judgment until the end, if you have the wisdom to do so",positive
3,Books,It Ends with Us: A Novel (1),$10.26,4,"*Review originally posted on Goodreads*

'I wish cutting my feelings off for the person who hurt me was as easy as I used to think it would be. Preventing your heart from forgiving someone you love is actually a hell of a lot harder than simply forgiving them.'

It Ends With Us was beautifully complicated. It was hot and cold. Up and down. Good and bad. Beautiful and ugly... I'm still trying to figure out how I really feel about it all because I'm genuinely torn on how I want to perceive this storyline. I loved it but in all honesty, I really do think I hate it as well. Not the ""I-hate-you-Colleen-Hoover-stop-writing-books-and-find-a-different-career"" type of hate but rather ""I-hate-you-Colleen-Hoover-for-making-me-hate-everything-that-I-came-to-love"" kind of hate because it pretty much summarizes all my thoughts and feelings about It Ends With Us in one sentence.

My opinions were completely divided. One side of me, the hopeless romantic, was utterly unsatisfied and angry with the outcome of the story. The opposite side, the one that's all about women's empowerment, was cheering on #TeamLily like it was Independence Day.

Rather than trying to sugarcoat my thoughts, I'm just going to be completely honest. I was 100 percent team Ryle from the very first time we met him. Just like Lily, I fell in love with every word and every gesture that rolled off of his body. I. WAS. HOOKED. It also didn't help that I kept fantasizing Doctor Mike as Ryle Kincaid. *heart eyes emoji* I loved his ambition. His personality. His confidence. To be honest, I think I might've loved Ryle even more than Lily did but that's another story for another day. That more than likely explains why I took the second half of this book like a blow to the gut.

Once we got to the second half of the book, that's where it started going a bit downhill for me as a Ryle and Lily shipper. Every happy moment that ever happened between my ship came barreling down as it collided with pain and abuse. I was angry. I was thrashing. I was yelling at the pages in front of me, ""Why are you doing this Colleen?!"" But most importantly, I was just heartbroken to see such a beautiful couple become so toxic. Everything I loved about the first half of the book was slowly unraveling right before my very eyes as if it never really existed in the first place. I can't even remember how many times I wanted to put the book down because my hopeless romantic self just couldn't handle it anymore. But I just kept on reading because I was guiltily hoping that Ryle and Lily would still have their happy ending despite all that had happened. :/ Sadly, this was where I was torn the most.

I have the upmost respect for Lily. She is definitely one of my favorite female characters that Colleen has ever created because she did what a lot of us would've struggled to do in the end: walk away. Lily was such a strong character and I admire her so much for having the strength to stand up for herself. There were numerous times towards the end of the book where I knew I probably would've gave in and forgave Ryle for his actions but Lily was inflexible. She was in a tough position but she put her foot down and demanded better for herself. In the end, no matter if I ship Ryle/Lily or Atlas/Lily, I'm glad that Lily was able to find peace for her and Emmy.

As for Atlas, I liked him but I didn't love him. Definitely nowhere near my love for Ryle. I wasn't exactly rooting for Atlas but I wouldn't have minded if Lily chose him in the end. However, I still very much preferred Ryle regardless. I just felt that Atlas was the typical knight in shining armor. Typical good guy you run to. His background story was interesting but him as a character... not so much. He just felt so ordinary and predictable. I wanted to ship Atlas and Lily because let's face it, the signs were practically being shoved down our throats, and although the relationship between Ryle and Lily was developing, Atlas's presence was a like a thorn on your side you just couldn't shake off. But I just couldn't bring myself to ship them blindly like I did with Ryle and Lily.

Unfortunately, I was too far gone and too far in love with the idea of Ryle and Lily to make room for Atlas and because of that, I'm not sure if I'll ever be fully satisfied with that ending. I was happy that Lily was no longer a victim of domestic abuse. I'm glad that after all that happened between them, Lily and Ryle parted on good terms. I'll forever be heartbroken over the idea of what could've been. And I feel indifferent to Lily and Atlas. Sorry not sorry, Atlas. That basically sums up all my feelings in a nutshell.

To be honest, I was actually feeling a bit more bitter than I'm making it seem after that ending. But after reading the author's note, it really put things in perspective for me and made me look at the story with brand new eyes. I developed a new understanding and appreciation for the story behind the story.

I was dying for Ryle and Lily to have their happy ending. Until the very end, I was still rooting for them. It's such an ugly confession to make especially when the couple you're rooting for is toxic and abusive. And I think I feel this way because I never, and hopefully I never will, had to experience abuse. I don't know what it's like and what goes on in the minds of the abused. Colleen did such an excellent job at creating the perfectly imperfect man that was Ryle. Abuse in books has always been a trigger for me and if it were any other book I think I would've put this book down by the first incident of abuse. But Colleen just made you fall so deeply in love with a character that even you couldn't bring yourself to hate him even if you wanted to. YOU were the Lily of this story. But unfortunately, I don't think my Lily would've had the courage to leave. I really wish I could say that I would leave in an instant, but I think I would honestly be lying to myself. You can tell yourself that if you were in Lily's position you would leave in a blink of an eye, but things wouldn't be as easily said and done if you were the one who was actually experiencing it all. And in truth, I think this is exactly what Colleen wanted us to actually sit down and think about because victims who've experienced abuse wouldn't be rooting for Ryle and Lily. I wouldn't be rooting for Ryle and Lily. It just goes to show how much of a struggle it really is to walk away from someone you love and loves you back in all the wrong ways. I usually never read the author's notes after the book but I'm really glad I took the time to read Colleen's story. It really did make me see the situation from a different perspective.

I'd been having a bad CoHo streak for three books in a row (if you're curious, the books were — in order — Hopeless, November 9, and Too Late) and for a moment there I was beginning to think that I was doomed to never enjoy another book written by Colleen Hoover again. But PRAISE. It Ends With Us restored my faith completely in the CoHo hype. Not that I was ever planning NOT to read any more of Colleen's books! Colleen Hoover is 100 percent my favorite auto-buy author. I will always buy her books no matter if I end up loving them or not, and with good reason because Colleen is such an exceptional writer. It Ends With Us still wasn't able to top Ugly Love as my favorite CoHo book of all time but I really enjoyed this book more than I thought I would.",positive
4,Books,It Ends with Us: A Novel (1),$10.26,5,"so this was my first book that ive read in probably 4 years. i only listen to harry potter at night to fall asleep lol so this was the first real adult book ive really ever read. at first i didnt like it because the first chapter seemed to drag on forever. i felt like i wasnt getting any insight into the characters and the whole plot was just kinda boring until about 1/4 of the way into the book. and then i was hooked. i finished this book in 3 days. i cried so many times because of how beautiful it was, especially lily's love with atlas. but i also cried because of how horrible it was, the abuse with ryle but also with lily's parents. it was just such a beautiful, sad book. i know a lot of people didnt like the journal entries where lily was writing about atlas but i LOVED THEM. the plotline with atlas was my favorite part of the book i LOVE him. his and lily's relationship was so sweet. i cant wait to read more about them in it starts with us. overall a very good read that will have you smiling and then sobbing within minutes. RECOMMEND!!",positive
5,Books,It Ends with Us: A Novel (1),$10.26,5,"This book was something that I believe is the epitome of powerful woman doing what’s better for them and learning from others mistakes. Lily’s character was something I felt was someone I can relate to because I have seen how domestic violence can ruin a person and how hard it is to walk away from that person. It takes a lot of courage to do that, and the way this book’s plot developed was from a girl ready to accept the fate of the beaten house wife , but then she knew this isn’t what she was in Boston for . She wanted better than the future her mother already lived . In my heart of hearts , if you want a book that will keep you on the edge of your seat with the play on words but also can rip ur heart out and cry . then this is the book for you !!!!! plz read <3",positive
6,Books,It Ends with Us: A Novel (1),$10.26,5,"Wow. As a regular reviewer of books, I very rarely read the synopsis of a book before reading it. I was taken completely off-guard with this one. I am probably one of the few who have never read one of her books although I've been hearing the hype for a while. So I started this one with an open mind, like I do most books I read, not knowing what to expect and letting the story take me where I needed to go. I noticed the normal things right away. Her writing style is very good, and the pace of the story is spot-on. I became completely invested by the middle of the story. I was in love with the characters and pulling for the main character and her future. And then, bam, I'm facing the dilemma Lily faces. Because I feel the exact same way she does, and her shock and indecision is mine. I won't tell you any more. Maybe you don't read the synopsis ahead of time either. But I will tell you that this is a book well-worth reading. And reading the Author's Notes afterward, simply said, sent me straight over the edge with recognition. There's a sequel coming in October 2022. I'm there.",positive
7,Books,It Ends with Us: A Novel (1),$10.26,5,"I am an avid ready. Lately I haven’t been reading as much as I once did due to working, raising kiddos, and taking care of the daily household things and when I did find the time to read, I usually entertained the education/self help books. I saw a co-worker reading this a few weeks ago at work and she couldn’t say enough positive things about it. I was a Twilight enthusiast back in middle school and have fond memories of reading that series and escaping from my real-life problems. I decided that life is too serious to use what little leisurely time I had available for reading on just education/self help and the take a dive back to the genre that captivated me back then. And Man. BEST. DECISION. Seriously, if you are on the fence for any reason, hope OFF and read this. Honestly, read all of Colleen Hoover’s books.",positive
8,Books,It Ends with Us: A Novel (1),$10.26,5,"this was my first colleen Hoover book and wow. will absolutely be buying more books from her!!! once I got to around chapter 4 I couldn't put it down. I was literally laughing out loud while reading. it's been a day since I finished the book and I'm still thinking about the characters and the ending. I can't wait for the second book. I'm not really sure how someone could rate this book so negatively, it was off putting and I almost didnt give it a try because of some of the things people were saying (with sexy scenes lol) but it wasnt anything like that at all. yes there was a little romance in this but it wasnt something that made me want to put the book down. I throughly enjoyed this book. wish I had a book club to discuss this book with because just wow!!!! will be waiting for the next one :)",positive
9,Books,It Ends with Us: A Novel (1),$10.26,5,I just want to start off by saying that I am 26 years old and I’ve never picked up a book in my life. I always swore I hated reading. After all my clients and co workers were telling me to read this book I said ok it’s worth a shot. Since the day I picked up this book I haven’t been able to put it down. I think about reading it all day at work. I read it on my lunch break and any chance that I get. Today I have finished the book and I decided to leave a review because I give credit when credit is due.. this book was AMAZING! I laughed I cried I felt every emotions I never knew a book could make me feel. In my 26 years I’ve finally read a whole book and I am so happy. I already pre ordered part 2 to this book and followed the author on IG lol. Thank you Colleen Hoover for being a bad ass author!,positive
