,cate,product,cost,review_star,review,tag
0,CDs & Vinyl,"Gskyer Telescope, 70mm Aperture 400mm AZ Mount Astronomical Refracting Telescope for Kids Beginners - Travel Telescope with Carry Bag, Phone Adapter and Wireless Remote",$9.99,5,"I bought this knowing nothing about telescopes and not knowing what I could expect to see through this thing.

Now I know more, I think this is a decent value, but it comes with A LOT of cons.

In telescopes, the aperture size matters much more than magnification. The bigger the aperture, the better the image will be. This is a 70mm aperture (2.75 inches), which is about as small as you can get. It's typical for an ""entry-level"" telescope, and a decent value for the money if you want to get into stargazing without dropping 500 bucks or more on a bigger scope.

However, if I could do it over again, I would've spent more and gone with a better one.

First, as with all beginner telescopes, it is actually much harder to use than a more intermediate level one. This is something well-known in the amateur astronomy group I've joined, and they never, EVER recommend buying a beginner telescope, ESPECIALLY for kids.

Because most kids like looking AT stuff more than looking FOR it. And with this telescope, far more time is spent hunting for objects than actually looking at them.

My kid doesn't have the patience or attention span for that, but I rather enjoy the challenge, so I do it. Which brings me to the next problem.

This is made for kids. As such, the stand is very short. Which means that all the time you spend hunting for things, you'll having to be hunched over, crouched down, or kneeling on the ground.

And if you live in a place with a lot of light pollution, you won't be able to see much more than stars, the Moon, or the brightest planets. Even Mars is difficult to see through this telescope, and you can't make out any detail whatsoever on the surface.

You can make out SOME faint detail on Jupiter, especially if you go away from light pollution on a clear, moonless night. And you can just make out Saturn's rings.

Venus, on the other hand, is very easy to see. Especially now, near the end of April 2020, it is the brightest it'll be all year, so we've been looking at it every night. It's too bright, even at its dimmest, to make out any detail, but you can see what phase it's in.

Galaxies, most nebulas, and many star clusters are beyond the ability of this telescope, but that being said, I was able to see a planetary nebula called The Ghost of Jupiter last night.

For perspective, I've had a few weeks of use and practice, and feel comfortable with the telescope, and have a number of apps, charts, and star maps to help me find things, and it STILL took over an hour for me to finally find it, put it close enough to the center of my field of view to use with max magnification, and put it in focus.

And even then, it looked like a hazy, bluish star. We couldn't make out any detail or the distinctive eye-shape that can be seen with even slightly larger scopes.

Still, it was cool and the kid loved it. I consider it worth the effort, but my back is killing me today.

Don't get me wrong, for an entry-level telescope, this is good. It'll serve our needs while we save up for an upgrade. But, like all entry-level telescopes, this is harder to use and not powerful enough to see much.

All the time required to hunt for things, for what many may consider a disappointing result, could potentially end up killing a kid's enthusiasm.

If you absolutely MUST get an entry-level telescope, this is a good choice. But if at all possible, save up and get a larger aperture.",positive
1,CDs & Vinyl,"Gskyer Telescope, 70mm Aperture 400mm AZ Mount Astronomical Refracting Telescope for Kids Beginners - Travel Telescope with Carry Bag, Phone Adapter and Wireless Remote",$9.99,5,"I didn't expect to enjoy this so much but every time I use it I say, ""Wow..."" It's been perfect for supermoon season. Not really good for other planetary bodies, but definitely was useful when I was trying to figure out what was happening a few miles away under a plume of smoke. If you like to check out the details of the moon, this is a great purchase.",positive
2,CDs & Vinyl,"Gskyer Telescope, 70mm Aperture 400mm AZ Mount Astronomical Refracting Telescope for Kids Beginners - Travel Telescope with Carry Bag, Phone Adapter and Wireless Remote",$9.99,4,"I had a really hard time putting together and using it. Needs better instructions or at least a link to YouTube telling you how to use it. I’d probably say it isn’t for beginners, but nice price.",positive
3,CDs & Vinyl,"Gskyer Telescope, 70mm Aperture 400mm AZ Mount Astronomical Refracting Telescope for Kids Beginners - Travel Telescope with Carry Bag, Phone Adapter and Wireless Remote",$9.99,4,"This really is a great telescope but with my iPhone 13 it definitely does not help during the daytime hours when trying to take pictures of birds or whatever it may be. It is constantly readjusting focus and seems to never get that, I have only been out at night a few times with the camera and it works well but there is quite a lot of adjusting necessary to get a good picture. Beside the fact of trying to take photos with a mobile phone it is a great telescope and works as you would expect it. This is honestly a good investment if you are wanting to get into night time viewing or daytime without taking pictures.",positive
4,CDs & Vinyl,"Gskyer Telescope, 70mm Aperture 400mm AZ Mount Astronomical Refracting Telescope for Kids Beginners - Travel Telescope with Carry Bag, Phone Adapter and Wireless Remote",$9.99,5,"I got this for my girlfriend for her birthday. She is really into astronomy and constellations, stars, etc. I wanted a 'starter' telescope, but most of the models seemed like they were for little kids. This one, however, completely matched all of my expectations. It has different lenses, an easy tripod mount, and a digital display!! Great for starry nights.",positive
5,CDs & Vinyl,"Gskyer Telescope, 70mm Aperture 400mm AZ Mount Astronomical Refracting Telescope for Kids Beginners - Travel Telescope with Carry Bag, Phone Adapter and Wireless Remote",$9.99,4,This telescope is great for beginners. It's hard zooming in so we can't adjust to get a closer view but other than that it's great.,positive
6,CDs & Vinyl,"Gskyer Telescope, 70mm Aperture 400mm AZ Mount Astronomical Refracting Telescope for Kids Beginners - Travel Telescope with Carry Bag, Phone Adapter and Wireless Remote",$9.99,5,Used for looking at the stars. Excellent,positive
7,CDs & Vinyl,"Gskyer Telescope, 70mm Aperture 400mm AZ Mount Astronomical Refracting Telescope for Kids Beginners - Travel Telescope with Carry Bag, Phone Adapter and Wireless Remote",$9.99,4,"I bought this as a gift for my grandkids and the intent was to allow them to witness the ""Christmas Star"", the conjunction of Jupiter and Saturn on December 21. The plan was to capture the event nightly from December 19 through December 22.

Receiving and unboxing the telescope was pretty straightforward. The instructions were somewhat trying, but given that there were only a few ""moving parts"" it was easy enough to figure out. The only problem we encountered was that the adapter for allowing the telescope to connect to a smartphone was missing half of the adapter and we could not connect a phone to the telescope. No idea why the part was missing. We unboxed the telescope on our dining room table and when we discovered the part was missing we had no less than 5 adults searching for it, to no avail. We didn't lose the part, we just never had it. That was disappointing when you consider that being able to attach a phone was one of the primary reasons for selecting Gysker and we lost our opportunity for the grandkids to record their witness of the grand event.

Setting that bit aside, the telescope worked wonderfully. It was easy to set up, with all of the [available] parts fitting nicely into the supplied carrying case. We transported the telescope to our observation area and the telescope set up easily. The 'spotter' scope allowed us to get on target quickly and the aperture and zoom features allowed for a spectacular view, including many of the moons surrounding the planets. We even used the spotting scope and a smartphone app to align the telescope with other stars for equally breathtaking views and we spent about 2.5 hours searching out various objects in the night sky each time we went out. (From dark until bedtime).

The grandkids (10, 9 and 7) really took to the telescope, learning how to use the various parts and functions rather quickly, even to the point that they could select and observe a star on their own. The tripod was solid and held a stable image and everything, sans phone adapter, worked very well.

If I was rating just the telescope on cost to function-ability, I would rate the Gysker telescope 10 stars. It is a very good telescope for the money and since we wanted the kids to get excited about the night sky, this was a great purchase. The ONLY disappointment was because I specifically chose this telescope because we could attach a smartphone to record an event that only happens every 800 years and then was unable to do exactly that, well, it was a real letdown.

Even at that, I would tell anyone wanting to start amateur exploration of the sky that this is still a great telescope for the money.",positive
8,CDs & Vinyl,"Gskyer Telescope, 70mm Aperture 400mm AZ Mount Astronomical Refracting Telescope for Kids Beginners - Travel Telescope with Carry Bag, Phone Adapter and Wireless Remote",$9.99,5,"It is a great first time telescope for kids. It comes with a case, it is easy to assemble and can see clearly.",positive
9,CDs & Vinyl,"Gskyer Telescope, 70mm Aperture 400mm AZ Mount Astronomical Refracting Telescope for Kids Beginners - Travel Telescope with Carry Bag, Phone Adapter and Wireless Remote",$9.99,5,"I purchased for the lunar eclipse and was not Disappointed. It was easy to carry on to the mountain. Easy to set up and take down. Put in the camera attachment on was a bit tough but finally got these pictures. It's definitely harder to see stars with this cause it's not as powerful and it doesn't have the timer to follow the Earth's movement, but just for checking out The moon and planets it works really good",positive
10,CDs & Vinyl,Will of The People,$12.79,4,"I've been hoping Muse would have another album that would rival their second, third and fourth albums. That's a tall order, and Will of the People doesn't reach that level, which is why it doesn't get a fifth star. HOWEVER, it is significantly better than their last three albums, and possibly better than their last four albums. If you're doing the math, that possibly makes it their best album since Black Holes and Revelations. It's certainly their best since The Resistance. For those who were waiting for Muse to get their mojo back, here it is. Welcome back, Muse!!!",positive
11,CDs & Vinyl,Will of The People,$12.79,3,"Unfortunately due to the ""life during covid"" subject matter, pretty much every song on the album is going to date quickly. Had this been released in august 2020 instead, it would of been absolutely appropriate for that summer. But sorry Matt Bellamy, you're two years too late. The last thing anyone wants to do is listen to bands weeping about the state of the world now. We want escapism from all that. With that all said, this is certainly not a bad album though. This is Muse doing Muse things after all, which is still better than 98% of what's out there. As usual they nail the Queen sound, on the track Liberation. That is probably the track that will get the most plays by me.",fair
12,CDs & Vinyl,Will of The People,$12.79,5,I thought this was going to be an ok album wont stand down was in my top 10 when i first heard it so i thought it would be at least 4 good songs i could listen to but im happy to say i was wrong this cd will be the only cd allowed in my car for at least 2 months straight.,positive
13,CDs & Vinyl,Harry’s House,$31.49,4,"My 10 year old and I LOVE Harry Styles and have all of his albums. Fine Line is still my favorite album of his, but this is an awesome album too - it has a lot of funky 70s beats as well as a Phil Spector wall of sound feel to some of the songs. Harry's voice is excellent, great for slow and fast songs. ""As It Was"" is my favorite, but I also love ""Music for a Sushi Restaurant,"" ""Late Night Talking,"" ""Love of My Life,"" and ""Keep Driving."" The only song that I don't like is ""Boyfriends."" If you're a Harry fan, you'll love it. Even my mom who had no idea who he was liked a lot of the songs when we listened to it as we drove to the beach- she said they had a 70s feel. Harry has really come into his own and you can tell he loves the music he makes now as a solo artist.

My only complaint is the terrible cardboard packaging, it arrived a little bent on one corner. The hard clear cases are so much better because it actually protects the inserts and CD. It's also awkward to take out because the opening has you pulling it out from the center. Redo the packaging please.",positive
14,CDs & Vinyl,Harry’s House,$31.49,5,"I'm a 62 year old world music lover who NEVER listens to pop but this entire work is enchanting. It's positive, upbeat, and insightful. Great for road trips and art afternoons. Mr. Styles is a global treasure!",positive
15,CDs & Vinyl,Harry’s House,$31.49,5,"Harry's House music collection starts off with a shining start with the Music For A Sushi Restaurant that can definitely make a music listener easily imagine the music narrator enjoying a moment of love andor romantic date with their love interest in the type of setting that the song describes. A multiple number of other songs. A music listener can easily be metaphorically transported into a music treasure chest of other earthly and pleasant emotions listening to a multiple number of other hypnotizing songs on Harrys House; Daylight, Late Night Talking, Cinema, Love Of My Life, and more.",positive
