,cate,product,cost,review_star,review,tag
0,Camera & Photo Products,"WYZE Cam v3 with Color Night Vision, Wired 1080p HD Indoor/Outdoor Video Camera",$35.98 - $70.96,5,"The Wyze team are killing it with this one. Their low cost products have always been a good draw. My prior Wyze camera was the pan camera - good price for one that I could make spin around and look up and down. I bought two v3 to get my side yards.

My primary cameras are nest...traditionally seemed to be the top of the line for this new generation of cloud based IP cameras - highest quality but highest cost. But at least with the nest app I felt I was getting what i paid for. Now those guys at Google made their new cameras not work with their own nest app, only the Google Home, which is crazy to me. The Google Home currently doesn't let you see the *entire* 24 hour history within your subscription time frame, which was always a key distinguisher from Ring and other IP cameras - only highlights! I had ordered a 2 pack of their new cameras on Prime Day but then did some more reading and found out about the lack of nest app support, and found my existing nest cams could not access more than highlights/alerts in Google Home app, and decided that was just not going to be good enough. I want to be able to look through the entire feed in case an alert didn't catch everything.

Then I decided to look at Wyze - I'd read their emails and was interested in their skylight night color and decided I would 'try' their $35 camera instead of the nest $120 camera. After all, the new v3 is outdoor rated, has great night vision and has a lower cost, can install SD cards for onboard extended feed coverage (not just alerts) and I'm already using the Wyze app for my two pan cameras so I'm already in the ecosystem in my Google Home. So I ordered 2 Wyze v3 cameras.

Installation - First, even the box is small...reminded me of the Blink camera size. I ordered SD cards for the v3 cams to give me that very long look-back ability (very cheap for the sizes needed). When I went to install I realized the USB cable/power line was thin - and I was able to run it inside my window track so as to NOT DRILL into my siding (because lets face it, eventually i may change to something different and who wants to put holes in their siding). Unfortunately I did have to poke the cable through the screen b/c my screen didn't slide up/down. Like I said, the camera is very small and light, so when I mounted I only needed one small screw (provided with kit) to hold it in place. There was a magnet ring around screw area, and that could have helped with the mount, but I didn't use it. The camera has left right and up down hinges so I was able to point it in the place I wanted to.

Performance - I am happy with the camera's performance. Its 1080p. One camera is on side with street light, and that area stays color lit with the starlight feature and yes can see pretty well. The other camera is in more shaded part and uses the gray IR feed, and yes I can see what's going on there pretty well. Unfortunately I don't think any of these cameras can ""zoom"" in and really see someone's face or a license plate, but that's just a limit they all have if you don't have a mechanical zoom presumably like the traditional fully wired camera security systems. But I'd say the picture quality is on par with my $350 nest outdoor v2 IQ camera. I haven't tried the higher level wyze plans with their version of person recognition, so can't comment on the facial recognition aspect, but I'm totally fine with losing that one feature when everything else has the $35 camera totally pacing the $350 camera. What a value difference and its crazy the quality you get for this price point. Wyze is really a super top level choice in the budget to mid-level home camera market. Extremely happy.",positive
1,Camera & Photo Products,"WYZE Cam v3 with Color Night Vision, Wired 1080p HD Indoor/Outdoor Video Camera",$35.98 - $70.96,5,"I like these little cameras! Setup was a breeze, picture quality is amazing, and the live feed is pretty much actually live (less than a 1 second delay for me, which was the best of all the newer cameras I tested - more about that below). Real time live video is important to me for various reasons. For example, one of my dogs keeps peeing in the house (marking), and if I can't catch him just before he pees then he's never going to learn to stop doing that. With a delay of even 3-4 seconds, I would be too late.

These cameras are small and light. The base is magnetic and very adjustable, and there are also adhesive and screw-in options for mounting. Low light performance is exceptional - the IR night vision isn't needed until it's pretty much completely dark.

The app is so-so.. it is responsive and more or less intuitive, and it does have all the basic capabilities needed. It just lacks some features that I would have liked. For example, you can't fast forward through event videos or continuous recordings. To jump to other points you have to move a bar on the timeline.. it is very difficult to skip just a tiny bit ahead. I keep going too far, then going back too far or not far enough, and it's a pain. You have to guess where to look for things.

For this reason, continuous recording was not a great solution for me, because it was too hard to find events. Recording events only is better, but I'd still like the ability to fast forward, or to see the actual video as you move your finger along the timeline.

Speaking of recording events only to your SD card: SD card recordings are NOT subject to the 12 second video/5 minute cooldown that you get with the free cloud recordings. If you choose ""events only"" in the settings, it will break time into 1 minute increments, and it will continue recording until motion stops. This wasn't made clear in any of the documentation I could find, and the live chat agent gave me incorrect information. I almost gave up and returned these before even opening them, but first I decided to message them on Facebook. The Facebook messenger representative gave me the correct information and links to where I could find more detailed information on their website. So, crisis averted.

The audio is pretty terrible in recorded events. It sounds like you're talking from across a long tunnel while holding your hand over the microphone. When right up next to the camera outside, I can understand speech, but it still does not sound good. It is slightly better indoors. I don't know what the sound is like for the live feed though, and I don't know how it sounds when I talk through the camera. (I haven't had anyone here to help me test things like that. The dogs won't cooperate, they all want to be in the same room as me all the time).

For me, the fact that there is almost no lag in the live video more than makes up for the shortcomings in audio. Plus the price is great -- a lot more than they were before May, unfortunately, but still very competitively priced. As soon as they're in stock anywhere, I'll be adding two pan cameras for inside, and maybe their doorbell, depending on whether or not there is enough space on my door frame.

Here are all the cameras I've had/tried, to give you all some comparisons. This will be long, but the summary is that between Dericam, Blink, Eufy, Eufy Solo, LittleElf, and Wyze, I liked the Wyze ones best.
I did not test Ring because they are really expensive and have no options for local storage at all. You have to pay for a subscription for each camera if you want to view recordings. I didn't test Arlo because they're expensive and I hadn't gotten to them yet. No need to do more testing now though, I'm keeping the wyze cameras.

1. Original indoor cameras that I want to replace - Dericam 1080P P2, indoor pan/tilt, purchased in 2017. They're old now and are showing their age, but there is virtually no lag time at all in the live feed, and you get all features and local storage without ever paying any fees. The app is kind of buggy and annoying (and slow by today's standards), but these cameras served me well for 3-4 years. They are deteriorating now though, and it's time for an upgrade.

2. Blink mini outdoor, 5 camera kit (ordered on prime day, so I got a really good deal). The Blink cameras were really nice (image quality, sound, features, ease of installation), but I had a consistent 3 second delay in the live feed. (My network is not the issue.) It's really too bad, those seemed perfect otherwise. I tried every single troubleshooting step and anything that other people mentioned having done in message boards. No difference though, I always had a 3 second delay, so I returned them.

3. Littlelf 1080P, pan/tilt etc. Priced around what wyze cameras cost. As far as I can tell this company only makes indoor cameras, so I would have had to get a different brand for outside, and use two apps to keep track of my house. Not really want I want, but Lifflelf promised the ability to see multiple live streams at the same time, so I wanted to try them. That feature does work and is actually really nice. Good image quality (but not as good as the other newer ones), good audio, an app that was a little clunky but definitely usable... but I had a 4 second delay with these cameras, so they went back.

4. Eufy - EufyCam E, 2-cam kit. These were by far the most expensive cameras I tried, but they promise a year of battery life, and I wasn't sure if I'd be able to get power outside at that point. The cameras seem really solid and well made. I had no trouble adding the homebase and camera, although I did have a lot of trouble creating my account in the first place. The app seemed less intuitive than Blink or Wyze - (not a dealbreaker), but worked. Image quality was great, sound was great, but I found that these had a 3-4 second delay. For the price, they would have had to be perfect.

5. Eufy Solo IndoorCam P22 (pan/tilt), and Solo OutdoorCam C22 (which looks like a big eyeball, I really liked the design). The price of the indoor cameras was similar to Wyze, but their outdoor cameras were a lot more. I thought that since these cameras connect directly to wifi and not to a base, they'd be faster. I was wrong though, I had the same 3-4 second delay as with the other Eufy cameras. Video quality is great, but not as good as the wyze v3 in my opinion. Audio quality was really good with these. But the delay was a dealbreaker.

The End. I applaud you if you got this far!",positive
2,Camera & Photo Products,"WYZE Cam v3 with Color Night Vision, Wired 1080p HD Indoor/Outdoor Video Camera",$35.98 - $70.96,5,"UPDATE:
I am very satisfied with these guys. I bought a few cameras and it was quick and easy setting them up. Whatever questions I had were answered promptly (via email). They emailed me a discounted annual plan. I chatted with a representative to inquire more about it. I was told it’s only sent to some customers and it’s for a limited time (of course). I ordered it and had no issues. Then a week later they send me an even better subscription that only covered the cameras I had (previous subscription covered an extra camera but I got it because it was still cheaper overall). I canceled the previous subscription and ordered the best one that works for me. My setup is perfect now. These guys actually care about their customers cause I spoke to 3 or 4 different people and they all resolved my issue without ending the chat.

Here’s a tip to avoid my initial subscription mistake. If they email you a bundle deal, say something like “Cam Plus bundle for 4”, only select one for the deal! I would mistakenly select 4 and get 16 licenses (instead of just 4 for 4 cameras). The reason I made this mistake is because their website asked “how many cameras?” right under the bundle package. So whatever the bundle you want, just select 1, because the bundle will cover whatever amount of cameras that are in the title. Then go to your wyze app and select your cameras under your subscription to add them.

I haven’t been paid or pressured or asked to make this review. I only felt like updating this cause I’m a happy customer. If something goes wrong I’ll update it again and change my rating.

————————————————
Original Review:
I’ve lived alone for a while now. I was burglarized once. Even then, it didn’t occur to me to get a camera, but now since they’re mostly cloud based I figured I’d try one. I settled on wyze cause of the price. Pretty cheap for what they offer ($3 per camera per month). And I get the first 3 months free. So far I have no issues. I set one up in my living room facing the front door of my apartment.

Though I admit it’s a weird feeling seeing myself walking around, doing my daily routine, under constant surveillance lol. But it’s not necessarily in a paranoid “big brother is watching you” kinda way. I’m just more aware of my behavior, so there’s an adjustment period. After all I wanted more security. And you can set it to record movement only or sound or whatever you want really.

From my understanding, the cloud service saves 2 weeks of footage then it’s deleted unless you specifically want something saved to the SD card. The night vision on this thing is as good as the day time, though it takes a few seconds for it to realize the lights are off.

Actually I have one minor complaint, but it’s not a dealbreaker per say. It’s the notifications…I finally got them working how I wanted but it took a ton of research to figure out how. Basically I don’t want movement notifications when I’m at home. I want them when I’m not home (e.g. at work). I would set up the schedules without any overlap yet the notifications won’t stop. Apparently, you need to wait until the next day for the notifications to work properly. So say you make a new “rule” for no notifications between 3pm and 10pm, but it’s 4pm right now….you’d have to wait until 3pm the next day for the notifications to stop. The camera doesn’t immediately put that rule into effect even though it knows what time it is, strange (or just lazy coding).

Anyway, that’s my honest review. I’m a happy camper and gave it 5 stars anyway. I’ll update this review if it suddenly stops working or something.",positive
3,Camera & Photo Products,"WYZE Cam v3 with Color Night Vision, Wired 1080p HD Indoor/Outdoor Video Camera",$35.98 - $70.96,5,"There's a lot to like about these little cameras, so I'll start with the pros first before moving on to a few (mostly negligible) cons.

Pros:
Image quality is very good. 1080p is crystal clear and the ability to zoom, even on event recordings, is a great feature to have. The Starlight feature is also great. I have one camera mounted on an upstairs window facing out and the image quality even in the middle of the night is great. Unless it's very dark, I'd leave the Starlight feature on instead of the standard IR night vision.

Connectivity has been stable and reliable. I check my cameras often when I'm away from home and I've yet to experience any connection issues. I've only had it for a couple of months, so I can't speak on the longevity, but I have dealt with Wyze customer support on some issues I had with their home security hub and the customer service has been very good. Good enough that I plan to keep them as my primary home security system.

You can mount them practically anywhere. They come with several different mounting options, ranging from a standard flat base built into the camera, to 3M mounting strips, an even drywall anchors. The supplied power cord is a reasonable length for most applications, but you'll want to look into a longer USB-to-Micro USB cord if you plan on mounting more than 6-7 feet from a power outlet. They say they're rated for outdoor use, which is a nice touch. I only use mine inside, though I did buy their window mount that allows one of my cameras to face outside and not be subjected to the elements.

They do a decent job detecting people, vehicles, and even animals! Even the cam I have facing the street picks up on moving vehicles, people walking their dogs, etc., from several hundred feet away.

Rules and detection zones, detection sensitivity, and many more options are available, though some require a subscription.

Cons:
Some people might be turned off by the subscription required to view certain events. You *can* install a Micro SD card and get limited event viewing options, though the Cam Plus subscription is also a good deal and gives you a lot of extras like person detection, cloud storage, and the ability to view longer event clips along with other features. The subscription is worth it if you're looking for a home security solution. If you're just looking for a camera to keep an eye on your pets while you're away, then you can probably get by without a subscription. They give you a 2-week trial of the Cam Plus so you can see what it's capable of. If you don't need it, then just install your SD card and go about your day.

The camera does a decent job recording audio but the speaker on it is puny, so talking to someone through it sounds like you're yelling into a tin can from the camera's end. The communication feed may be better on their products like the doorbell cam, but I don't have one of those to test out.

Those minor cons aside, these cameras have worked flawlessly for me since I've had them. I honestly didn't expect so much from such inexpensive cameras. Like I mentioned earlier, I have had to deal with their customer service on another Wyze product (not any of their cameras I own) and they have been great at helping troubleshoot issues and didn't hesitate to send a replacement product when the troubleshooting didn't work. It's great that they stand behind their products.",positive
4,Camera & Photo Products,"WYZE Cam v3 with Color Night Vision, Wired 1080p HD Indoor/Outdoor Video Camera",$35.98 - $70.96,4,"Ordered one from Amazon, $35. Like that camera can sit inside on window sill, flush to the glass of the window, and perfect video picture, night vision is spectacular (have read some ambient light outside is required). No need to worry about batteries or wiring, it plugs into the wall. You also do not need a subscription for just basic usage, but it will only film an event and notify you once every 5 minutes if you opt for no subscription. For $15/year, it is unlimited with no 5 minute pause between even detections. Has a micro SD slot (micro SD card not included), we just used one we had, but not necessary for camera operation. It can also be paired with other appliances through an IFTT app like a garage door.
The MAJOR ISSUE is that even though you may set your detection area, the detection is via a change in pixels (where Ring, Blink, etc. are infrared and detect a heat source) and we receive an EXCESSIVE DETECTION NOTIFICATIONS when the sun sets and shines through the leaves or at night when car headlights flash across the detection area. We have also read where people receive excessive detection notifications when it rains or bugs attracted to light, but we have not had an opportunity to put it to the test with these. The only solution to minimize these notifications for these non-events is to move the camera or to set up rules to silence events during certain times of the day. For the cost, we decided we can live with this. Our walk around for now, is to just have one family member's phone receive alerts. And the other family members must block the alerts for this specific app in the settings of their phone (not within the app, or it blocks everyone's notifications).
Only the initial person who sets up the camera on the app, can make a lot of the changes to the camera within the app. And other family members are just shared access to the camera and can set up their own rules. The initial person who did the set up will receive notifications a split second before the people it is shared with.
Ordered a 2nd one that was supposed to be new, but WAS OPENED and still had the UPS stickers on it with the customer's name and address who had returned it. So returning the 2nd camera and ordering a replacement, hopefully this one will be new.
Realize with any electronics that receive updates (like with cell phones, fitness trackers, etc), they do not have an infinite life due to technology restrictions so another reason to go for this budget friendly option. I believe Wyze retired support for their 1st model after 5 years.
Price on Wyze website was $29.99 ($57.98 for 2) plus $5.99 shipping, but decided buying it from amazon would make sure we had free returns with Prime. Wyze is a company started by former Amazon employees and it is based in Seattle.
Update: very sensitive to raindrops on the window, birds, neighbors' lights turning on and creates an event and notification.",positive
5,Camera & Photo Products,"WYZE Cam v3 with Color Night Vision, Wired 1080p HD Indoor/Outdoor Video Camera",$35.98 - $70.96,1,"I installed several v3's 7 months ago. They worked well. However, Wyze was constantly requiring me to install endless updates. It seemed like every week or two. Well, the last update bricked all of my camera's.

Power cycling did nothing. So I took a couple of the camera's down and reset them. All of them went back on line without a problem. However, as soon as I unplugged them to reinstall them, guess what! Dead again. I reset them again--three times same result. Each time they were power cycled they went into the install mode and wouldn't come out of it so they could reconnect.

I called Wyze tech support and they made me repeat all the steps I had already done multiple times. Why? Because the support person doesn't know much about the camera's, they're simply reading from a help desk script, and they have to check off the boxes or they get in trouble.

They tried to convince me it was my fault. The network router wasn't good enough. Too many things were connected to it. On and on. I'm an engineer so I know BS when I hear it. All the cameras worked fine until the update. Then bricked. That's not a coincidence, and they know it. They've had the brick problem happen numerous times, so tech support has heard it all before. Any little info packet problem, minor power spiking (which is normal) or any other type of interference can cause the flash update to go wrong.

Wyze finally agreed to replace all of the cameras, but it took about three hours going in circles with them. I've already spent close to six hours taking cameras down, testing them, talking to tech support twice, and now I've got to reinstall all the cameras again. These are good, inexpensive cameras--when they work. Tech support is available, but watch out because every problem is caused by something on your end. They really love to blame the router.

Bottom line--they just don't want to replace the cameras if they can convince you everything is your fault. This time they did replace them, which I appreciate. They asked me to return the failed cameras, which I don't mind, but it's just more of my time. Their engineers want to look at them. Really! They'll be sitting in a box somewhere with the other few thousand failures. They'll get to mine around 2026 when someone throws them in the trash bin.

When the time I've spent is taken into consideration, these cameras aren't very cost effective. My time isn't free, even though Wyze acts like it is. We'll see how long the new ones last. If their ""technical team"" keeps updating every few weeks like they're doing now, they'll brick some more cameras. It's the risk of e-prom updates. I would skip the updates, but they pop up a nag screen every time I open a camera. It's annoying. Clicking ""don't show again"" is just another waste of time. Customers aren't sitting around waiting for every minor change in the software. One or two updates a year would be adequate. Let me decide if I want the updates. Oh, that won't work because some of the updates are about taking away stuff like the 12 second videos that originally came with the cameras. What a crock!

It takes about an hour and half to set up a half dozen cameras. Each camera has to be updated from 1 to 4 times during the setup process depending on when it was manufactured. That takes a lot of time. Then it will take me another hour to hour and a half to reinstall them. In total, this brick update will cost me 9 to 10 hours of my time at least.

Wyze has better tech support than most security camera companies. It's just slow having to go through the help screen over and over no matter how many times something has already been done. One tech support person was willing to sit on hold while I uninstalled one from the roof. Ok, let me whip out the ladder, climb on the roof and do that for you. I guess they wanted their lunch break.

At least they replaced the cameras, THEY ruined.

I took one of the old bricked cameras that I didn't have to send back, and I re-flashed it with a clean update. That failed also, so whatever happened during the update when the cameras were installed is permanent. That's another design flaw. There's no way to reverse an update and fix a problem.

Tech Support 3 or 4 stars--depending on who happens to answer the phone.
Cam V3 (when it works) 4 stars
Constant Updates 1 star
Camera Software 3 stars
Wasting my time 1 star
Wifi issues 2 stars

I'll use them without EVER updating them again--at least until they force an update, which they do from time to time. I think they have a hardware problem that needs fixing. When lots of people are reporting their cameras have bricked after updates, or after a power recycle, it's not a random glitch. When I was buying the camera's, Wyze didn't mention anywhere that I needed to have them within 10 feet of my router, or whatever they think the maximum distance should be, for them to update properly. The problem with their wifi strength argument is if my cameras are in a location where they have constant, stable wifi connection 24/7 with no problems recording video to the micro SD card, then that should be adequate wifi connectivity for an update. The previous 10 updates completed with no problems. Again, they should be asking a lot of questions about why updates and power cycling are bricking cameras. There's a solution to this problem, if they want to find it.",negative
6,Camera & Photo Products,"WYZE Cam v3 with Color Night Vision, Wired 1080p HD Indoor/Outdoor Video Camera",$35.98 - $70.96,4,"I been playing with these cams since the old days and this camera for the money is amazing.
The easiest set up and many great features if you opt in for the cam plus. The camera works fine with the memory chip and if you want to live stream.. However you need the cam plus if you want to look back at alerts or history and with cam plus you can choose alerts for people, pets and cars. Otherwise it will alert you on any motion if you don’t get the CamPlus.. it’s 18.00 per year.The notifications are better than my ring camera and the twilight vision works amazing.
Almost gave it 5 stars
I had to take off a star because I bought 4 cameras I loved them so much however the free trial would not load up. 2 of the cameras had 3 months cam plus free and that’s where it got complicated it took hours of resetting everything and trying many times..Finally it now shows I have 3 months free before I will get billed. It’s normally 14 days free but if you check Amazon they have them the same price 35.00 with 3 months of cam plus while it’s still available it’s a great deal. UPDATE After going back and forth with customer support I requested a exchange because it has issues with sending alerts and the others are set up identical and they work fine. Still love the camera 35.00

Got the exchange very easy the new unit works great.",positive
7,Camera & Photo Products,"WYZE Cam v3 with Color Night Vision, Wired 1080p HD Indoor/Outdoor Video Camera",$35.98 - $70.96,4,"We had some of these around at work and I played with them and decided to pick up a couple for myself for home since I was frustrated with my old ones. I have a few thoughts, but overall I'm very happy with them.

1. I bought an Alexa with the screen so I could monitor one of the cameras at my computer, since I found out after purchase that there is no web interface, you have to use your phone. This is my first time having an Alexa as well, and I'm disappointed that the Wyze app for Alex frequently disconnects. I can tell alexa to show me the cam, and sometimes it will stay up for a few days, sometimes it will disconnect for no reason after 10 minutes and I'll have to tell Alexa to pull it up again. It's not a huge deal, it's just annoying if you're looking for a way to monitor a camera for activity for a specific purpose.

2. The camera itself will disconnect from wifi occasionally. It's not frequent enough to be a big deal, but like the Alexa thing, just another minor annoyance that I wish didn't happen. I'd say once a month or so I have to unplug and replug the camera to have it reconnect to wifi.

3. The software is annoying, and has the same issues as my previous camera of another brand. The actual activity monitor unless you have it stationed in a specific area where the lighting is static is basically useless. It doesn't matter how you change the settings, what are you set as active or anything. This thing will freak out at anything, and sometimes it's just it's own rendering of pixels. I've pretty much come to terms with the fact that this just needs to be off.

4. The camera itself, for the price is by far the best I've found on the market. Honestly the picture quality is phenomenal, you have a lot of room to zoom in and around on things, and the quality of the picture with night vision on OR off during the night is second to none.

The overall quality, price and honestly the fact that it's reliable 98.5% of the time is the reason I choose to use these cameras over a lot of other options. Like I said, there's a couple minor annoyances that I really wish could be shaped up, and if they were this would be an absolutely perfect product. That and, you know the motion detection software being actually useful, but honestly I don't need it for that reason really.",positive
8,Camera & Photo Products,"WYZE Cam v3 with Color Night Vision, Wired 1080p HD Indoor/Outdoor Video Camera",$35.98 - $70.96,5,"I helped set up a couple of these for my 74-year-old father-in-law. Downloading the app and registering each camera was extremely simple. He registered the app, pressed a button on the side of the camera, pointed the camera at the QR code in the app, and viola! Easy as cake.
Mounting the camera under the eaves required 1 screw. We ran power to a plug using a 20-foot USB extension cable (purchased separately). The connections were waterproofed by wrapping them with self-fusing silicone tape.
We selected the V3 cameras because it supports 128Gb SD cards that will continue to record activity even in WiFi goes down. It appears data capacity for a 128Gb card is ~7 days of 24x7 data when set to HD (1080P), ~14 days at SD (720P), and ~28 days at 360p.
Making adjustments in the app is simple. My father-in-law now has peace of mind being able to view the cameras live at any time or any place while everything is being recorded.",positive
9,Camera & Photo Products,"WYZE Cam v3 with Color Night Vision, Wired 1080p HD Indoor/Outdoor Video Camera",$35.98 - $70.96,5,"I purchased this two pack of cameras to replace the same type of Gen 1s of the same brand. The set up was extremely easy out of the box, the instructions are very clear to follow, and the cameras work perfectly. I was able to exchange them for the old ones in just a few minutes and I must say the picture quality and night vision quality are so much better now. The original cameras were high definition but they always seemed a little grainy for some reason. These new cameras don’t have that issue at all. If you have any hesitation about using these Wyze products, don’t! They are worth the money and I had the others outside for almost 3 years and they weren’t even rated be outside. These cameras are external and internal so you won’t need any housing for them.",positive
