,cate,product,cost,review_star,review,tag
0,Cell Phones & Accessories,"Ailun Glass Screen Protector Compatible for iPhone 11/iPhone XR, 6.1 Inch 3 Pack Tempered Glass",$7.98,5,"This screen protector is fantastic. There’s no glare, it doesn’t effect touch sensitivity both with your fingerprint recognition and regular touch screen activities. I did not install it myself but my husband did and it went on quickly and easily.

But, the real winning feature is that it works beautifully. I have a medical condition where my hands will become spastic. This condition has ruined many a phone screen for me. I drop them so frequently and often roughly with our meaning too and the screens crack. However, I used one of these for over a year and while I had minimal scratches/cracking of the protector, my phone screen remained completely untouched. Even after the protector had cracked it continued to protect my screen for a great deal of time. I only ordered replacements after I felt like it might be nice not to look at cracks anymore.

Highly recommend this product.",positive
1,Cell Phones & Accessories,"Ailun Glass Screen Protector Compatible for iPhone 11/iPhone XR, 6.1 Inch 3 Pack Tempered Glass",$7.98,5,"I was sent a free iPhone XR to replace my old iPhone when the company turned off 3G in the area. I wasn't to pleased with the beveled edge of the iPhone glass. Had never had a protector over the screen and that worried me. Found this glass protector and thought I would give it a try. I like it. It does protect the screen all the way up to the bevel -- which is much better than nothing. Glass is crystal clear and install is simple, but the cheap alignment stickers that come with the kit are too thin to do any good. So it is basically get the front started up by the camera, don't stick it, just let the corners sit in place and then slowly guide the other end down to it's corners. Worked like a champ (on the 2nd try). The XR screen is notorious for not being perfectly flat, so you may have a bubble that won't go away in a corner where the screen falls off toward the bevel. You'll never notice it using it. The adhesion and clarity and touch preservation were all great. Well forth the protection for the price.",positive
2,Cell Phones & Accessories,"Ailun Glass Screen Protector Compatible for iPhone 11/iPhone XR, 6.1 Inch 3 Pack Tempered Glass",$7.98,5,My first screen protector was put on for me by someone else but I put on the 2nd one and it was so easy…even though I was nervous about messing it up! The protector saved my phone screen many times. Pictures show the one I removed with all of its cracks—but no scratches on my phone at all! I am so glad I purchased these and would all over again!,positive
3,Cell Phones & Accessories,"Ailun Glass Screen Protector Compatible for iPhone 11/iPhone XR, 6.1 Inch 3 Pack Tempered Glass",$7.98,5,"I was looking for military grade glass for my phone, I came across these screen protectors. The pack on three are cheaper than the one the other sites want. The Quality of this product is far better that what is stated on the package. These protectors will go on every phone I own no questions asked.",positive
4,Cell Phones & Accessories,"Ailun Glass Screen Protector Compatible for iPhone 11/iPhone XR, 6.1 Inch 3 Pack Tempered Glass",$7.98,5,I wouldn’t buy any other screen protector! My phone was accidentally dropped in the driveway without me knowing until we got home and it was at my feet when I opened the door. I for sure though my phone was done for it but I peeled the protector off & my screen was perfect! There is just a few purple dots internally but nothing wrong with my screen! Totally worth the buy,positive
5,Cell Phones & Accessories,"Ailun Glass Screen Protector Compatible for iPhone 11/iPhone XR, 6.1 Inch 3 Pack Tempered Glass",$7.98,5,Instructional video made it very easy to put the screen on the phone. So worth the money. No more going to the phone store and wasting money when I can do it myself and with a quality product.,positive
6,Cell Phones & Accessories,"Ailun Glass Screen Protector Compatible for iPhone 11/iPhone XR, 6.1 Inch 3 Pack Tempered Glass",$7.98,5,"No reason not to add this to protect your phone screen. This product is great! Will keep your screen from getting scratched, i have yet to break a screen with this product installed. If you break the protector it is easy to remove and replace. Cost of the protector compared to cost of the screen is a no brainer-put this on your phone! Much better than the plastic alternatives that scratch and give you that foggy/hazy look over time.",positive
7,Cell Phones & Accessories,"Ailun Glass Screen Protector Compatible for iPhone 11/iPhone XR, 6.1 Inch 3 Pack Tempered Glass",$7.98,5,Easy to put on and last a long time I’ve dropped my phone plenty of times and it protected it every time. One time i dropped the phone on its side and the screen protected cracked so it took the hit of the fall and my phone was in perfect condition. I just swapped for another Protector to put on since the pack comes with 3 of them. Will never buy a different brand this is the best,positive
8,Cell Phones & Accessories,"Ailun Glass Screen Protector Compatible for iPhone 11/iPhone XR, 6.1 Inch 3 Pack Tempered Glass",$7.98,5,"Great glass screen protector, does not exactly fit the full screen of a iPhone 11, but it is sufficient coverage. Very easy to place on iPhone screen and looks great and iPhone works perfectly with screen on.",positive
9,Cell Phones & Accessories,"Ailun Glass Screen Protector Compatible for iPhone 11/iPhone XR, 6.1 Inch 3 Pack Tempered Glass",$7.98,5,I first purchased a different brand and the installation failed because of dust on sticky side of the actual protector. This brand was completely different. The installation was super easy and the result is perfect. The quality is great and it came with three in the pack in case I ever need extras. I’m very happy with this purchase!,positive
10,Cell Phones & Accessories,"Apple 20W USB-C Power Adapter - iPhone Charger with Fast Charging Capability, Type C Wall Charger",$17.98,4,"When you buy Apple you think you’ll get top quality, safe & effective and you choose to pay the Apple premium for this. Nope on the safe part…. We don’t know what we get with Apple because they simply won’t tell us.

Just before this item I bought an Anker charger only to find in mini print in a mini pkg insert that MAX operating temperature is only 77 degrees for the Anker. SHOCKED it was that low & angry the fact had been hidden in that inset rather than being disclosed on the product page. I was SURE Apple would have a much more reasonable operating temp range.

BUT Apple also did not disclose an operating temp, worse there was nothing even in the product specs insert or on their FAQs online. Couldn’t believe it so I called them & told them this story.

Result: Zero disclosure. In other words, count on your luck because you’re not allowed to know any safe operating temperature guides for use of an Apple charger.

I love my Apple products but this has really shaken me. Never dreamed this could happen with Apple.

Shouldn’t customers be informed on how to safely use products? Isn’t this a requirement? If not why bother with any specs disclosure? Why is temp excluded especially considering 77 degrees is VERY limiting for many people - no AC, no reliable electricity (like Texas), living in tropic or desert climate (100 plus Florida, 115+ Arizona, Cali & many other places if we look only at record summer heat the past 3 summers, even in western Canada!) Not to mention any outdoor living means non-AC heat levels: camping, BBQing, summer parties, even doing a half day road trip can mean high temperatures in the summer even with auto AC on as sun streams inside (personal experience after 6k trip in 2021).

Shameful if you ask me & our government should require ALL safety info is given to consumers including where/what temperature is safe to use a product.",positive
11,Cell Phones & Accessories,"Apple 20W USB-C Power Adapter - iPhone Charger with Fast Charging Capability, Type C Wall Charger",$17.98,5,These appear to be Apple OEM charger cubes. They work great with our iPhones and charge very quickly as compared to the 5 watt cubes that Apple used for years. I would buy it again if need be. Probably the best price you will find on this Apple equipment.,positive
12,Cell Phones & Accessories,"Apple 20W USB-C Power Adapter - iPhone Charger with Fast Charging Capability, Type C Wall Charger",$17.98,5,"This is the original charger from Apple and it works as rated. I have an iPhone 12 and you can get your phone fully charged from about 10% in about an hours time.

I do use a pouch as shown in the photos to reduce the damage to the cord since the cord is notorious for being quite broken.",positive
13,Cell Phones & Accessories,"Apple 20W USB-C Power Adapter - iPhone Charger with Fast Charging Capability, Type C Wall Charger",$17.98,5,The usb-c adapter works well as intended. I had hoped that it was smaller but the size is still small enough to travel with and fit side by side on an electric strip.,positive
14,Cell Phones & Accessories,"Apple 20W USB-C Power Adapter - iPhone Charger with Fast Charging Capability, Type C Wall Charger",$17.98,5,"I often buy apple products straight from the Apple store and had thought I might get something fake if I ordered online. However, this charging block seems original. It came packed the same way as the one I got at Apple and has worked the same too, as far as I can tell. Woohoo!",positive
15,Cell Phones & Accessories,"Apple 20W USB-C Power Adapter - iPhone Charger with Fast Charging Capability, Type C Wall Charger",$17.98,5,This product worked very well. No issues. Cost is more because it was an Apple product which is what I wanted. It is large in comparison to regular USB site plug and plug prongs don’t fold.,positive
16,Cell Phones & Accessories,"Apple 20W USB-C Power Adapter - iPhone Charger with Fast Charging Capability, Type C Wall Charger",$17.98,5,Bought this to replace my missing power adapter to use with my original iPad lightning port cable and it quit working within about 3 months.,positive
17,Cell Phones & Accessories,"Apple 20W USB-C Power Adapter - iPhone Charger with Fast Charging Capability, Type C Wall Charger",$17.98,5,actually charges decently fast i won't lie but 18 dollars wooo eeeee i could've gotten like 2 chiptole cheddar chalupa combo boxes and have a dollar left to give the homeless guy outside while i bring two large boxes of food home in front of him,positive
18,Cell Phones & Accessories,"Apple 20W USB-C Power Adapter - iPhone Charger with Fast Charging Capability, Type C Wall Charger",$17.98,5,"The Apple 20W USB-C Power Adapter does exactly what the description states. It charges your Apple phone, ipad and smart watch. The price is good. I highly recommend it. I use it will all my apple products.
I will echo like some people have said, back in the day chargers came with all products that you purchased whether they were cheap or expensive. Today, the manufacturers are trying to squeeze the consumers for every cent they have and that's really wrong. Imagine whether you buy Apple or Samsung high end model for over $1000.00 SURPRISE--NO charger included. Now isn't that a racket.",positive
19,Cell Phones & Accessories,"Apple 20W USB-C Power Adapter - iPhone Charger with Fast Charging Capability, Type C Wall Charger",$17.98,5,Perfect for the missing USB-C in your new i-watch case…It’s an apple product and is sturdy with a high wattage…your watch will charge faster than the old 5 watt versions…,positive
20,Cell Phones & Accessories,"Anker Portable Charger, PowerCore Slim 10000 Power Bank",$21.99 - $27.99,5,"Years ago, my old iphone had that battery issue, where it wouldn't stay charged up as long as a newer phone would have, so I got in the habit of keeping a couple of power banks in my purse to charge on-the-go if needed. A couple of newer phones later, I've stopped relying on the power banks so much, but I still carry them, just in case. The other day, they came in really handy when a friend's phone was nearly dead, and she didn't have a way to charge it. That's when I realized my power banks were really old, and though they still work well, I wonder how much longer they'll last. Surely they'll wear out at some point, right? So I came to Amazon looking for a new one. I wanted to stick with a known brand, and this Anker power bank was low-priced with a coupon, so I grabbed it.

When I took it out of the box and checked it, 2 of the 4 lights were lit up, indicating it was 25%-50% charged, so I plugged it in. But when I checked on it an hour later, it was still only 2 lights. I was concerned that maybe I got a dud, since I expected it to show faster charging progress. But then I saw something in a review or product description that said it takes around 5 hours to fully charge. Plus I realized my biggest old power bank was only 6500mAh, so it makes sense that a 10000mAh would require more time. I then forgot about it till the end of the workday when I was packing up my things to go, and sure enough, it was fully charged.

So far, it's a great little power bank, enough that I can charge up my iPhone 11 a few times before the power bank needs to be recharged. I don't really care that the USB-C is input-only, since most of my devices (and therefore my charging cables) are either micro-USB-C or lighning to USB-A. In fact, I think I only have two cables that are USB-C, so I likely would never use it if that port was available for output...though I certainly understand why other people might wish for that feature. In any case, I've had good luck with the Anker brand, and it looks like this power bank is another winner.",positive
