,cate,product,cost,review_star,review,tag
0,Collectible Coins,TOYSDONE Yes No Decision Maker Coin - Souvenir Coins - Yes No Coin - The Decision Coin - Metal Coins Collection - Decision Maker Coins - Double Sided Coin - Lucky Coin - Choice Coin - Collectors Coin,$5.74,5,"It's big, heavy and doesn't feel cheap. That's good enough for me.",positive
1,Collectible Coins,TOYSDONE Yes No Decision Maker Coin - Souvenir Coins - Yes No Coin - The Decision Coin - Metal Coins Collection - Decision Maker Coins - Double Sided Coin - Lucky Coin - Choice Coin - Collectors Coin,$5.74,4,"The coin has been doing a good job of making all of my financial decisions. It's also how I convince my wife of certain things I won't detail here. I dropped it a handful of times the last time I went camping, but that was probably from all the drinking. My hand eye coordination is really good most of the time, and my friend Steve has even remarked about it in the past. Regardless, it did end up falling into rocks/gravel and did end up taking a bit of damage. I would have supplied pictures, but I ended up losing it when I traveled back in time to 1994 because it did not function well as a pog slammer. Oh well, you live and you learn I suppose.",positive
2,Collectible Coins,TOYSDONE Yes No Decision Maker Coin - Souvenir Coins - Yes No Coin - The Decision Coin - Metal Coins Collection - Decision Maker Coins - Double Sided Coin - Lucky Coin - Choice Coin - Collectors Coin,$5.74,4,The only reason it did not get a full 5 stars is because the case it came in came slightly broken,positive
3,Collectible Coins,TOYSDONE Yes No Decision Maker Coin - Souvenir Coins - Yes No Coin - The Decision Coin - Metal Coins Collection - Decision Maker Coins - Double Sided Coin - Lucky Coin - Choice Coin - Collectors Coin,$5.74,4,"The sides weren't printed upright to each other, one side is at a 90% angle from the other",positive
4,Collectible Coins,TOYSDONE Yes No Decision Maker Coin - Souvenir Coins - Yes No Coin - The Decision Coin - Metal Coins Collection - Decision Maker Coins - Double Sided Coin - Lucky Coin - Choice Coin - Collectors Coin,$5.74,3,Cute but cost too much,fair
5,Collectible Coins,TOYSDONE Yes No Decision Maker Coin - Souvenir Coins - Yes No Coin - The Decision Coin - Metal Coins Collection - Decision Maker Coins - Double Sided Coin - Lucky Coin - Choice Coin - Collectors Coin,$5.74,3,Weird spot on the coin. Don’t know if it’s some substance from manufacturing or corrosion. Kind of a bummer.,fair
6,Collectible Coins,TOYSDONE Yes No Decision Maker Coin - Souvenir Coins - Yes No Coin - The Decision Coin - Metal Coins Collection - Decision Maker Coins - Double Sided Coin - Lucky Coin - Choice Coin - Collectors Coin,$5.74,5,"My first package arrived with nothing in it. However, I had another one in my hands within 24 hours. It's a fun little device. Ask it a question, flip it and find out the answer.",positive
7,Collectible Coins,TOYSDONE Yes No Decision Maker Coin - Souvenir Coins - Yes No Coin - The Decision Coin - Metal Coins Collection - Decision Maker Coins - Double Sided Coin - Lucky Coin - Choice Coin - Collectors Coin,$5.74,5,"Good weight (heavy), beautiful etchings on both sides, a lovely coin for the flipping.",positive
8,Collectible Coins,TOYSDONE Yes No Decision Maker Coin - Souvenir Coins - Yes No Coin - The Decision Coin - Metal Coins Collection - Decision Maker Coins - Double Sided Coin - Lucky Coin - Choice Coin - Collectors Coin,$5.74,5,Just what I asked for,positive
9,Collectible Coins,TOYSDONE Yes No Decision Maker Coin - Souvenir Coins - Yes No Coin - The Decision Coin - Metal Coins Collection - Decision Maker Coins - Double Sided Coin - Lucky Coin - Choice Coin - Collectors Coin,$5.74,5,It a coin that you can use to simple yes or no related indecisions.,positive
