,cate,product,cost,review_star,review,tag
0,Computers & Accessories,"Fire HD 10 tablet, 10.1"", 1080p Full HD, 32 GB, latest model (2021 release), Black",$129.99,4,"This is my third Amazon tablet. I own the the original 8 HD, the next generation, and now the latest. Obviously if you love the Amazon environment as I do, you can't go wrong with this tablet. I never ventured into the Apple world simply because I couldn't afford it on a teacher's salary and because I was already invested in Prime.

All of my tablets continue to function without any issues. The 8HD is beginning to show its age because the operation system can't update to the latest and greatest due to hardware issues. But it still will be grabbed for reading and listening to music.

Durable. That is what I would call these tablets. If I was going to use the tablets for other than recreational use, I would be looking for.something else. But as it is, the tablets do what I want them to do at a price point that keeps.me happy.

There are a couple.of issues that have been consistent across the three versions I own. The first is that the battery life has been ,""meh, "". All models promoted themselves as having really decent battery life. That was true when new. All three seemed to begin losing battery life within the first 6-10 months of usage. I am very careful with my charging protocol, making sure I don't just leave them on charge overnight like some people do.

Nowever, with three tablets, I always have one fully charged and ready to go.

The second issue I have with the Amazon tablets is the placement of the volume and power buttons. You would think Amazon could afford some decent investigation into now people.actually handle the tablet when using it. This latest version has been the absolute most annoying. When holding it in my hands, I frequently find I've accidentally changed the volume or turned the tablet off. The 8HD's buttons were recessed enough I never had this problem. But the later versions of the tablet all have the buttons sticking out farther from the case making them easier to locate but also.easier to accidently hit. And, whoever thought the on/off button should be directly under the volume button should never be allowed in a product design studio again.

A minor complaint is the spellchecker. Absolutely the worst I've ever seen. If you don't mind random periods and single words changed into two that don't make sense, like 'because' being change into 'be wise' (Huh?), then this probably won't bother you. Also if your high school English teacher drilled poofreading into your mindset, you should find this spellchecker subroutine an extension of heaven!

All in all, I would give these Amazon tablets a solid 4.5 out of 5 stars for the price point, durability, and ease of use in the Amazon environment. If you're looking for a tablet more for its entertainment value , you can't beat one of these.",positive
1,Computers & Accessories,"Fire HD 10 tablet, 10.1"", 1080p Full HD, 32 GB, latest model (2021 release), Black",$129.99,4,"Ok, so I’ve been an Apple products user for cell phones and tablets since iPhone2. Figured it wise to disclose this up front. I’m not adept at all android os devices yet, but learning on the fire tablet has been decently intuitive and relatively easy. For the past 8 years, I’ve used an Apple iPad Air 2013 model that I got refurbished in 2014. It was always a crisp screen view and has held up since I bought the one with the most memory available. This Spring (2022), I noticed that more and more apps were not opening because the outdated OS no longer supported those apps. I kept using the iPad since streaming services were still working. That ended in June 2022–suddenly several of the streaming apps I regularly used stopped opening. I really didn’t want to spend upwards of $1,000 on a new or recently used iPad, so I looked into this recent model Fire tablet. This has been a good alternative so far! The screen resolution while streaming is good. The Home Screen resolution isn’t nearly as crisp as my old iPad was, but I got this Fire tablet on Prime Day for well under $100 (so freaking solid quality nonetheless given how much money I saved). Setting the Fire up was pretty easy, and I’ve been using the kindle feature on it far more than I ever used on my iPhone. I liked how the screen can be personalized, and have generally enjoyed this Fire for the few weeks I had it so far. The only real pain in the @$$ though is despite extending the screen sleep timer to 10+ minutes this thing routinely auto dims or sends its screen into sleep mode frequently while I am actively using it! It’s really annoying, because I can’t just hit a home button to awaken it—I typically have to close the magnetic cover & reopen it. I’m getting used to the exercise, but it’s sure noisome! Maybe this a user error issue?! I’m a bit ignorant on this point and my lack of experience with Fire tablets must be acknowledged. That said, it’s why I knocked off a star. I’ll try to update this review in the future once I’ve better familiarized myself with the OS and researched some online troubleshooting remedy discussions.",positive
2,Computers & Accessories,"Fire HD 10 tablet, 10.1"", 1080p Full HD, 32 GB, latest model (2021 release), Black",$129.99,4,"This first happened, for me, when I innocently closed my first Kindle in the car door. Oh, sure. There were hurtful rumors that it jumped, but I still insist it was an accident.

Anyway, the replacement did away with the keyboard, and installed an infuriating pop-up version on which I am forever making typos.This was presumably to increase the screen size. More importantly, they removed the earphone jack. As I spent a fair amount of time listening to the electronic voice reading, while did something else....big issue.

Now we come to my decision to upgrade my smaller Fire tablet to a bigger screen. Being that I put thing off at a Professional level, my wife ended up getting me this as an early birthday present. I encountered yet another 'dump': I can only listen to a book if I own the Audible version. Which means, in essence, about 20 titles, most of which are books I wrote and released through ACX. Since you would literally have to beat me into submission to abandon a ton of better books to listen those...well, you get the general idea. I have probably 900 books that I can't audible skim through while working crosswords or balancing the national debt. So, okay, that latter bit is just an excuse I give my wife, and I suspect she's starting to catch onto the fact.

ANYWHOO...

I'm keeping the smaller Fire to essentially replace my Kindle, but this is a HUGE omission for me. Would it have taken up that much memory to leave the auto-read feature in place?????????

Good tablet, bad decision.",positive
3,Computers & Accessories,"Fire HD 10 tablet, 10.1"", 1080p Full HD, 32 GB, latest model (2021 release), Black",$129.99,5,"I bought this because I wanted to give my wife a Kindle and I planned on giving her this one. She doesn't like reading on tablets, so I am using it. The screen is easy to see and read on even with cataracts. It's not an iPad, and hopefully it's not made with slave labor, like the iPod. It does everything I want and does it well, so I am very pleased with it. It's much faster than the previous version. I know because I went back to it after finishing a book on my new one and the load time of a book that was already downloaded to it was about the same as the wait to download and open a book on the new. Watching video is a pleasure, the color depth is excellent and the CPU on this version is fast enough that the WIFI is the limiting factor on how video is displayed. we watched ""Tombstone"" on the laptop and there was no buffering. Something that my previous Kindles couldn't claim!
The only issue I have with it is it wants to work in landscape mode, not portrait, which is the easiest way to read a page.",positive
4,Computers & Accessories,"Fire HD 10 tablet, 10.1"", 1080p Full HD, 32 GB, latest model (2021 release), Black",$129.99,5,"tl;dr up front -- This is an excellent tablet! I would certainly purchase it again. (I paid $75)

I primarily use tablets for streaming purposes, audio and video. This device does both very well.
My primary apps:
iHeart Radio
Peacock
ESPN
xfinity Stream (companion app for Cable TV)
Amazon Prime
Amazon Prime Music
Spotify

All of those apps work well. Video quality is equal to an iPad (yes I also have one of those).
iHeart Radio has a problem with streaming one particular radio station on this tablet, but I suspect it is not primarily a Fire problem.

I typically use bluetooth headphones, but the built-in speakers work well when I need them.

Battery life is multiple days for me. I typically run the battery down to 10% then charge up to 90%. (it helps having another tablet available)

Of note -- fast charging via USB-C works fine with this tablet.

Of note 2 -- no YouTube app, but! You can download an 'app' (on-screen button) that just opens youtube.com, which works just fine.

Occasional minor problems with touching the right spot on the screen for some menu options -- but I suspect my fat fingers are the problem more than the device.",positive
5,Computers & Accessories,"Fire HD 10 tablet, 10.1"", 1080p Full HD, 32 GB, latest model (2021 release), Black",$129.99,5,"I have over the years tried many tablets, from generic to ipad. When my ipad mini was about 2 years old it was no longer able to be updated. That was unacceptable to me, considering the cost of ipad and that it was only 2 years old and being made obsolete by apple, so I tried my first kindle fire. My first one was an 8 in version. I found that it was able to do all I wanted and more. After having it for a period, I gave it to a friend and then bought my first 10 in hd Fire tablet. For my work, I was able to become 100% paperless with the use of the tablet and my computer. I recently bought my third, again a Fire HD 10 now the 11th generation, and again, I love it. Could not ask for better for the price.",positive
6,Computers & Accessories,"Fire HD 10 tablet, 10.1"", 1080p Full HD, 32 GB, latest model (2021 release), Black",$129.99,5,"This works well and does the basics. We bought 2. It is extremely reasonably priced. When family comes over to our camp site in the summer we can give them to the kids or drunk adults :) and not worry about them (we have a kid friendly cases with handle). They can stream from all the streaming apps, search the internet, check email, play games. We do have iPads, which are definitely more expensive. iPads are faster and there are some apps you can get through Apple and you can't get through Amazon. We have Direct TV Stream and couldn't get it through the Amazon app store but that is the only one I found so far. What I do like is Alexa, iPads do not have that, we hook the Fire Tablet to a Bluetooth speaker and pass the tablet around and people can just ask Alexa to play what they want on Spotify. No one has to press buttons, just talk to the tablet. And if something happens to the tablet we aren't out a lot of $$. So far they have taken a lot of falls and the tablets have held up well. I would recommend these if you need it for basic web surfing, emails, use it as a mini tv, or play music games with big people drinks :) Picture quality is good. May want to use a Bluetooth speaker to it so it is louder. Battery life is good.",positive
7,Computers & Accessories,"Fire HD 10 tablet, 10.1"", 1080p Full HD, 32 GB, latest model (2021 release), Black",$129.99,4,"All in all, I am satisfied. Initially, I wanted only a reader, but found out the Kindle readers' memories are not expandable; the tablets are with a separately bought card. Having an e-library of over 7200 books & documents, I wanted a unit where as many items as possible could be downloaded & then accessed without wifi; as best as I can tell, this is doable. What I find most aggravating is the over riding Alexa, as well as some other settings like notifications. No matter how many times I check every possible setting for each app, Fire 10 (2021) repeatedly over rides. I don't use it for playing games, watching movies, or listening to music. I don't access any email or social media accounts, not even a calendar. As I said, I really only wanted a unit that could hold a lot of downloaded reading materials. There isn't the option to uninstall useless apps & the disable buttons are nonfunctional; the only viable option is to force stop. In the month of ownership, I've had to stop all of the Alexa apps & all notifications more than 4 times! I am unimpressed with its battery life. In a typical usage of 2 & 1/2 hours, the battery reduces 25%. The touch screen is not as sensitive to finger touch as it is to a stylus. I bought the Fire 10 on a Prime Day & am very glad about the $95 discount. Had I gotten it at full price, I doubt I would've put up with all of its aggravations.",positive
8,Computers & Accessories,"Fire HD 10 tablet, 10.1"", 1080p Full HD, 32 GB, latest model (2021 release), Black",$129.99,5,"I'm a iPad/Mac user, but, for kindle book reading, I've used a dedicated Fire Tablet HD 8 that I've had for well over 2 years.

When this new model 10 inch Fire Tablet was reduced in price during the holidays in 2021, I decided it was time to make the jump to a larger screen (more (paper) book sized) and gain more battery ife per charge due to a larger battery.

This 10 incher did not disappoint at all. As a primary use for Kindle books, I'm getting 20 or more % battery life then the 12 hours the specs suggest this tablet can get.

The screen quality for reading is perfect. I typically set it to lower brightness (fixed) and there's no glare in the eyes nor any eye strain when using in a darkened bedroom at night.

The faster processor then my older 8 inch HD clearly adds some speed to anything you do on this tablet.

There's no lag at all in trying it for video, gaming, etc. As stated though, for me, I use a Fire Tablet primarily as a reader, period.

Screen resolution and contrast is excellent, certainly not any better ( and a little less) than my iPad PRO, but, of course we're talking a big difference in cost between tablets here and very different display technologies as well.

That said, this 10 inch HD Tablet is no slouch in offering a clear, sharp/detailed display with very sufficient color saturation and accuracy plus nice crisp text over-all.

Given Amazon offers just about any app needed for this fire Tablet, it certainly could be used for just about everything that an iPad could be and at a competitive price to the new basic model iPad model that sells in the $330+ dollar range now.

Some reviewers said due to where the camera is (oddly) located, one must use this Fire tablet in a case with the cover opening to the right rather then to the conventional left, but, not true. Since this tablet can flip screen orientation based on where the top of screen is located, I'm using a hard shell case for my Fire and the conventional left cover opening as normal. Granted the camera is at the bottom left corner in my configuration, but, that is no issue since if one needs to use the camera, they can orient the tablet however they wish and the screen (and camera) will orient as needed for photos.

The net here is you can use the tablet in a case and flip open the left cover as normal.

As an owner of both an iPad Mini and an iPad Pro 11 inch, I can say in all honesty, anyone wanting a tablet on a budget and hoping to get some decent performance and screen quality plus great battery life won't be disappointed at all in this new model 10 inch Fire Tablet.

I got the base 32 GB version with ads. Ads only show on the screen saver when opening up the sleep/wake cover and a one finger flip up of the screen goes back to where you left off or the home screen. Ads really are not a biggie in this context at all.

Given one can add a micro SD card to gain more storage space, and Micro SD cards are dirt cheap now, the 32GB version is fine for me.

No complaints at all and 5 stars all around for this Fire Tablet. A well designed tablet at a very good price.

I highly recommend it! If you order one, it'll be a definite ""keeper"".",positive
9,Computers & Accessories,"Fire HD 10 tablet, 10.1"", 1080p Full HD, 32 GB, latest model (2021 release), Black",$129.99,5,"Just before Christmas in 2021, this item popped up on sale for just $75. We’re an apple family. We have numerous iPads in the house, plus our iPhones, Mac, MacBooks, Apple TV, etc. I’m an audio mixer, and use a product from Avid called the S1. It’s a control surface for Pro Tools that is meant to house a tablet for additional functionality- or eye candy. My older IPad worked, but looked tiny in the cradle, and wasn’t all that useable. I wanted something bigger, but didn’t want to spend the money on yet another iPad. For $75, I was willing to roll the dice.

It fits great, looks great, and does exactly what I bought it for.

But then I started to explore it deeper. It has built in Alexa with the wake word Amazon. As an audio engineer working from home, I sporadically have actors coming to record. I’ve got Ring doorbells at the entrances, and Echo devices in nearly every room. But for the first time, I can say “Amazon, show me the front door!”, and actually SEE it- and a lot faster than the Ring app on my phone would allow. This was a nice bonus. In fact, in my experience and opinion, Alexa works for much quicker and more reliably than Siri, that I’ve found myself relying on it a lot more. Having Alexa in the tablet to verbalize reminders, appointments, phone calls, etc- all right in front of me, is amazing!

I became fascinated with my new toy, and downloaded all the steaming media we subscribe to, plus other apps for news and weather that provide lots of content. I quickly found that I enjoyed watching tv on a 10 inch screen a lot more than on my iPhone. It’s nice to have lunch at the table with my kiddo and share a video we can both easily see and hear. So- this little guy has a great screen and works perfectly for watching shows, movies, YouTube, news, etc.

Now- I love my iPhone, and have my music library in iTunes. But when I purchase music, it’s always via Amazon. This is because I get my MP3 files instantly for most albums- but then have a physical disc arrive that often goes unopened. I just like know that HAVE the disc if I ever need to load it again or want to enjoy it in my stereo system. My iPhone can store a decent amount of music internally for when streaming isn’t an option. But I was floored to learn that the HD10 2021 has a micro SD card slot that can store up to 1 TB!!! That’s amazing to me. I can preload entire series, movies, music, photos- anything I need for a long trip or chilling in downtime. For like $25 I added a 400 gig card. Why iPads don’t have this is beyond me.

I work with and coach voice actors outside of my day job as a recording engineer. Having that much memory on a tablet and access to an app like WavePad, gives them the ability to record in a pinch while away from their studios. On-screen editing is also fun and easy. I actually added a nifty stylus and case to my HD10, along with a Bluetooth keyboard. It’s essentially a mobile studio, albeit limited.

While I haven’t experimented a ton with this- Silk browser (which seems to run on Chrome) allows me to use Source Connect Now to tap into actors or listen to sessions remotely at “CD quality”. Of course you can also use Zoom, Skype, etc.

As an apple user, I still want access to my ICloud apps, like Contacts, calendar, Pages, Keynote, Numbers, etc. You can log into your iCloud account and get it all. The trick is to choose “request desktop site”, otherwise you dead-end at “find my device”. You can even log into Apple Music via the browser. So all my apple stuff is still with me!

I chose Outlook email to run my various work and personal emails and have a unified calendar. It’s perfect for what I need.

For $75, I’m finding myself using it more than I have ever used my iPad. It’s the right screen size for me to actually be productive with it, while also having endless entertainment in reach. Add a case, keyboard and stylus- and you’re good to go!",positive
