,cate,product,cost,review_star,review,tag
0,Digital Educational Resources,"Spectrum | Language Arts Workbook | Grade 2, Printable",$8.99,5,"I homeschool my 4 kids and they love this, it has amazing worksheets in it and actually helps to teach the thing prior to jumping into a worksheet!",positive
1,Digital Educational Resources,"Spectrum | Language Arts Workbook | Grade 2, Printable",$8.99,4,Good practice book I will buy every year,positive
2,Digital Educational Resources,"Spectrum | Language Arts Workbook | Grade 2, Printable",$8.99,5,Contents are amazing if you’re home schooling. I wish there were more exercises for each topic (2-3 pg only). But im glad it covers a variety of language and parts of speech,positive
3,Digital Educational Resources,"Spectrum | Language Arts Workbook | Grade 2, Printable",$8.99,5,"Very thorough, has an answer key in the back. Great homeschool supplement!",positive
4,Digital Educational Resources,"Spectrum | Language Arts Workbook | Grade 2, Printable",$8.99,5,"This was exactly what I was looking for to help my child with some things that were missed/not thoroughly covered with the pandemic. This workbook provides both the information and practice in the order it should be taught. This shouldn't be your only source of language arts instruction, but certainly can function as a starting point or as a refresher. I used it to see what they knew and what needed additional help. Will buy more in this series.",positive
5,Digital Educational Resources,"Spectrum | Language Arts Workbook | Grade 2, Printable",$8.99,4,My girl currently in the first grade. She has finished the first grade spectrum language art book. Now she is doing the second grade one. Not hard. She can answer the questions in the book by herself. Love this set books. It helps a lot. Not lots of informations in the book. But that’s enough for matching her lessons at school.,positive
6,Digital Educational Resources,"Spectrum | Language Arts Workbook | Grade 2, Printable",$8.99,5,"My son is 1st grade, and I started this book after Spectrum Reading grade 1. I make him do half page per day since he does not like writing. Slow, but moving along. We are at page ~30, It has thorough review of language with some writing practice here and there. Of course, it involves reading practice. Since my son is very slow for writing/reading stuff, this book works best for him. I don't need separate workbooks for writing/ reading/ grammar stuff. This is one for all in language subject, I think.

** update in Aug 2018: my son now does 1 page each time. Maybe ~ 4 pages per week total. He is almost done with it. Great progress over 9 months or so. I am getting Language Arts grade 3 soon.",positive
7,Digital Educational Resources,"Spectrum | Language Arts Workbook | Grade 2, Printable",$8.99,5,"I bought this book for my going to be 2nd grader. We worked on this book during summer. My child enjoyed working on this book, one thing I liked about the book is after every 3 lessons they gave you a review of those 3 lesson together. So I used those review lesson as assessments.
I would recommend this book for sure.",positive
8,Digital Educational Resources,"Spectrum | Language Arts Workbook | Grade 2, Printable",$8.99,3,"A solid book, I think, but dry. No color, and the writing spaces are tiny - the pacing is weird, too - the lessons don't really build on each other; they're just stand-alone, which makes it feel really disjointed. We ended up going with Evan-Moor instead, but may revisit this.",fair
9,Digital Educational Resources,"Spectrum | Language Arts Workbook | Grade 2, Printable",$8.99,5,Great book for my homeschooled second grader. Breaks everything down for her and provides plenty of practice without being too much. I got some other books from spectrum and together they are great.,positive
10,Digital Educational Resources,"Spectrum | Math Workbook | Grade 5, Printable",$8.99,5,"We used this for summer between grade 4 and 5 to get ahead before the busy sports season starts. He has made it through 4 chapters so far, working on the 5th.",positive
11,Digital Educational Resources,"Spectrum | Math Workbook | Grade 5, Printable",$8.99,5,Really good book to practice. Covers all important math concepts. Very happy wirh purchase,positive
12,Digital Educational Resources,"Spectrum | Math Workbook | Grade 5, Printable",$8.99,5,"I’m so happy with this purchase. My son was falling behind in math, we ordered this book and hired a tutor. This book covers exactly what they were teaching in the classroom. My son feels so much more confident and actually loves math now that he “gets it”.",positive
13,Digital Educational Resources,"Spectrum | Math Workbook | Grade 5, Printable",$8.99,5,"This is a no nonsense maths book that is perfect for supplementary homework or tuition. It is also a great addition for extension work in classroom. It is clearly set out, no fuss or unnecessary illustrations and lots of practice for students. Examples are clearly explained. Wonderful.",positive
14,Digital Educational Resources,"Spectrum | Math Workbook | Grade 5, Printable",$8.99,4,"Nicely laid out workbook, however the free videos to accompany the lessons cannot be found using the links provided.",positive
15,Digital Educational Resources,"Spectrum | Math Workbook | Grade 5, Printable",$8.99,2,"I actually thought I was getting away from this. They canceled common core in America only to have them change the name. Thinking this wasn't a common core book and was associated with Texas instruments (old school education), I bought it. Boy was I wrong. Not only do they have multiple wrong answers to their own math questions, but they give little to no instructions on how to do the equation correctly. Being a math wiz, I have no issues using this book as a guide for summer time practice for my kids. I know not all parents are math champion and need to review the work themselve before teaching it. This book will mess with you. Common core was created to lower standards so low anyone can pass it and somehow that didn't happen. The book is called spectrum. Stupid me!! That's all I should have seen and not bought this nonsense math book. My children aren't on a spectrum!!! Lol if you know what I mean. My advice is to stay away. Look elsewhere for real math and explanations. Let me mistake not be yours.",negative
16,Digital Educational Resources,"Spectrum | Math Workbook | Grade 5, Printable",$8.99,4,Not enough sources,positive
17,Digital Educational Resources,"Spectrum | Math Workbook | Grade 5, Printable",$8.99,5,The questions are arranged in logical progressive order. Our kids loves the book and will sit down to do pages at a time but challenging enough to have to pay attention. Not a lot of space to show work but gets the job done. I guess it helps kids write smaller from those giant number days.,positive
18,Digital Educational Resources,"Spectrum | Math Workbook | Grade 5, Printable",$8.99,5,"I got these (3rd/4th/5th grades) for my nieces to catch them up with their math during this whole COVID shutdown. These math books are great. The chapters have Pretests so that they can review what they know, and if they ace it, I let them skip the chapter. If not, I just have them go through that chapter (or parts of it) and have them take the Post-test at the end of it. If they know most of the stuff, I let them skip to the mid-test. If they don’t know something, they go back and review certain lessons.

My nieces have been liking these books, too. The they’re formatted nicely and are pretty decent at teaching concepts. I also plan ahead and highlight the page numbers and mark rows of questions I want them to answer so they know what to work on. Just today I paired 30 min. increments of math books with 30-45min of “Reading Eggs” online (google it, my nieces love it). It really breaks up the monotony.

I love these books and will be using them lots!",positive
19,Digital Educational Resources,"Spectrum | Math Workbook | Grade 5, Printable",$8.99,5,I ordered this one for my daughter. It is challenging for a 4th grader. But it is not too hard to quit. She felt the pressure and enjoyed the learning experience,positive
20,Digital Educational Resources,"Carson Dellosa | Interactive Notebook Math Workbook | Grade 4, Printable",$7.49,1,"This book series is wonderful! I love using them when homeschooling my kids.

Unfortunately seller Benny's Books LLC sold this as good condition with minor wear to spine and some pages. But it was actually MISSING PAGES! I was super bummed because I didn’t realize until after the return window that it was missing pages 13-18! I’m so angry at this seller.",negative
