,cate,product,cost,review_star,review,tag
0,Electronics,"Fire TV Stick 4K streaming device with latest Alexa Voice Remote (includes TV controls), Dolby Vision",$29.99,1,"DO NOT BUY FIRE TV DEVICES!!! CHOOSE ANOTHER STREAMING PLAYER BRAND!!!
Worst customer service experience in my life from Amazon!!!! Amazon sent me a completely broken Fire TV 4k stick! From day one the audio cuts out entirely after a few mins of playing a video, and does not return until stick is physically unplugged from power. Then it cuts out again. Problem occurs in all video apps, and I tried full software restore, plugging into multiple different TVs, as well as different audio connections (direct to TV through HDMI, Through receiver, through bluetooth on multiple devices.) And my other Fire TV 4k of the same model works fine in this same TV, so... THE STICK IS BROKEN! So I contact Amazon through their chat interface and Parmish is a total disaster at helping me. I tell him that I have done a full software restore on it, at which point he responds that I need to do a full software restore. Ya know, the thing I just told him that I did already. Then I tell him I have already tried plugging the fire TV directly into the TV with no sound receiver, and he says ""well than what I need you to do is plug the fire TV directly into the TV with no sound receiver."" This happened over and over. It was like a bad joke. But I wasn't laughing. Finally after about an hour of this nonsense he decides that my Fire TV stick needs to be replaced. Then he says I ""Have no card on file"", what ever that means. So after about 10 more unanswered and ignored questions to him about just what he's talking about I finally figure out he means my Amazon account has no credit card on file. But it does have a card on file. I log in and verify this. The card is up to date and working, and amazon had just charged it that day even. So I tell him this, and he responds that I need a credit card on file in order to send out a replacement, even though it won't be charged. I tell him again that the card is on file and working, and he says it need to be updated. Even though it does not. So I hit ""edit"" on my card info on file, and resubmit the same working card. Parmish sees this on his end and says thank you. Then he says I need to update my OTHER CARD on file. I look and there is an old credit card from 6 years ago on the account from a bank I no longer use, and its not even selected as the active/favored card, so It doesn't even matter that it there, but I delete it anyways just to be sure. Then Parmish says I need to reenter and update that old card (that I no longer bank with) in order to get a replacement sent out. At this point I'm done with Parmish. The whole conversation was absolutely ridiculous! I say ""thank you for the help but I need a supervisor. Please transfer me to a supervisor.""

So Parmish transfers me to Vikas. I ask Vikas if he is a supervisor and he says ""no."" (Are you surprised by this? I wasn't.) So I explain that I was suppose to be transferred to a supervisor and ask that Vikas transfer me directly to a supervisor. And I'm transferred to Annal.

I ask Annal if they are a supervisor, and they answer... get ready for it... are you ready... they answer ...""No"" !!!!!!!!! They &^^&%&$^^%^ answer ""No.""

So I close the chat window I just wasted over an hour on and I call Amazon. This is where the real nightmare begins. I start off with a regular customer service rep and I ask her to transfer me to a supervisor right away because this will be my 4th attempt to get a supervisor. She is very polite and gets me a supervisor on the line write away. I explain the entire issue with the Fire Tv 4k Stick and everything I have done to troubleshoot it already YET AGIAN, and the supervisor apologizes for all the insane trouble I've been having. She sounds like she really wants to help me, asked some more questions, and then tells me that she can't replace this particular model because its out of stock. I had just checked the stock, so I knew it wasn't out. I checked it again, and then told her it appears to have plenty of stock. She verified what model it was again, then said ""oh yes, I guess we do have it, let my put you on hold while I try to send you one."" She comes back a while later and says ""the system won't let me send you one. I have to transfer you to a Fire TV Specialist, buy I'll get you a manager there as well.

So then I have to go through the whole thing again with this new Fire TV Specialist person. She keeps putting me on hold to check things over and over again. And she has me do crazy things - For example, she insists I go to my TV, unplug the other working Fire TV I now have in there, and plug this broken one back in, then load it up and read the serial number off of it to her from the info screen. Why? Doesn't she already have that info? She should. And WHY AM I PLUGGING A $25 DEFECTIVE BROKEN DEVICE BACK INTO MY $2,000 FLATSCREEN??!!! I don't want to do that. I shouldn't be asked to do that. What the hell? Then she keeps checking to see if I'm still in warranty. REALL???!!! I JUST got this stick in the mail. I JUST GOT IT. How long is the warranty period that she has to keep checking on.. 5 hours after purchase. Also, this is a brand new model that just came out. HOW COULD ANY OF THEM POSSIBLY BE OUT OF WARRANTY??!!

Finally after 3 HOURS of talking to people about this and a final, particularly long hold while the Fire TV Specialist person tries to figure out if I can be sent a replacement - I give up. I tell her I'll just return it instead - just so I can just get off the phone. But I'm NOT returning it - That too would probably turn into another huge nightmare. It's not worth my $25 for all this aggravation. So... I'M DONE. This is ridiculous! After speaking with a total of SIX people for over THREE HOURS.. My brand new Fire TV 4K stick in now in my trash can and I'm never buying a Fire TV product again. All Amazon need to do was have me send in my broken one and then send out a replacement. That's It. They could have sorted out all their serial numbers and insane data requirements after they got my stick back. AS a customer, I simply got something in the mail that arrived broken and I wanted it replaced soon after I got it. How simple of a transition is that? But instead I got this torrent of poor customer service and bizarre data mining. SO.. Officially.. I'm no longer a Fire TV user.

I'm currently switching my entire smart TV ecosystem for the entire house over to Google's Android TV now, I've had it with Fire TV, and I suggest you do the same. Android TV systems don't suffer from the same app limitations that Amazon does (IE with Fire TV you get access got about 12% of the Android apps available to the rest of the Android TV world, Even though Fire TV runs on Android, and you can install what ever apps you want on your Android TV device without having to TRICK IT into installing it), it still works and runs apps (like playing a game or looking at photos) even if your internet connection goes down (Fire TV becomes a useless brick without constant internet), and the whole thing just seems to run better. I don't have time to deal with Amazon's nightmare anymore. All I needed was for Amazon to replace the broken Fire TV stick they JUST sent me, and they can't even do that. So, ummmm... BYEEEEEEEEEE!!!!!",negative
1,Electronics,"Fire TV Stick 4K streaming device with latest Alexa Voice Remote (includes TV controls), Dolby Vision",$29.99,5,"After years of frustration with Roku devices, including the integrated Roku TVs (I own 3 of them), I finally decided I'd had enough. It seemed that I was constantly fighting to even get the remote to work properly, even with new batteries. The streaming quality wasn't good, often freezing, and having to cold reboot the system often. In addition, the menu structure for Roku is awful.

Enough of the old, one with the new!

Because I've been so pleased with my first Fire TV 4K Stick for almost a year, I purchased another and finally tossed the Roku Stick on my plasma TV. The Fire TV 4K Stick provides pretty much everything I ever wanted in a simple and easy to use device that's intuitive, has a great menu system, includes Alexa and other voice controls, and controls my TV! That last part cannot be emphasized enough, not having to switch back and forth between remotes is so nice.

Even though my TVs aren't 4K, I figured the enhanced capabilities would help the streaming quality, and I'm very happy with it's performance. Now, the menu is loaded instantly when I power up the TVs, so very different than the experience with Roku.

If you're trying to decide which TV Stick to purchase, I feel you can't go wrong with the Fire TV 4K Stick, it's absolutely everything all TV Sticks ought to provide, at a price that's very competitive. The reliability of the first one I purchased has been excellent after a year, and I expect both to continue to work well. I may have to buy two more for the other TVs in the home to completely purge Roku!",positive
2,Electronics,"Fire TV Stick 4K streaming device with latest Alexa Voice Remote (includes TV controls), Dolby Vision",$29.99,5,"I didn’t believe there could be any other good streaming device besides Apple TV, UNTIL I installed a Fire-stick. I’ve had this fire stick since a Black Friday about three years ago. I think they ran it on special for $10-$20. When it came I stuck it the bedroom entertainment center, planning to install it SOMETIME. Well even good things can die. My Apple TV did. 💔 well to buy new ones I think they are well over $100, so I said hmph! I’ll try the Stick. Wow, I had unboxed, read the directions, I had it plugged in and running in a half an hour. And I’m a non-tech savvy 77 year old! I immediately ordered another stick for the family room TV. I am a believer! Oh yeah, I ordered the new one last night, and it just delivered! Gotta love Amazon Prime.",positive
3,Electronics,"Fire TV Stick 4K streaming device with latest Alexa Voice Remote (includes TV controls), Dolby Vision",$29.99,5,"I ordered a 2nd Firestick as we switched to YouTubeTV and the reception was horrible in the Man Cave. When I got it I noticed that the envelope it came in was a bit abused as well ass the box the Firestick came in. Well, I hooked it all up and everything WORKED! Then I went to bed and the next day woke up to find out NOTHING was working!!! So, after screwing around for an hour I googled ""Firestick controller not responding"" and followed the instructions from several sites. I finally just reset the stick to ""factory settings"" and it worked again! YAY! Well, the next day I woke up to find it was worse than before and the remote wouldn't do anything. So, I called AMAZON and they sent me out a replacement the SAME DAY!!! This one arrived with no apparent damage so I hooked it up and got it going. Had to get PRIME / YOUTUBE / YOUTUBETV / NETFLIX / HULU all working from the Firestick remote - and I did! Having all this and voice recognition from ONE controller was amazing - too good to believe. Well, I went to bed in great trepidation but the next day everything was WORKING!!!! I can't explain the JOY in my heart that happened after being so freaking MAD the prior one was faulty. I'm 70 and the TV is my main source of life enjoyment and now everything was flowing effortlessly. AMAZON really came through and turned my anger into pure JOY with one controller that does everything. So------- I guess I am writing this to say if you get one that doesn't work CALL AMAZON (the phone number is right on the work order) and they will set you right. I always think it's ME when something goes wrong but in this case it WAS the Stick!",positive
4,Electronics,"Fire TV Stick 4K streaming device with latest Alexa Voice Remote (includes TV controls), Dolby Vision",$29.99,5,"I've had Amazon Prime for many years now and could never understand why anyone needed a firestick. However, recently a family member gave us a rather nice, used tv that was excess to their needs and so I began exploring cost effective ways to set it up without paying for additional boxes or subscriptions. I don't know if the price has come down, but I was amazed at how inexpensive it is to purchase a firestick. So, I took a chance and ordered one. I'm an old fart and not particularly savvy on new tech, but I was able to easily set up our new, used tv to receive all of our many subscription channels, as well as our regular television channels (by downloading the 'Anywhere' App.) Additionally, the remote that came with the tv had gotten misplaced, but was no longer even needed, because the remote that came with the firestick synced flawlessly and does it all. It even has voice control that allows one to simply say what you want to watch and 'voila' it is available. Best of all, this feature does not require that I address a non-sentient, critter-assistant, named A...a, preparatory to using voice commands. Another amazing benefit is, that other than an HDMI port on the tv, a two socket electrical wall outlet was all that was needed to hook this puppy up; no unsightly, visible cables or cords aesthetically bumming me out. Again, the tv and firestick worked seamlessly together to get up and running with minimal brain cell calories expended. Easy-peasy!",positive
5,Electronics,"Fire TV Stick 4K streaming device with latest Alexa Voice Remote (includes TV controls), Dolby Vision",$29.99,5,"We were totally sick of paying 100 plus dollars a month for cable TV for years. I was very skeptical about these new steaming sticks. We had the FireStick on sale at work for 39 dollars and I had an employee discount so I said what the hell and bought one. I love it! Super easy to install. Plug it in and do what it tells you. Could not be easier and it worked. You download a bunch of Apps and then you have access to a massive amount of free movies and television shows. I was totally surprised. You do have to have an Amazon account which if you order anything from Amazon you should have anyway. I also have really good internet service from Xfinity and haven't seen any problems with shows lagging or buffering. I don't know how a slow internet will work with this. The Alexa button is pretty neat also. She actually listens and makes an attempt to do what you ask. Also all kinds of news channels, even a local news app. The non liberal news channels are available which is a requirement for me. One thing I noticed is whenever you download a free app you get a bill statement for zero dollars from Amazon. I always find statements that look like bills to be frightening. However everything has been totally free and they make it clear if it isn't. In conclusion, I would say there is a definite learning curve but this thing is 100 million times better than cable and 100 million times cheaper. I totally recommend it. The only thing you need to investigate is how good does your internet need to be. Great job by Amazon!",positive
6,Electronics,"Fire TV Stick 4K streaming device with latest Alexa Voice Remote (includes TV controls), Dolby Vision",$29.99,5,"Bought the 4K Firestick, got it set up, and it worked great. About six hours later, it quit working. Dark screen. Brought the Firestick in from our bedroom, worked fine. Took the new Firestick and plugged it into the bedroom, nothing. Resets didn't work, replaced batteries, still nothing. So got a replacement Firestick and Remote. All has been good. Until today, 2 months 2 days later. Watching TV, and went to fast forward thru a commercial, nothing happens. Can't change channel, can't change volume, can't turn off the TV. Nothing. Brought in Firestick from bedroom again, works great. Took other Firestick and remote into the bedroom, nothing. So not have to order a new remote. I guess the ""better prices"" nowadays mean we get items that don't work as well? I'd rather pay more and get something that lasts more than three months.",positive
7,Electronics,"Fire TV Stick 4K streaming device with latest Alexa Voice Remote (includes TV controls), Dolby Vision",$29.99,5,"I'm new to Firestick and a long-time Roku user. The Firestick was easy to hook up but I did have a problem getting it to pair with the remote, but it finally did. I'm impressed with the quality of the Firestick the colors are nice and bright. The remote is super responsive and there are a ton of options and apps. It did take a bit for me to find out where all the apps are located as the interface is much different from Roku's. The Firestick was easy to add to my amazon account. Overall I'm happy and impressed with the Firestick.",positive
8,Electronics,"Fire TV Stick 4K streaming device with latest Alexa Voice Remote (includes TV controls), Dolby Vision",$29.99,5,Came exactly like stated. Box was not damaged and product was perfect. I have use cromecast and Roku before and over time has to replace devices. But this is my 2nd fire stick to replace the Roku on my 2nd tv. First one I’ve had for years and is still going strong. Amazon fire has the best quality above the other services. Connection is a whole lot stronger and more realiable then Roku depending on what kind of Wi-Fi you use as some types of Wi-Fi devices Roku has trouble connecting to. Fire stick Has no issues at all,positive
9,Electronics,"Fire TV Stick 4K streaming device with latest Alexa Voice Remote (includes TV controls), Dolby Vision",$29.99,4,"Once I got this working, then it works great. The instructions tell you to use the supplied power adapter and cable and I was indeed able to get it working that way. However, if you want to use a longer HDMI cable, you also have to buy an HDMI coupler female to female. However, using a longer HDMI cable resulted in the TV complaining of a weak signal and not showing a picture.

When I tried using this Fire tv stick with the Amazon Ethernet Adapter for Amazon Fire TV Devices, the stick kept re-booting and would never finish the boot sequence. All the advice online says to use the supplied Amazon power adapter and cable. However that advice is wrong.

My problem was solved when I replaced the Amazon power adapter with a 1.5 A power adapter (can't read the specs on the Amazon power adapter but suspect that it is lower than that). Now, the fire tv stick and ethernet adapter work flawlessly. I can use any length HDMI cable I want.

So, if you are having problems, my advice is to replace the Amazon power adapter. I would have given 5 stars if Amazon had included a better power adapter. I would have given 6 stars if they had included a HDMI female to female coupler.",positive
