,cate,product,cost,review_star,review,tag
0,Grocery & Gourmet Food,CELSIUS Essential Energy Drink 12 FL Oz,$8.63 - $86.98,4,"The variety pack came with a bizarre combination of flavors and mix of carbonated and non-carbonated drinks. I didn’t even know that Celsius made non-carbonated until I received this! The non carbonated drinks were:
- 2 Peach mango green tea - tasty, but wish it was carbonated
- 2 are Raspberry Acai green tea - OK, but I preferred the peach

The carbonated drinks contained an odd variety, some excellent, and others just awful;
- 1 sparkling orange (v good)
- 1 white peach (excellent)
- 2 grape (OK)
- 2 cola (just awful)
- 2 watermelon (surprisingly good)

They were not packed in any particular order in the case. It’s almost as if someone randomly threw cans into the case. I generally like Celsius brand (although I wish they used a better quality sweetener than sucralose). However, I wouldn’t get anymore of the cola if they were giving it away free! I’m also not a fan of the non carbonated ones.",positive
1,Grocery & Gourmet Food,CELSIUS Essential Energy Drink 12 FL Oz,$8.63 - $86.98,5,"I've tried to kick my soda habit on and off for years. One day, my cousin came over after working out and brought this with her. She asked me if I wanted to try it but I told her I don't like seltzer water or flavored seltzer water but she insisted and I fell in love. It took 2.5 seconds to get used to the taste, which is nothing like Coca Cola, but after that it was great. I did get a little bit of a buzz, and I personally don't drink it on an empty stomach because it does make me jittery. I haven't tried any other flavors but all my friends are obsessed with all the different flavors and the grocery store by me regularly sells out of this flavor.",positive
2,Grocery & Gourmet Food,CELSIUS Essential Energy Drink 12 FL Oz,$8.63 - $86.98,5,"grape tastes very good. I've gotten the variety packs at Costco and just didn't like three of the four flavors so it seemed wasteful. I decided to try this when I got a good price on it and I'm glad I did. It tastes very good, no weird smells (im looking at you fit aid).",positive
3,Grocery & Gourmet Food,CELSIUS Essential Energy Drink 12 FL Oz,$8.63 - $86.98,4,"Alright, so I went with the variety pack because it was cheapest. When I looked at the picture, I recognized most of the flavors and did not think much of it until the item arrived.
NOT pictured is the watermelon flavor which is probably the worst flavor Celsius (I bought it was from the gas station and never again). There is also a Coke flavor which I have never seen before until the package arrived. Therefore, if you have not had these flavors before DO NOT BUY THE VARIETY PACK. It’s not worth it for me at least because I’m not going to drink all of them.",positive
4,Grocery & Gourmet Food,CELSIUS Essential Energy Drink 12 FL Oz,$8.63 - $86.98,5,I bought this at Safeway and Fred Meyer for a lot more for the price here. I love the Each Mango favorite out o them all. They are sugar fre which is good as I am diabetic and with the 2 fruits it tastes amazing. There is no bad after taste like most sugar free drinks. Enjoy,positive
5,Grocery & Gourmet Food,CELSIUS Essential Energy Drink 12 FL Oz,$8.63 - $86.98,5,"Celsius is a smooth, sparkling great energy drink.. Wild Berry is awesome! Appreciate “the pep in my step “ that stays for a duration !
Great product and hard to find anywhere else for a good price except through Amazon .",positive
6,Grocery & Gourmet Food,CELSIUS Essential Energy Drink 12 FL Oz,$8.63 - $86.98,5,"Arctic ice sounded yummy, hoped for something like the white Gatorade, hoping it would be tart. Just tastes like a synthetic berry flavor. Wasn’t a fan. Still have the case around the house and will bring some to work and give them away. The recipients so far have agreed it doesn’t taste as great as the usual Celsius- Celsius is still amazing though so definitely try the other flavors.",positive
7,Grocery & Gourmet Food,CELSIUS Essential Energy Drink 12 FL Oz,$8.63 - $86.98,5,I bought these for my husband because he loves Celsius energy drinks. Typically at the store I pay almost $10 for a pack of 4. He was ecstatic that this was a variety pack so he can try flavors he’s never had before! You’re definitely getting one of the best deals I have ever seen for these!!,positive
8,Grocery & Gourmet Food,CELSIUS Essential Energy Drink 12 FL Oz,$8.63 - $86.98,5,The nutrition label speaks for itself! The flavor is one of my new favorites and it keeps this night shift nurse up for 12 hour shifts easily. Can’t get enough of them!,positive
9,Grocery & Gourmet Food,CELSIUS Essential Energy Drink 12 FL Oz,$8.63 - $86.98,5,"My husband has been purchasing these for me as I can't drink cokes.
Sometimes I want a sparkling drink and I enjoy these. The only flavor I'm not
crazy about is the Orange. It looks and tastes artificial, but the other flavors
are a nice change.",positive
