,cate,product,cost,review_star,review,tag
0,Handmade Products,2x Headlights for Croc - 16 Colors - Made in USA,$24.99,4,"Funny gift for a friend, and they’re actually pretty dope but the “beige” color way is definitely more of a “fleshy pinkish Bandaid” color",positive
1,Handmade Products,2x Headlights for Croc - 16 Colors - Made in USA,$24.99,5,"Yes, they are super dorky. But who doesn’t need headlights for their crocs? They work and they only enhance the stylish nature of the croc. Absolutely recommended",positive
2,Handmade Products,2x Headlights for Croc - 16 Colors - Made in USA,$24.99,4,These are soo nifty and cute! Four wheel drive just got an upgrade!! 😂 but one downside is one came cracked so the light is hard to turn on.,positive
3,Handmade Products,2x Headlights for Croc - 16 Colors - Made in USA,$24.99,3,Needs a switch,fair
4,Handmade Products,001 Cats Dogs ID Tags Personalized Lovely Symbols Pets Collar Name Accessories Simple Custom Engraved Supplies for Four Legged Child Necklace Chain Anti-Lost Metal Charm,$5.99 - $11.39,5,"FIRST OF ALL anna i believe is the name of this shop's owner - so sweet!!! i got some pretty tags (xs, toothpick in pic for reference lol) for some foster dogs and made a stupid and got a name wrong and i messaged her asking if it had shipped or not and if not if she could change it, and she just sent a whole nother one expedited with no questions asked!! literally got the fixed one a day after the main package.

also each package has little rings to attach to whatever you want! the tags themselves are sOOO PRETTY AND SHINY AND EXPENSIVE LOOKING EXACTLY WHAT I WANTED plus i asked for a ton of text (some w naughty words lol) on them and was worried it would be hard to read on an xs tag thats like the size of a penny but its perfectly clear and readable! i wanted the smallest cuz they are metal so theyre kinda heavy and my 10 pounders would be dragged down by anything else haha but i think xs is the perfect size for up to 15 lbs!! you jus twouldnt be able to see the name at a glance but the bling bling is so cute! but anyway amazing amazing cant go wrong buying these tags!!!",positive
5,Handmade Products,001 Cats Dogs ID Tags Personalized Lovely Symbols Pets Collar Name Accessories Simple Custom Engraved Supplies for Four Legged Child Necklace Chain Anti-Lost Metal Charm,$5.99 - $11.39,5,"This seller is so kind, I had chose a name for my new kitten after finding out he was really a boy 😭. I ended up not liking it and changed it soon after. I messaged them asking if it was ok to do a quick name change and to my surprise they wrote back quickly saying it was perfectly fine. It’s so tiny and cute perfectly light weight for a kitten. I’m so in love with it. Came with the right name and they take the time to package the pieces individually. Keep up the awesome work. I will definitely come back in the future for another piece.",positive
6,Handmade Products,001 Cats Dogs ID Tags Personalized Lovely Symbols Pets Collar Name Accessories Simple Custom Engraved Supplies for Four Legged Child Necklace Chain Anti-Lost Metal Charm,$5.99 - $11.39,5,"I absolutely love this dog tag. I have four animals and ordered just one to see how I liked it, and literally cannot wait to order the rest. The quality and workmanship is better than I’ve seen before. Thank you so much! Highly recommend. Great job and kudos to the artist.

Ps. The small rings included with your order are very easy to attach to the dog tag, contrary to multiple comments that I read prior to ordering. A pair of needle nose pliers should be used to help you manage the small ring, and can be used to assist in closing the gap after you’ve fed the ring through the hole in the dog tag.",positive
7,Handmade Products,001 Cats Dogs ID Tags Personalized Lovely Symbols Pets Collar Name Accessories Simple Custom Engraved Supplies for Four Legged Child Necklace Chain Anti-Lost Metal Charm,$5.99 - $11.39,5,"** I did block out my phone number on the front for privacy / safety purposes of posting, but no defect, it’s perfect ** We needed smaller tags for Miss Honey and Luna, plus ones that would be durable and waterproof, since Miss Honey is an indoor outdoor kitty. These fit PERFECTLY! We chose the side “small” and it’s just the right size while being able to still see the tag clearly. It comes with extra rings to attach, for back up or to add charms or bells. The cute little note in the package was an added bonus. Shared the link on social media, as well, to help out the business and share with people I I know will be interested in purchasing! Will def purchase again.",positive
8,Handmade Products,001 Cats Dogs ID Tags Personalized Lovely Symbols Pets Collar Name Accessories Simple Custom Engraved Supplies for Four Legged Child Necklace Chain Anti-Lost Metal Charm,$5.99 - $11.39,5,"Love that this tag is thicker than most, and comes in a small option. It’s about the size of a penny (but thicker), which is really nice because it doesn’t flop around on my dog’s harness. It comes with various sizes of jump rings and a small split ring as well, so you can use the best option for whatever you are trying to attach it to. My dog’s name is 7 letters and fits nicely on the tag. I like that you can customize font, but I do wish there was a basic sans serif font option.",positive
9,Handmade Products,001 Cats Dogs ID Tags Personalized Lovely Symbols Pets Collar Name Accessories Simple Custom Engraved Supplies for Four Legged Child Necklace Chain Anti-Lost Metal Charm,$5.99 - $11.39,5,"When I first got the tag for my cat I was impressed by the quality. However, little less than a month later the tag fell off her collar and was gone. I reached out to the seller with little hope for a new one since so much time had gone by. To my delight they were so understanding that they not only gave me a new one, but threw in a little extra! I'm so happy with the experience of it all. I have 3 more pets and I'm definitely going to return for more tags!",positive
10,Handmade Products,001 Cats Dogs ID Tags Personalized Lovely Symbols Pets Collar Name Accessories Simple Custom Engraved Supplies for Four Legged Child Necklace Chain Anti-Lost Metal Charm,$5.99 - $11.39,5,"I previously bought a leather collar with an engraved plate attached to it from an artisan website and it was a terrible buy. The engraving was very shallow and over a short period you couldn't read anything on the plate. I was afraid this would happen again with this tag but I love it! The engraving is deep and surprising legible on a very small tag ( I purchase the extra small one 0.75""). I love how you can customize tag color, the font, and add a symbol. It's so cute that my cat has a skull symbol. They even included a bell and I desperately needed one so I can find my cat.",positive
11,Handmade Products,001 Cats Dogs ID Tags Personalized Lovely Symbols Pets Collar Name Accessories Simple Custom Engraved Supplies for Four Legged Child Necklace Chain Anti-Lost Metal Charm,$5.99 - $11.39,5,"I wasn’t expecting much from these because of the price but they are actually very nice tags. They are small enough that my tiny cat doesn’t have an issue with it. Despite the size, they are legible. Both of my cats are microchipped but I do feel better knowing that my babies have ID. The picture is of my smallest cat so you can judge scale. The tags are thicker than I expected but they aren’t terribly heavy (again the tiny cat has no problem with her’s) I have a very small DSH and a very large Maine Coon mix and these are perfect for both of them.",positive
12,Handmade Products,001 Cats Dogs ID Tags Personalized Lovely Symbols Pets Collar Name Accessories Simple Custom Engraved Supplies for Four Legged Child Necklace Chain Anti-Lost Metal Charm,$5.99 - $11.39,5,"These are sturdy, but lightweight. They are easy to read, and I think, overall, just a beautiful tag. The smaller one is like the size of a dime and it’s perfect for my 4 lb yorkie. The other one is just the right size for my lab. They don’t clank around which I love. The brass color is just beautiful, and I love the fun little design you can add with them. Very happy with them. It took a little over a week to get but with the attention to detail I wasn’t bothered by it.",positive
13,Handmade Products,001 Cats Dogs ID Tags Personalized Lovely Symbols Pets Collar Name Accessories Simple Custom Engraved Supplies for Four Legged Child Necklace Chain Anti-Lost Metal Charm,$5.99 - $11.39,5,This is super cute I’m very happy with it. I thought it was engraved but I think they are stickers? But I don’t foresee it coming off. I got the size small in shiny silver. I know it’ll get scratched up and we will see over time the legibility. I could have gotten away with extra small since he is only 3 months old but I’ll let him grow into it. Well worth the price.,positive
14,Handmade Products,Small Gold Sterling Silver Huggie Hoop Earrings for Women Cartilage Nose Helix Tragus,$10.98 - $19.99,4,"super cute earrings, exactly what i wanted, but i didn’t like how they don’t close fully. my hair kept getting stuck on them so i had to take them out. i have pretty sensitive ears and i had these in for about an hour and my ears didn’t hurt once which is great",positive
15,Handmade Products,Small Gold Sterling Silver Huggie Hoop Earrings for Women Cartilage Nose Helix Tragus,$10.98 - $19.99,4,Wore them everyday for a month until one caught on my towel. Ordered another pair that are a little bigger but overall great buy!,positive
16,Handmade Products,Small Gold Sterling Silver Huggie Hoop Earrings for Women Cartilage Nose Helix Tragus,$10.98 - $19.99,5,"I purchased the 6mm, 20 gauge size for my rook piercing. I was SO happy to find a smaller hoop for this soot as others were wayyy to big and hurt when I slept on them weird. These earrings were perfect size. They are easy to bens outside of my ear but once I got them in I did struggle a bit. Pro tip: I had to use two pairs of tweezers in order to close the earring back up but it worked like after a couple of careful tries. I will also be putting a larger size in my conch and will update a review on that one later on. All in all it is a good earring for the price. I love the dainty look and how you can pretty much put them anywhere on your ears. Very versatile.",positive
17,Handmade Products,Small Gold Sterling Silver Huggie Hoop Earrings for Women Cartilage Nose Helix Tragus,$10.98 - $19.99,4,The earrings are great and they look good too! I wore them for about two months without changing them and they didn’t turn my ears any colors and they are super comfortable. Taking off one star because they’re just a bit difficult when putting on/taking off.,positive
18,Handmade Products,Small Gold Sterling Silver Huggie Hoop Earrings for Women Cartilage Nose Helix Tragus,$10.98 - $19.99,4,"These are great, I wear them just so the 2nd hole doesn’t close up in my ears. I struggled a little closing them back up but that’s probably my own stupidity. They’re great for the cost I recommend.",positive
19,Handmade Products,Small Gold Sterling Silver Huggie Hoop Earrings for Women Cartilage Nose Helix Tragus,$10.98 - $19.99,5,I love them! I wanted some super snug for my second lobe piercing. I had no problems closing them all the way as previous reviews stated. But I also used tweezers to be able to close the jewelry. I bought the 5 mm 20 g gold! Definitely will buy more for other piercings!,positive
20,Handmade Products,Small Gold Sterling Silver Huggie Hoop Earrings for Women Cartilage Nose Helix Tragus,$10.98 - $19.99,4,Good quality earrings but the gold wore off the tips or ends within one night of wearing them to bed. I still have them in and I love them other than that.,positive
21,Handmade Products,Small Gold Sterling Silver Huggie Hoop Earrings for Women Cartilage Nose Helix Tragus,$10.98 - $19.99,4,These are super lightweight & perfect! I have my ears pierced 5 times and I always struggle to find earrings I can wear constantly. They were hard to put on because I have acrylic nails but after about 30 minutes I got them all in and I am obsessed!! Next time I’ll get someone with no nails to help. I love them!,positive
22,Handmade Products,Small Gold Sterling Silver Huggie Hoop Earrings for Women Cartilage Nose Helix Tragus,$10.98 - $19.99,4,these were exactly what i wanted for my second holes. but only one hoop was in the package when i opened it:-(,positive
23,Handmade Products,Small Gold Sterling Silver Huggie Hoop Earrings for Women Cartilage Nose Helix Tragus,$10.98 - $19.99,5,"I love that i can wear these all the time. I've become more sensitive as i get older and these don't bother me at all. very comfortable and easy to leave in when i dont want to do ""statement"" earrings.",positive
24,Handmade Products,Beach Signs,$11.99 - $22.99,5,"It is cute as can be. It is a daily reminder to keep down your stress. I hung it where I would read it often, the bathroom!",positive
25,Handmade Products,Beach Signs,$11.99 - $22.99,5,Great metal sea turtle art work good size and good quality for the price was delivered fast also get it if your undecided love it,positive
26,Handmade Products,Beach Signs,$11.99 - $22.99,5,Love my sign would definitely order from them again came quicker than expected great company,positive
27,Handmade Products,Beach Signs,$11.99 - $22.99,5,"This product is 100% quality !!!! As
You can see from the picture we put it on the wall with our other sea art. The colors are vibrant and it adds wonderful texture to our wall.",positive
28,Handmade Products,Beach Signs,$11.99 - $22.99,4,"Very nice. The quality of the ""metal"" is perfect, colors are muted yet vibrant (the sign i choose had a antique look). Love the idea its handmade right here in the USA. I will definitely seek out this vendor the next time I need a sign.",positive
29,Handmade Products,Beach Signs,$11.99 - $22.99,5,"I absolutely love the sign! It looks exactly like it's shown. Idk why it asked me about ""softness"" but that's an irrelevant question since it's a metal sign. Perfect for near a pool or just to spruce up a wall!",positive
30,Handmade Products,Beach Signs,$11.99 - $22.99,5,Arrived on time as described. The artwork is amazing and sentiment inspiring. Glad it's on thin metal and no glass is involved.,positive
31,Handmade Products,Beach Signs,$11.99 - $22.99,5,I'm absolutely in love with this sign! It came fast and is now hanging in my bathroom,positive
32,Handmade Products,Beach Signs,$11.99 - $22.99,5,"I ordered the small, may go hack and get the bigger one for oatio wall. I LOVE that it's US made, made in TX even better.",positive
33,Handmade Products,Beach Signs,$11.99 - $22.99,5,Cute- sturdy- nice colors,positive
34,Handmade Products,"Double Nose Ring Hoop for Single Piercing, 14k Gold Filled or Sterling Silver Spiral Twist Nose Hoop for Women Men",$6.98 - $17.99,4,"UPDATE: the metal is super pliable so I was able to bend it a certain way so the pointy end actually sticks back into my piercing hole and doesn't rub against my nose. I attached two pics to show the before and after. I'll update again if I have any reaction to the metal but fingers crossed I'll be good with it.

Original review:
It's super cute, but it's also super pointy and it made a little painful raw cut on my nose. Piercing was done in 2007, so it's not new. I even loosened it so it's not constantly touching my skin and it doesn't matter, it still rubs.
I'm disappointed bc it really looks nice. It just hurts.
Not gonna bother to send it back bc I'll prob still wear it occasionally for short amounts of time.
Gonna try some Neosporin in the meantime.",positive
35,Handmade Products,"Double Nose Ring Hoop for Single Piercing, 14k Gold Filled or Sterling Silver Spiral Twist Nose Hoop for Women Men",$6.98 - $17.99,5,"I tried a few sizes of this nose ring before finding the right diameter and thickness I wanted. The previous one I had from another company was 7mm / 20g - so I ordered a 7mm / 20g from this company and it was a bigger hoop than the 7mm from the other company. I then ordered a 6mm / 20g & 6mm / 22g (in case I wanted a thinner one).

Ended up using the 6mm / 20g and it fits PERFECT. Sits close to the nose. I did order a right side one for my left side piercing per instruction / other comments. It's kind of hard to put in the first time and VERY hard to remove - but if you watch the video it really helps.

I absolutely love it and suggest it to anyone looking for a double hoop!",positive
36,Handmade Products,"Double Nose Ring Hoop for Single Piercing, 14k Gold Filled or Sterling Silver Spiral Twist Nose Hoop for Women Men",$6.98 - $17.99,4," I love this nose ring. Definately find a way to measure your nose to determine which size you need before ordering. I started with the 6mm (ordered on accident) and 3 days later went up to 7mm when my nose started to tear. I wound up reordering (now have spent $30 trying to find the right size) and I went to 9mm which is a little big for ly liking and I am thinking of reordering a 8mm.
It comes nearly packsged with a cleaning cloth to use if it begins to tarnish and the silver is definately silver, I have had no adverse reaction to the metal and there had been no tarnishing so far.
As far as difficulty putting the ring in, you gently pull the ring apart and sort of screw it into your piercing and twist it around yo get it to fit properly. To me, the most difficult part is taking it out.
I definately recommend this ring and any problems with my piercing were the result of not enough knowledge of what the appropriate size for my nostril should be and I will hopefully be reordering in a size 8mm soon",positive
37,Handmade Products,"Double Nose Ring Hoop for Single Piercing, 14k Gold Filled or Sterling Silver Spiral Twist Nose Hoop for Women Men",$6.98 - $17.99,4,It’s super cute. It was kinda a pain to get in and some what confusing. The material seems really flimsy I’m pretty sure if I try to take it out it will break.,positive
