,cate,product,cost,review_star,review,tag
0,Health & Household,"Amazon Basics AA High-Performance Alkaline Batteries, 10-Year Shelf Life, Easy to Open Value Pack",$5.96 - $26.62,5,"I tested the AA size Amazon brand battery to find out the actual usable capacity as compared to the AA Duracell Procell battery. The results showed that the Amazon battery is about 88 percent the capacity of the Duracell. If you calculate the cost per unit capacity, the batteries are almost identical. The Amazon battery was actually slightly more expensive when represented in cost per Watt-Hour. Because of this I would probably choose the Procell (if I can get a good price on it) just because it means less frequent battery changes. The Amazon battery is a surprisingly good battery though. You will probably barely notice the difference in capacity, so if you don't want to waste time shopping around then its a good choice.

I also performed the same test on Duracell Copper Top, and Energizer Max. Their performance was nearly identical to the Procell. More interestingly, I tested the Energizer Ultimate Lithium AA cell. This cell was 4 times the cost of a procell at $1.27 per cell! However the capacity was only 1.5 times that of the Procell. So don't waste your money on these batteries, they're much more expensive per unit of capacity. The capacity of all these batteries were measured in Watt-Hours. Here are the numbers.

AA Amazon Battery = 2.71 Wh. My cost per cell = $0.291. Cost per Watt-Hour = $0.107
AA Duracell Procell = 3.09 Wh. My cost per cell = $0.321. Cost per Watt-Hour = $0.104
AA Energizer Lithium = 4.86 Wh. My cost per cell = $1.27. Cost per Watt-Hour = $0.261

This test was done using an op-amp circuit to maintain a constant current load at 100ma. Voltage and current were being logged ounce per minute and this data was used to calculate the Amp-Hour with a 0.8 volt cutoff. The Watt-Hour was then calculated by multiplying the Amp-Hour by the average voltage from the beginning of the test to 0.8 volts. All batteries mentioned were tested using this same method. Note that the capacity of these batteries can change dramatically under different conditions. The same battery under a heavy load will have a fraction of the capacity that it would under a light load. This data is only good for a comparison when choosing what battery is worth buying at what price. Unless your device loads the battery at a constant current of 100ma.

In summery, the Amazon batteries are not bad batteries (at least based on this test using the AA cell). If you choose to shop around for a name brand battery, stay at or below $0.33 per cell. Anything above $0.33 per cell will be more expensive per unit capacity than the Amazon battery. Oh, and definitely stay away from the Energizer Lithium unless expense is not an issue. These batteries are only worth the additional cost if your application requires a light weight and relatively high capacity battery regardless of cost. These batteries are surprisingly light weight compared to an alkaline.lkaline.",positive
1,Health & Household,"Amazon Basics AA High-Performance Alkaline Batteries, 10-Year Shelf Life, Easy to Open Value Pack",$5.96 - $26.62,5,"These are very good batteries and are a little more powerful than my re-chargeables. They are so cheap that I can use them in my flash for weddings, or real-estate and not worry about it when the power depletes. I just get another 4-pack. The packaging is great nothing worse than having a bunch of loose batteries all over the place. These com e in a convenoent box and the bnatteries are individually packed in 4 packs. You can stick a couple of 4 packs in your pocket and you are on your way.",positive
2,Health & Household,"Amazon Basics AA High-Performance Alkaline Batteries, 10-Year Shelf Life, Easy to Open Value Pack",$5.96 - $26.62,5,"I decided to buy these and then run some tests for comparison to name brand batteries. I put 2 Energizer AA batteries into a flashlight that I have 2 of the exact same model. I turned them both on at the same time and left them on to compare run time. They were absolutely identical! I also ran the same test with 4 AA batteries in a portable fan I have 2 of. (identical models). Again, absolutely zero difference in run time! WELL worth the significant savings! Highly recommend.",positive
3,Health & Household,"Amazon Basics AA High-Performance Alkaline Batteries, 10-Year Shelf Life, Easy to Open Value Pack",$5.96 - $26.62,5,"They're not the longest lasting for sure, energizer might go for a week longer past three weeks in a xbox controller, but they're $13 dollarydoos for a box of 48. Gotta give credit to whoever made these for Mr. Bezos. They're really cheap, don't leak, don't have a funny smell, and last a good enough time for me. Can't ask for anything more, gotta call this a W.",positive
4,Health & Household,"Amazon Basics AA High-Performance Alkaline Batteries, 10-Year Shelf Life, Easy to Open Value Pack",$5.96 - $26.62,5,"If your kids/adults are gamers and they don't have rechargeable batteries, BUY THESE!!! Energizer and Duracell are $16 for 12. Do they last a day or so longer, yes. But for 100 batteries you can have that extra day because these are worth the money and you'll have 88 more batteries and still pay less. 10/10",positive
5,Health & Household,"Amazon Basics AA High-Performance Alkaline Batteries, 10-Year Shelf Life, Easy to Open Value Pack",$5.96 - $26.62,5,"I listen to a lot of audiobooks on this CD player, and have been struggling to find a long lasting battery. I often listen to a book for hours on end, and this type of battery seems to last for a while before I have to replace them. I ordered two packs of 20, so we will see how long they last.",positive
6,Health & Household,"Amazon Basics AA High-Performance Alkaline Batteries, 10-Year Shelf Life, Easy to Open Value Pack",$5.96 - $26.62,5,"I’ve bought only Amazon brand batteries since discovering them. I use all the varieties. They work great, last a long time, are more affordable, and come in many quantity options. The boxes they come in are great sizes and shapes for storing the batteries; just recycle or repurpose the box when empty.",positive
7,Health & Household,"Amazon Basics AA High-Performance Alkaline Batteries, 10-Year Shelf Life, Easy to Open Value Pack",$5.96 - $26.62,5,"I have several products that I use every day that use AA batteries. When I originally considered these, I thought they might not be worth the discounted price. I suspected they would under perform, when compared to a name brand. I was wrong! In my applications, they perform very close to the name brands. I've been impressed!",positive
8,Health & Household,"Amazon Basics AA High-Performance Alkaline Batteries, 10-Year Shelf Life, Easy to Open Value Pack",$5.96 - $26.62,4,"Cheap is about all the positive I could say about it. They die pretty quickly. If you use energizer or Duracell, you might replace the AA batteries in the device a couple of time is it per year at most and that’s usually with medium usage. A few things that I’ve put these batteries into and barely use, I’ve had to replace them almost every time I go to use it. Like the Samsung remote I barely use still needs the battery changed every couple of months. But it is a big box for much cheaper than brand names so probably evens out.",positive
9,Health & Household,"Amazon Basics AA High-Performance Alkaline Batteries, 10-Year Shelf Life, Easy to Open Value Pack",$5.96 - $26.62,5,"I've purchased many different brands of batteries and Amazon has met my expectations every time. The value is great and the quality is just as good if not better than the ""other"" brands. I will continue to purchase these batteries.",positive
