,cate,product,cost,review_star,review,tag
0,Home & Kitchen,"YETI Rambler 10 oz Lowball, Vacuum Insulated, Stainless Steel with MagSlider Lid",$15.00 - $67.28,5,"This is a great cup, and although it’s not 100% leak proof I would not expect that with lid styles like these. It does prevent big messes if accidentally tipped over but isn’t easy to tip over anyway. It feels good in the hand, looks smooth and durable and is great for any beverage you can think of.

Some of my favorite features are:

1. Mag slider, its awesome because I can remove it and thoroughly clean the lid. No trapped funk!

2. The press in lid. It’s a strong seal and no awkward thread aligning issues. Not too hard to remove and easy to clean! Keeps pesky cats out of my bedside water too.

3. The lip of the cup is smooth. I like drinking from the cup as much without the lid as I do with the lid.

4. it’s a good size, not too big that I wouldn’t want to put wine or a cocktail into it, and not too small for coffee or tea. I like a lot of coffee and tea and don’t mind having to refill this more often. My pour over fits over this perfectly too..

5. The copper color, while not bright copper fits in well with my decor, and looks classy.

6. Great insulation! I haven’t tested exactly how long things stay hot or cold but I did scald my tongue about an hour after making tea..

So take extreme caution with hot beverages!",positive
1,Home & Kitchen,"YETI Rambler 10 oz Lowball, Vacuum Insulated, Stainless Steel with MagSlider Lid",$15.00 - $67.28,5,"I love these for cold drinks on a hot day. Haven't used it for coffee yet, but Fall will be here soon. I bought two for my family as a thank you gift for a stay at their home. Great gift idea!",positive
2,Home & Kitchen,"YETI Rambler 10 oz Lowball, Vacuum Insulated, Stainless Steel with MagSlider Lid",$15.00 - $67.28,5,I love a YETI! The yellow is so darn cute and keeps my drinks cold. Brought these camping and the came in handy.,positive
3,Home & Kitchen,"YETI Rambler 10 oz Lowball, Vacuum Insulated, Stainless Steel with MagSlider Lid",$15.00 - $67.28,5,The best feature is that it’s a yeti that fits inside a coffee dispenser like most office or pod systems. Most travel cups are too tall to fit.,positive
4,Home & Kitchen,"YETI Rambler 10 oz Lowball, Vacuum Insulated, Stainless Steel with MagSlider Lid",$15.00 - $67.28,5,"I was recovering from 5 months in hospital with Covid. I was finally able to drink liquid again. This cup was the perfect size for the cold brew pods I found, it was easy to add the right amount of liquid. I would have the nurses fill the cup halfway with ice each night before bed, then in the morning I could add the coffee, creamer and water to make the perfect cup of iced coffee, and it stayed icy cold for hours as I slowly drank it. I still use the cup now, even though I am home and able to do everything I could before getting sick. It also keeps a hot coffee hot for hours.",positive
5,Home & Kitchen,"YETI Rambler 10 oz Lowball, Vacuum Insulated, Stainless Steel with MagSlider Lid",$15.00 - $67.28,5,"Only thing I would change would be to make it a little narrower.
But it's an amazing cup, like all the Yeti cups I've seen so far.",positive
6,Home & Kitchen,"YETI Rambler 10 oz Lowball, Vacuum Insulated, Stainless Steel with MagSlider Lid",$15.00 - $67.28,5,Great product like always. Worth the money every time.,positive
7,Home & Kitchen,"YETI Rambler 10 oz Lowball, Vacuum Insulated, Stainless Steel with MagSlider Lid",$15.00 - $67.28,5,Every single product by this company is solid. This is a buy it for life sort of brand. Love these,positive
8,Home & Kitchen,"YETI Rambler 10 oz Lowball, Vacuum Insulated, Stainless Steel with MagSlider Lid",$15.00 - $67.28,5,"We had these great tumblers in our vacation home and we fell in love with them. They keep cold things cold for hours. Beverages don’t get diluted because the ice doesn’t melt quickly. They are indispensable if you are outside and about.

After having them in our other home, we realized we needed them in our day to day house because who doesn’t want every drink to stay cold?",positive
9,Home & Kitchen,"YETI Rambler 10 oz Lowball, Vacuum Insulated, Stainless Steel with MagSlider Lid",$15.00 - $67.28,5,Great little cup for camping,positive
10,Home & Kitchen,Amazon Basics Lightweight Super Soft Easy Care Microfiber Bedding,$7.65 - $47.73,5,"I needed some sheets for my sleeper couch that is mostly used by my sons and their friends, and our dogs (corgis). I wanted something that would look decent, be comfortable, and didn’t cost a lot. It’s a relatively new couch, and my kids are pre-teen so they are still pretty messy. I like to keep the couch completely covered so their dirty little Cheeto fingers don’t get all over everything, and their little boy stink doesn’t rub off on the couch. I liked these sheets so much that I ended up getting two more sets for my sons’ beds. They wash up nicely (so far), and the dog hair doesn’t stick to them.",positive
11,Home & Kitchen,Amazon Basics Lightweight Super Soft Easy Care Microfiber Bedding,$7.65 - $47.73,5,"For two years. Two years I suffered in silence. Yes. I.... I a struggling young adult struggled with only one... Yes that's right ONE set of sheets. Every week it was the same. Strip the bed. Wash the sheets, dry the sheets, remake the bed. Over the 2 years my one poor set of sheets took a beating. They saw countless menstrual cycles, various cold and flue viruses, dogs, and sleep overs. I meticulously washed and bleached those sheets until one day I took them from the wash and noted that they were beyond bleaching or stain removal. There were dying.... They were dying gray.

I searched high and low. Went to target and TJ Maxx... But to no avail. Why... Why were simple square pieces of fabric $50.00!?!?!? I could not afford this. I could not justify the spending of $50.00 on plain white fabric. So I searched. I searched high and I searched low Until I came here...
To The Amazon.

It was here. Here I discovered them. Plain white sheets at a modest and affordable price.
""Don't buy them! You'll regret it! You need Egyptian cotton!"" My mother said.

""No! I care not what cotton they be! All I need are sheets! I have no one to impress! No one who shares my bed! I am a lowly virgin promised in matrimony to another with a sworn vow of chastity! I care not for fancy sheets!"" I shouted.

So I bought them. I made my bed and I laid in it. And I can tell you that yes... They are I fact sheets that you can sleep in.",positive
12,Home & Kitchen,Amazon Basics Lightweight Super Soft Easy Care Microfiber Bedding,$7.65 - $47.73,4,"Aug 2022

It's a blue but not navy blue.

Fit on new thick adjustable mattress, had to figure out which side was the top vs the side, the elastic goes all the way around.

Cannot call it soft but can call it thin. Like a summer sheet. I can see the TV screen through the material with the lamp on behind me.

Will try for a few nights and see how I feel about it after a week.",positive
