,cate,product,cost,review_star,review,tag
0,Industrial & Scientific,"iHealth COVID-19 Antigen Rapid Test, 2 Tests per Pack,FDA EUA Authorized OTC At-home Self Test, Results in 15 Minutes with Non-invasive Nasal Swab, Easy to Use & No Discomfort",$17.98,5,"These kits are like having Aspirin in your medicine cabinet for the what ifs of Covid Life . My sister in law and niece( haven’t seen them in 3 yrs) were on route by car from upstate NY after having attended a church outing. They wanted to drop by on route say hello maybe spend a night? I told my husband I insisted a Covid test despite their vaccine status+ booster.
I told them this - they snickered but reluctantly agreed. I set up a table and 2 chairs with a clock 6 feet away so they could test outside on the driveway . Said hello 20 feet away. One had already said she had a stuffy nose “ probably from the hotel A.C.” they stayed in over Memorial Day weekend. The instruction sheet very easy to read. I coached them from a far off distance outside. Sister in law - positive . Niece - . Negative. I suggested they either keep going and stay at the nieces house in Philly and isolate. I told them to take the 2 test kit with them . “ we will talk over the phone. “ The niece felt “ off that night” and tested herself again + the next day. The in law + again. They both felt like “ crap” , missed some time off from work etc- but both alive. The point being, easy to use, 2 in a box , ( other companies) only have one in box. You really need to test twice with symptoms. 15 min but more important if asymptomatic ( my niece) - . Not surprised because they had been together over a long weekend in an hotel room, in a car x 8 hrs , no masks. The only tricky part is I had to tell them from a distance how to squeeze the cotton swab in the test vial 10-15 times to extract potential viral material from the Nasal swab before the 3 drops go in the test well. The rest was easy to read. Who knows how many others were exposed) no masking was done at the event.
I caught an unnecessary exposure for my family. You will have to give guests the kit ( free), take some resistance, maybe damage a family relationship a little but this virus doesn’t care!
The test table is still on the driveway with outdoor chairs. Will be bleaching them all down wearing gloves , air dry before storing away.",positive
1,Industrial & Scientific,"iHealth COVID-19 Antigen Rapid Test, 2 Tests per Pack,FDA EUA Authorized OTC At-home Self Test, Results in 15 Minutes with Non-invasive Nasal Swab, Easy to Use & No Discomfort",$17.98,5,"Hope these pics didn't gross you out. Anyway,your results depends on how you swab your nose. A faint line or faint lines in my opinion could depend on how you swab your nose, also when the virus is dissipating from the body it would show faint lines on the T part but brighter on C. If both are faint maybe you did not swab your nose correctly. Eventually the test will appear clear on the T when you are covid free. Please wear a mask even when it shows clear if you are still coughing. PCR did not detect covid in me, I did it twice during early symptoms and later down.I was sick with all the symptoms except diarrhea. I think maybe I didn't swab my nose properly, but with other family members it showed on this home test and the PCR test as positive. Older adults were more sick 😫 than the younger. * Don't get covid 19, it will age you even though you recover.Still sick!",positive
2,Industrial & Scientific,"iHealth COVID-19 Antigen Rapid Test, 2 Tests per Pack,FDA EUA Authorized OTC At-home Self Test, Results in 15 Minutes with Non-invasive Nasal Swab, Easy to Use & No Discomfort",$17.98,5,"These tests renewed my faith in antigen testing. That is, given an understanding of how they work. These are not hyper-sensitive like PCR tests. You need to present enough virus to register a positive. But the test gives a good snapshot of whether you are highly contagious at that exact moment.

This was all good stuff to know in theory. But we had never once seen a positive rapid test through all kinds of kid and adult coughs sickness. Until very recently, when my wife and I both ended up finally catching Covid. As the first chills began we both still tested negative. The next morning we were solid positive and stayed that way. Our two kids never developed symptoms and stayed negative throughout our recovery. But our tests remained positive for a week, with the test line becoming progressively more faint toward the end.

Unfortunately at this price, (which isn't bad) it isn't really feasible for a lot of people to go wild testing like crazy. But when we did have the opportunity to do that I was very reassured by the consistency of results. Just know that especially for vaccinated individuals who may show an immune response very early on, the first sign of symptoms may be too early to show up on an antigen test.

Also, if the vials aren't prefilled, I had much better luck cutting the solution packet with clean scissors to leave a better opening to get the solution into the vial.",positive
3,Industrial & Scientific,"iHealth COVID-19 Antigen Rapid Test, 2 Tests per Pack,FDA EUA Authorized OTC At-home Self Test, Results in 15 Minutes with Non-invasive Nasal Swab, Easy to Use & No Discomfort",$17.98,5,"They may not be 100% accurate but this brand of tests showed me that I was positive for Covid after which I went into isolation mode. Stupid me, after going for 2.5 years without even a cold or sore throat I decided to remove my mask at a Chris Rock standup concert and 2 days later I felt a sore throat coming on. I immediately took an iHealth home test and BOOM, two lines showed up. My doctor prescribed medicine that same day and 10 days later I was ok. Being fully vaccinated with boosters was also a key element in only having one bad day. These tests are good to keep around the house just in case. We don't want to be spreading Covid to anyone, especially family. I learned my lesson.",positive
4,Industrial & Scientific,"iHealth COVID-19 Antigen Rapid Test, 2 Tests per Pack,FDA EUA Authorized OTC At-home Self Test, Results in 15 Minutes with Non-invasive Nasal Swab, Easy to Use & No Discomfort",$17.98,5,I used these while on vacation. My son thought he had allergies when I arrived. The next morning his wife also didn’t feel well. I had the test with me. I tested them and both were positive. I tested negative until 2 days later when I began having symptoms. I had a bunch of these test with me. I had a fairly light case with severe cough and drainage for 3 days before it began to clear up. About 8 I tested negative again. I repeated day nine and it shows negative again. My son also tested negative by then.,positive
5,Industrial & Scientific,"iHealth COVID-19 Antigen Rapid Test, 2 Tests per Pack,FDA EUA Authorized OTC At-home Self Test, Results in 15 Minutes with Non-invasive Nasal Swab, Easy to Use & No Discomfort",$17.98,5,"I purchased the Covid 19 Test during Prime Week, thinking I will need it perhaps at home during the fall and winter months as people move indoors.

Well, think again! One week after getting the test, I contracted BA-5 in July 2022. It is hard to believe! I am fully vaccinated and boostered and wear a mask pretty faithfully. I performed both tests over a one week period and I can't tell you how convenient and easy it was. No walk-in clinics, no hours on line waiting to see a physician, peace of mind in less than 15 minutes.

I believe everyone needs these tests on standby. The cost is affordable and under $20. It's easy to read the results and it confirms what you already suspect. You have Covid-19 and isolate to protect your family and neighbors alike.",positive
6,Industrial & Scientific,"iHealth COVID-19 Antigen Rapid Test, 2 Tests per Pack,FDA EUA Authorized OTC At-home Self Test, Results in 15 Minutes with Non-invasive Nasal Swab, Easy to Use & No Discomfort",$17.98,5,"This is a test to show if a person has COVID or not. It is the same test mailed out for free by the federal govt. in 2021. It is easy to use. You just drop about 3 drops of the liquid onto the designated place on a
plastic device and wait 15 minutes for a result. It's accuracy is probably not as good as the professionally administered test, but that test often requires an appointment and at least a couple of days to get a result.
If one is testing for recovery of COVID, it's likely not a bad idea to do the test at least twice before resuming
public activities.",positive
7,Industrial & Scientific,"iHealth COVID-19 Antigen Rapid Test, 2 Tests per Pack,FDA EUA Authorized OTC At-home Self Test, Results in 15 Minutes with Non-invasive Nasal Swab, Easy to Use & No Discomfort",$17.98,5,"I have been feeling like a sinus headache times 10 for the past two days. Nasal sinus rinse and theraflu tea only helped slightly. I had phlegm, couch, woke up drenched in sweat from chills, and my body was sore. I've had all vaccines including both boosters and have been working from home the majority of the pandemic. I went to an urgent care clinic my insurance referred me to. Although they tested me for Covid I have to wait 2 days on the results. Thank you god this at home kit came in today. Before I took the test I was actually thinking I was being dramatic about my symptoms or it was my stress making me have somatic complaints. Well, sure enough thanks to this test I don't have to wait two days to see if I have it. I have it. I was glad to see I have it because I literally thought I was going insane because the headache and flu like symptoms come in waves and when they hit... it hits hard. I feel much better having immediate answers. Both tubes by the way had adequate liquid and the expiration date wasn't too far off like 4 months which I'm fine with.",positive
8,Industrial & Scientific,"iHealth COVID-19 Antigen Rapid Test, 2 Tests per Pack,FDA EUA Authorized OTC At-home Self Test, Results in 15 Minutes with Non-invasive Nasal Swab, Easy to Use & No Discomfort",$17.98,4,"When I first bought these tests, there used to be a small plastic vial with the liquid in that you then had to empty into the testing tube. Now the tubes seem to mostly come pre-filled, which, as another reviewer pointed out, sometimes doesn't come all the way to the minimum line. I've had at least 2 boxes recently where one of the tubes wasn't filled at all; had nothing in it. So that test was completely wasted. I've also had a couple of boxes where the test result didn't show up clear, was ambiguous - causing me to test again with a different brand to be sure of the result - or the result didn't show at all, despite following all the instructions meticulously. It's a shame because these are not cheap.",positive
9,Industrial & Scientific,"iHealth COVID-19 Antigen Rapid Test, 2 Tests per Pack,FDA EUA Authorized OTC At-home Self Test, Results in 15 Minutes with Non-invasive Nasal Swab, Easy to Use & No Discomfort",$17.98,4,"I never imagined COVID would still be a concern over 2 years after the pandemic began. We masked per regulations and were vaccinated, but still ended up getting COVID in June 2022. It can be difficult to tell whether sniffles, cough and sore throat are a cold, allergies, COVID or something else. These iHealth tests, while not 100% accurate, can determine if it is COVID. My husband and I are high risk, plus I’m occasionally around my elderly father, so it is important to us that we know. We used this brand every time we tested at home (first free kits from the government, then purchased). The box contains 2 tests, so it’s about $8.50/test, which is quite reasonable. It’s important you follow the step-by-step instructions; you will have your results 15 minutes later. It was this test that showed my husband was COVID positive, with my son and I being tested thereafter at an urgent care. A professional PCR test is more accurate, but these tests are good for home use. Note that the tests are good for 3 months after their stamped expiration date.",positive
10,Industrial & Scientific,"Charmin Ultra Soft Cushiony Touch Toilet Paper, 24 Family Mega Rolls = 123 Regular Rolls,8 count(pack of 3)",$33.06,4,"The red bears are strong, the blue bears are soft. I suppose I don't pay as much attention to advertising as 3rd graders, because I did not know this fact until it was pointed out to me by a 3rd grader.
Anyway... This paper is very soft. But the rolls are huge. I guess that's good, because you get a lot of sheets per roll. But it also means they look like commercial rolls. (The ones they put in public restrooms, retail store restrooms, rest stops, places like that.) They are absolutely gigantic. They look awkward in many toilet paper holders, and don't even fit in others. With the one toilet paper holder we have, these rolls end up scraping against the back for a while until enough sheets are used. The sheets are very fluffy, so there aren't quite as many sheets as they look like they are holding, either.",positive
11,Industrial & Scientific,"Charmin Ultra Soft Cushiony Touch Toilet Paper, 24 Family Mega Rolls = 123 Regular Rolls,8 count(pack of 3)",$33.06,5,This is the 3rd time I ordered this product. Every time it was quick shipping & great price compared to what you would pay in the store. Will order again when needed.,positive
12,Industrial & Scientific,"Charmin Ultra Soft Cushiony Touch Toilet Paper, 24 Family Mega Rolls = 123 Regular Rolls,8 count(pack of 3)",$33.06,5,"Este producto es el que siempre he usado por su suavidad y dura mas cada rollo , para mi el mejor en el mercado .",positive
13,Industrial & Scientific,"Charmin Ultra Soft Cushiony Touch Toilet Paper, 24 Family Mega Rolls = 123 Regular Rolls,8 count(pack of 3)",$33.06,5,I absolutely love the CharminUltra on my subscribe & save. Just when I am about to run out it arrives on my door step.,positive
14,Industrial & Scientific,"Charmin Ultra Soft Cushiony Touch Toilet Paper, 24 Family Mega Rolls = 123 Regular Rolls,8 count(pack of 3)",$33.06,5,"Love the thickness, softness and reasonable price!!
I hate thin tissues....
Thanks for a great deal!",positive
15,Industrial & Scientific,"Charmin Ultra Soft Cushiony Touch Toilet Paper, 24 Family Mega Rolls = 123 Regular Rolls,8 count(pack of 3)",$33.06,5,The super duper family mega roll is the best. The quality is great as are the oversized rolls. We don’t want to be without it so we have it on auto-delivery and don’t skip a shipment even when it’s not needed!!,positive
16,Industrial & Scientific,"Charmin Ultra Soft Cushiony Touch Toilet Paper, 24 Family Mega Rolls = 123 Regular Rolls,8 count(pack of 3)",$33.06,5,"Very absorbent, very soft. Big big big roll.",positive
17,Industrial & Scientific,"Charmin Ultra Soft Cushiony Touch Toilet Paper, 24 Family Mega Rolls = 123 Regular Rolls,8 count(pack of 3)",$33.06,5,Please don’t squeeze my charmin,positive
18,Industrial & Scientific,"Charmin Ultra Soft Cushiony Touch Toilet Paper, 24 Family Mega Rolls = 123 Regular Rolls,8 count(pack of 3)",$33.06,5,Actual product of toilet paper is a great buy. But title description about women's razors is confusing 😕,positive
19,Industrial & Scientific,"Charmin Ultra Soft Cushiony Touch Toilet Paper, 24 Family Mega Rolls = 123 Regular Rolls,8 count(pack of 3)",$33.06,5,Item was of glorious quality! Delivery was prime. Supreme packaging. An exceptionally choice seller.,positive
20,Industrial & Scientific,"MedPride Powder-Free Nitrile Exam Gloves, Box/100",$12.75 - $13.65,5,"Not very thick, but good enough for my use, which is typically food prep. I like them for handling raw meat when cooking or bbq'ing. Would also use for keeping chemicals off skin when cleaning, etc. Haven't had problem ripping when putting them on. Would recommend and would buy again for same price or less in the future ($12.79)
If gloves for heavy duty work are needed, I would not pick these, but order some that state the thickness. For light duty they're great.",positive
21,Industrial & Scientific,"MedPride Powder-Free Nitrile Exam Gloves, Box/100",$12.75 - $13.65,4,"I use these gloves when 3D printing to ensure I don't get any of the resin on my hand while working with it or moving the pieces around before they are cured. Haven't had any real issues with them they are slightly thin so if they get snagged on something they will rip but if you are mindful of that no huge deal. I wouldn't wear them to work on a car or anything, but for my purpose, they work great.",positive
22,Industrial & Scientific,"MedPride Powder-Free Nitrile Exam Gloves, Box/100",$12.75 - $13.65,5,"Gotta have nitrile gloves around for cleaning or crafting or picking up dead mice. Lots of uses! The small fit my hands perfectly! Thin enough to feel texture through the glove but protects me from chemicals. No bad smell lingers on my fingers. My husband has large hands and he can fit the small size on, but they burst like a balloon if he bends a finger. Good gloves in my favorite color. Will purchase again when these run out.",positive
23,Industrial & Scientific,"MedPride Powder-Free Nitrile Exam Gloves, Box/100",$12.75 - $13.65,4,"Excellent value for the money. Made by the same company and has gone down about five dollars since 2021. However, this batch seems to tear in between the fingers or at the fingertip. In 2021, I never experienced a tear and used for deep cleaning, same as this year.
Not certain if Company is using cheaper materials??? I never experienced a tear with the batches in 2021.",positive
24,Industrial & Scientific,"MedPride Powder-Free Nitrile Exam Gloves, Box/100",$12.75 - $13.65,5,"I use these all the time, especially when cooking! I can't stand to touch raw meat so these gloves are perfect. I have always favored the purple gloves since my days of working in law enforcement in the corrections department. Was glad to find them at a fairly decent price considering the prices I had been seeing them at. I even went ahead and bought another box.",positive
