,cate,product,cost,review_star,review,tag
0,Kindle Store,The Perfect Marriage: A Completely Gripping Psychological Suspense,$7.99,5,"“The Perfect Marriage” by Jeneva Rose was truly a brilliant read. Her style of writing is fantastic as the characters, story, plot, twists, turns, and everything else in between were all great. You truly get pulled in as a reader as this mystery novel pushes the envelope for telling an incredible story that involves murder, infidelity, and all the consequences that come with it.

From Sarah, Adam, the cops/lawyers involved, and all the events that transpired in law offices/courtrooms, this was such a wild ride. I truly had no idea how this would get all wrapped up since the tension was real as it kept me guessing until the very end. Don’t worry, I won’t ruin or spoil anything for you but I totally had no idea that this would have such a mind-blowing ending.

The ending completely and utterly blew me away and instantly made me a reader of Rose because it was that crazy! I plan to read her previous and future work as my goodness, this was such an awesome read from beginning to end. I also enjoyed how the ending filled all the gaps for me by answering all the questions I had about things as I read to know what really happened when everything was going down.

Overall, I give “The Perfect Marriage” by Jeneva Rose a perfect 5/5 as it checks all the boxes for me when it comes to a wonderful mystery novel that also falls into the thriller/suspense genre. This was quite the reading experience as I’d recommend this to anyone that also loves these genres. I’ll remember this one for many years to come!",positive
1,Kindle Store,The Perfect Marriage: A Completely Gripping Psychological Suspense,$7.99,4,"I chose 4 stars because I had it pinned from the start what happened (minus the last major event that took place) I like the element of surprise, and when the little twists and turns came about it made me second guess my initial decision. Overall, I think it was a good book and if you like the idea of thrillers and revenge then it’s a good option for you!!",positive
2,Kindle Store,The Perfect Marriage: A Completely Gripping Psychological Suspense,$7.99,4,"Well written book. I was sure I had the mystery solved, but was quite surprised by the ending. The book kept me wanting to read more. Will admit though, I wasn't a huge fan of how if closed out, but it did bring the book full circle.",positive
3,Kindle Store,The Perfect Marriage: A Completely Gripping Psychological Suspense,$7.99,5,"I loved this book. It is gripping from the very first. I believe, after having read only half, that I know
who the killer is, but the reviews say it is a total surprise. I have not put this book down after having
received yesterday and will finish today or tonight. it is suspenseful with already 3 possible suspects.
Jeneva's writing is precise, provoking and totally punctilious. Her writing reminds of James Patterson.
I can't wait to read her other books.",positive
4,Kindle Store,The Perfect Marriage: A Completely Gripping Psychological Suspense,$7.99,5,"This book was a bit slow to start but just when I started to think it wasn't going anywhere something happens. It leads you on in directions that then make you think its someone else and goes back and forth. By middle of the book I was on the edge of my seat and couldn't put it down. The end had me wanting to cry, speechless, angry, a mix of all sorts of emotions that I couldn't process. It definitely a must read!",positive
5,Kindle Store,The Perfect Marriage: A Completely Gripping Psychological Suspense,$7.99,4,"It's a quick and thrilling read. Sure there were parts that were too drawn out with unnecessary details, but that didn't take away from the story too much. Perhaps it wasn't all that realistic. It was just a little twisted. Not a brilliant read, but it was exciting and at times unpredictable. I was worried it would be predictable, because there were several cliche parts. I loved this book and didn't want to put it down and the ending was wonderfully disturbing. It's also a bit spicy.",positive
6,Kindle Store,The Perfect Marriage: A Completely Gripping Psychological Suspense,$7.99,4,GREAT BOOK! I’m going to say in the beginning there were a few things where I thought the writer was childish. But this book got my attention like no other and the ending. WOW!! Is all I can say.,positive
7,Kindle Store,The Perfect Marriage: A Completely Gripping Psychological Suspense,$7.99,5,"I thought for sure I had the mystery solved, but was quite surprised by the ending. The book kept me wanting to read more. This book definitely kept me interested until the last page with all of the twists and turns! I would recommend this book!",positive
8,Kindle Store,The Perfect Marriage: A Completely Gripping Psychological Suspense,$7.99,4,I won't give anything away but I was not expecting that ending. One of the best twists that I have read in while. Makes you wonder if you really know people at all. Honestly a little scary. It was a good quick read if you are fast reader.,positive
9,Kindle Store,The Perfect Marriage: A Completely Gripping Psychological Suspense,$7.99,5,Definitely keeps you on your toes. Adam and all his insecurities. Sarah busy with her job. Kelly needing attention and affection. When all is said and done it seems as if everything is fair in love and war!!,positive
