,cate,product,cost,review_star,review,tag
0,Kitchen & Dining,"YETI Rambler 10 oz Lowball, Vacuum Insulated, Stainless Steel with MagSlider Lid",$15.00 - $67.28,5,"This is a great cup, and although it’s not 100% leak proof I would not expect that with lid styles like these. It does prevent big messes if accidentally tipped over but isn’t easy to tip over anyway. It feels good in the hand, looks smooth and durable and is great for any beverage you can think of.

Some of my favorite features are:

1. Mag slider, its awesome because I can remove it and thoroughly clean the lid. No trapped funk!

2. The press in lid. It’s a strong seal and no awkward thread aligning issues. Not too hard to remove and easy to clean! Keeps pesky cats out of my bedside water too.

3. The lip of the cup is smooth. I like drinking from the cup as much without the lid as I do with the lid.

4. it’s a good size, not too big that I wouldn’t want to put wine or a cocktail into it, and not too small for coffee or tea. I like a lot of coffee and tea and don’t mind having to refill this more often. My pour over fits over this perfectly too..

5. The copper color, while not bright copper fits in well with my decor, and looks classy.

6. Great insulation! I haven’t tested exactly how long things stay hot or cold but I did scald my tongue about an hour after making tea..

So take extreme caution with hot beverages!",positive
1,Kitchen & Dining,"YETI Rambler 10 oz Lowball, Vacuum Insulated, Stainless Steel with MagSlider Lid",$15.00 - $67.28,5,"I love these for cold drinks on a hot day. Haven't used it for coffee yet, but Fall will be here soon. I bought two for my family as a thank you gift for a stay at their home. Great gift idea!",positive
2,Kitchen & Dining,"YETI Rambler 10 oz Lowball, Vacuum Insulated, Stainless Steel with MagSlider Lid",$15.00 - $67.28,5,I love a YETI! The yellow is so darn cute and keeps my drinks cold. Brought these camping and the came in handy.,positive
3,Kitchen & Dining,"YETI Rambler 10 oz Lowball, Vacuum Insulated, Stainless Steel with MagSlider Lid",$15.00 - $67.28,5,The best feature is that it’s a yeti that fits inside a coffee dispenser like most office or pod systems. Most travel cups are too tall to fit.,positive
4,Kitchen & Dining,"YETI Rambler 10 oz Lowball, Vacuum Insulated, Stainless Steel with MagSlider Lid",$15.00 - $67.28,5,"I was recovering from 5 months in hospital with Covid. I was finally able to drink liquid again. This cup was the perfect size for the cold brew pods I found, it was easy to add the right amount of liquid. I would have the nurses fill the cup halfway with ice each night before bed, then in the morning I could add the coffee, creamer and water to make the perfect cup of iced coffee, and it stayed icy cold for hours as I slowly drank it. I still use the cup now, even though I am home and able to do everything I could before getting sick. It also keeps a hot coffee hot for hours.",positive
5,Kitchen & Dining,"YETI Rambler 10 oz Lowball, Vacuum Insulated, Stainless Steel with MagSlider Lid",$15.00 - $67.28,5,"Only thing I would change would be to make it a little narrower.
But it's an amazing cup, like all the Yeti cups I've seen so far.",positive
6,Kitchen & Dining,"YETI Rambler 10 oz Lowball, Vacuum Insulated, Stainless Steel with MagSlider Lid",$15.00 - $67.28,5,Great product like always. Worth the money every time.,positive
7,Kitchen & Dining,"YETI Rambler 10 oz Lowball, Vacuum Insulated, Stainless Steel with MagSlider Lid",$15.00 - $67.28,5,Every single product by this company is solid. This is a buy it for life sort of brand. Love these,positive
8,Kitchen & Dining,"YETI Rambler 10 oz Lowball, Vacuum Insulated, Stainless Steel with MagSlider Lid",$15.00 - $67.28,5,"We had these great tumblers in our vacation home and we fell in love with them. They keep cold things cold for hours. Beverages don’t get diluted because the ice doesn’t melt quickly. They are indispensable if you are outside and about.

After having them in our other home, we realized we needed them in our day to day house because who doesn’t want every drink to stay cold?",positive
9,Kitchen & Dining,"YETI Rambler 10 oz Lowball, Vacuum Insulated, Stainless Steel with MagSlider Lid",$15.00 - $67.28,5,Great little cup for camping,positive
10,Kitchen & Dining,THERMOS FUNTAINER 10 Ounce Food Jar,$11.88 - $39.38,5,"This thermo really works as described. The size is perfect for my child’s school lunch. It keeps the food warm until lunch. It does not leak, I tried sending her soup last week and there were no leaks at all. Highly recommend this thermo for kids who like to take hot lunches to school.",positive
11,Kitchen & Dining,THERMOS FUNTAINER 10 Ounce Food Jar,$11.88 - $39.38,5,Purchased this for my daughter to take her lunch to school in and it's great. She said her food is warm and ready to eat when lunchtime comes. It is leak proof and has a spoon for convenience!!,positive
12,Kitchen & Dining,THERMOS FUNTAINER 10 Ounce Food Jar,$11.88 - $39.38,5,I bought this for my youngest for lunch and I make his food around 7a and 4 hours later his food is always still hot or as he says still steamy when he opens it up. Currently buying another one for my oldest. Its great!,positive
13,Kitchen & Dining,THERMOS FUNTAINER 10 Ounce Food Jar,$11.88 - $39.38,5,Bought this thermos for my granddaughter’s lunches. She said her food was barely warm even after filling it with boiling water & letting it sit for 10 minutes before adding the food. Pack her lunch at 7:30 & she eats lunch at noon.,positive
14,Kitchen & Dining,THERMOS FUNTAINER 10 Ounce Food Jar,$11.88 - $39.38,5,This has been leak proof so far and has kept my child’s lunch warm when using. It fits perfect in his lunch box. Easy to clean and holds the spoon up top. My child is able to open it and shut it easily. Very happy with this product!,positive
15,Kitchen & Dining,THERMOS FUNTAINER 10 Ounce Food Jar,$11.88 - $39.38,5,I love it keeps the food hot for a long time. Advice is to pour boiling water in the thermo to activate first then put your food in there so it stays even hotter longer. Perfect size. Lost the spoon though and wish I can buy another but I don’t see any online.,positive
16,Kitchen & Dining,THERMOS FUNTAINER 10 Ounce Food Jar,$11.88 - $39.38,5,This product was great until the first wash. The seal would not stay in place and it would leak after first wash.,positive
17,Kitchen & Dining,THERMOS FUNTAINER 10 Ounce Food Jar,$11.88 - $39.38,4,"Great size and doesn't leak. My says the food is still warm when he goes to lunch. I ordered two more for my nieces. However, the labels were not included with any of the three that I ordered.",positive
18,Kitchen & Dining,THERMOS FUNTAINER 10 Ounce Food Jar,$11.88 - $39.38,5,Used it for keeping nuggets or toquitos hot until school lunch time. Perfect!,positive
19,Kitchen & Dining,THERMOS FUNTAINER 10 Ounce Food Jar,$11.88 - $39.38,5,My daughter likes that it keeps her lunch warm. I enjoy the ease of cleaning the thermos and that the spoon is included. Now I know she won’t skip lunch.,positive
