,cate,product,cost,review_star,review,tag
0,Movies & TV,Top Gun: Maverick,$24.96,5,"I saw this in Theaters 4 times. (2 times in IMAX, 2 times standard)
If you missed it there, find you a friend with an amazing home theater setup and FEEL the roar of these planes. (IMAX was AMAZING - you could feel the engines in your chest)

30 years after the original, a sequel no one expected and not many were asking for somehow manages to deliver everything that used to be good about theater experiences on a big screen.

With more attention to technical details and better dialogue, this movie is arguably better than the original, and considering the original is 'THE' quintessential 80's action film... that's no small feat.

Character development is fantastic, the action is intense, the cinematography is beattiful...and even though some of the music is not normally my cup of tea, I still find myself tapping feet along with it.

They even did diversity correctly. Nothing about it is ham-fisted or overbearing... the film simply shows you hard working professionals that happen to be male and female, of all shades and backgrounds.

There are very few technical flaws.
The original was a great film but there was a lot to criticize with regard to the flying sequences.
I can count the errors in this film on one hand.
This is a drastic improvement.

Again, I saw this 4 times in theaters.
Hollywood... if you want my money, I'll pay it.
Just follow this film's example and give the fans what they want.",positive
1,Movies & TV,Top Gun: Maverick,$24.96,5,"By far the best movie to come out in years, maybe decades. I'm a movie buff and a highly critical one, at that, but I loved EVERYTHING about this movie. Seriously.

If you want to see a true Hollywood, blockbuster, instant classic with real stakes, heroes worth rooting for, and (most importantly) GOOD VALUES, then look no further. Thank you to everyone who made this beautiful film for portraying American ideals and not pushing anything from any side of the political spectrum.

It's pure cinematic art that will not disappoint. Genuinely the best thing I've seen in years--went to see it three times in theaters just to experience it through a new audience all over again.",positive
2,Movies & TV,Top Gun: Maverick,$24.96,5,"Sequels often times do not live up to the original, especially one made 3 decades later. TGM is the rare example where the sequel was carefully crafted and expertly brings the audience back into the world of TG. Within the first 30 seconds of the intro credits, you are immediately treated to something that's familiar and nostalgic. The movie does a great job balancing the nostalgia and also moving the story forward. After all, Maverick is now 30 some odd years older and a lot has changed in the world since TG. The mark of a great film is one that resonates with the audience. TGM succeeds in that in almost every regard.",positive
3,Movies & TV,Top Gun: Maverick,$24.96,5,"Nostalgia in support of character re-introduction and new character introduction instead of fan service. The correct way to make a sequel. If only Disney cared enough about Marvel Phase 4 or Star Wars to continue those franchise the way this movie was made.

If you are a fan of the original Top Gun, this movie isn't just worth watching. It's a must see.",positive
4,Movies & TV,Top Gun: Maverick,$24.96,5,"There's a lot of folks out there that want to know how to be virtuous, what words to use, how to act when apologizing to everyone for breathing or whatever... They'll be mad cause this movie didn't address their feelings. The rest of us got a blockbuster, butt-kicking ride and a good bit of nostalgia from a groundbreaking, era-defining classic flick. This sequel does the same trick having you grip the edge of your seat, and gives you goosebumps for two hours while you do it.",positive
5,Movies & TV,Top Gun: Maverick,$24.96,5,"Saw in theaters 3 times and pre-ordered on July 21st went it went out for pre-order on digital. At 12:08am EST on August 23rd when it released on digital, we finally watched it in the comfort of our own home. The original film helped shape my generation and I hope this film will have a similar impact.

I cannot speak highly enough of this movie. It has a special place in my heart.",positive
6,Movies & TV,Top Gun: Maverick,$24.96,5,"Maverick and Ice! Watched this twice in the theater and left smiling from ear to ear! This should win every award given to any movie, Tom Cruise should win every award possible and the entire cast should be awarded! Best feel good movie to be out in forever!",positive
7,Movies & TV,Top Gun: Maverick,$24.96,5,"What a flashback to the old TopGun. Love it, thought it was going to be ok, but it turned out to be way better than I expected. Maverick instantly had me wanting to revisit where it all started.",positive
8,Movies & TV,Top Gun: Maverick,$24.96,5,This movie had it all. At the end of the movie I had a big smile on my face and I was clapping. I am not going to type any spoilers. Just watch this movie and you will be glad that you did.,positive
9,Movies & TV,Top Gun: Maverick,$24.96,5,It has everything you want in a movie and the flight scenes are incredible. One of the best movies I’ve ever seen in my life.,positive
