,cate,product,cost,review_star,review,tag
0,Musical Instruments,Ernie Ball Hybrid Slinky Electric Guitar Strings 3-Pack - 9-46 Gauge (P03222),$4.89 - $50.15,5,"This was my first time using Ernie Ball strings and I can say they are great. I like .09 because of some arthritis in my hands, and these are easier for me to squeeze and play.
I tried some .10s a while back, but they weren’t as comfortable.
These 3 packs are affordable and convenient when you have a few guitars, or when you order from overseas, like in my case, and you don’t find them available near you.",positive
1,Musical Instruments,Ernie Ball Hybrid Slinky Electric Guitar Strings 3-Pack - 9-46 Gauge (P03222),$4.89 - $50.15,5,"I've tried many strings for my electric guitars. I always go back to Ernie Ball Slinky. If you regularly wipe down your strings after playing, they keep their tone for a very looooong time. Plus, they take my continuous stretching abuse without breaking on me.",positive
2,Musical Instruments,Ernie Ball Hybrid Slinky Electric Guitar Strings 3-Pack - 9-46 Gauge (P03222),$4.89 - $50.15,5,"I switched from regular 10-46 strings on my Les Paul and SG to these. The thicker lower strings make chugging a little easier because the string doesn't flop around as much. They're still easy to bend as well. Tuning is pretty stable, but I never had an issue with lighter strings.",positive
3,Musical Instruments,Ernie Ball Hybrid Slinky Electric Guitar Strings 3-Pack - 9-46 Gauge (P03222),$4.89 - $50.15,5,"I’ve been using these strings for I can’t remember. They are reliable, great tone and sound. I highly recommend them for new guitar players for many reasons. One reason would be when looking for strings for your sound, they are great to compare to. They sound good for any style of music.

If you like heavy strings they are not for you",positive
4,Musical Instruments,Ernie Ball Hybrid Slinky Electric Guitar Strings 3-Pack - 9-46 Gauge (P03222),$4.89 - $50.15,5,"I have an issue with my fingers and find it difficult to play my guitar for more than a few minutes. I decided to try this new offering from Ernie Ball to see if I might be able to lessen the pain I experience while playing. They made an incredible difference! I put them on my Telecaster and I must say that in addition to helping my fingers, they have a great sound. I can even do bends and vibratos now! I am going to buy a few more sets to put on my Gretsch and Strat. Highly recommended!",positive
5,Musical Instruments,Ernie Ball Hybrid Slinky Electric Guitar Strings 3-Pack - 9-46 Gauge (P03222),$4.89 - $50.15,5,"Ernie Ball strings are a great, and inexpensive, choose for guitar strings. Been using them for years and never had a bad experience",positive
6,Musical Instruments,Ernie Ball Hybrid Slinky Electric Guitar Strings 3-Pack - 9-46 Gauge (P03222),$4.89 - $50.15,5,Can handle anything!,positive
7,Musical Instruments,Ernie Ball Hybrid Slinky Electric Guitar Strings 3-Pack - 9-46 Gauge (P03222),$4.89 - $50.15,5,Recently changed my strings to these and I swear these are the best feeling strings I have ever played something about it it’s smooth comfortable and there at a great price also would like to add they sounds great as well if your looking for some great stings I recommend these,positive
8,Musical Instruments,Ernie Ball Hybrid Slinky Electric Guitar Strings 3-Pack - 9-46 Gauge (P03222),$4.89 - $50.15,5,Solved a problem I've had with not being able to keep my Electromatic in tune. The heavier gauge stays in tune and have more of the mellow tones I like.,positive
9,Musical Instruments,Ernie Ball Hybrid Slinky Electric Guitar Strings 3-Pack - 9-46 Gauge (P03222),$4.89 - $50.15,5,Good value. Sounds great on my epiphone!,positive
10,Musical Instruments,"Yamaha YRS-20 3 Piece Soprano Recorder, Green",$7.99 - $14.99,5,I bought this recorder just to have another thing in my catalog of instruments. I enjoy playing this recorder casually and it sounds just like it did in 2nd grade. Very fun playing this although the people in your house may disagree.,positive
11,Musical Instruments,"Yamaha YRS-20 3 Piece Soprano Recorder, Green",$7.99 - $14.99,4,"I bought this recorder for my daughter to use at school. As a musician myself, Yamaha is always a great choice for student instruments. They are well made and have a good tone. It’s a good option for a kid needing a beginner recorder.",positive
12,Musical Instruments,"Yamaha YRS-20 3 Piece Soprano Recorder, Green",$7.99 - $14.99,5,"I bought 3 of them for my kids music classes at school. They hold great after several years. I had to sew new case for my boys after 3 years, but that's not the a big deal.",positive
13,Musical Instruments,"Yamaha YRS-20 3 Piece Soprano Recorder, Green",$7.99 - $14.99,5,This was a great replacement since i lost my old one while moving.,positive
14,Musical Instruments,"Yamaha YRS-20 3 Piece Soprano Recorder, Green",$7.99 - $14.99,5,Good quality product and fun color,positive
15,Musical Instruments,"Yamaha YRS-20 3 Piece Soprano Recorder, Green",$7.99 - $14.99,5,Great quality,positive
16,Musical Instruments,"Yamaha YRS-20 3 Piece Soprano Recorder, Green",$7.99 - $14.99,5,I love my recorder,positive
17,Musical Instruments,"Yamaha YRS-20 3 Piece Soprano Recorder, Green",$7.99 - $14.99,5,Good,positive
18,Musical Instruments,"Yamaha YRS-20 3 Piece Soprano Recorder, Green",$7.99 - $14.99,5,Very pretty and fun,positive
19,Musical Instruments,"Yamaha YRS-20 3 Piece Soprano Recorder, Green",$7.99 - $14.99,5,What else do I need to say?,positive
20,Musical Instruments,"BONAOK Wireless Bluetooth Karaoke Microphone,3-in-1 Portable Handheld Karaoke Mic Speaker Machine Home Party Birthday for All Smartphones Q37",$30.99 - $69.99,5,"It is an extremely fun gadget to have for all age groups. It is sleek and handy at the same time, with great Bluetooth and sound.

The echo effect is good and it comes with a durable and compact case.

Overall it is a good and affordable buy!!!",positive
21,Musical Instruments,"BONAOK Wireless Bluetooth Karaoke Microphone,3-in-1 Portable Handheld Karaoke Mic Speaker Machine Home Party Birthday for All Smartphones Q37",$30.99 - $69.99,5,"Works great with Bluetooth and the sound is good for just being through the mic, although you could connect to a speaker if you wanted to. It was a gift and it was loved very much.",positive
22,Musical Instruments,"BONAOK Wireless Bluetooth Karaoke Microphone,3-in-1 Portable Handheld Karaoke Mic Speaker Machine Home Party Birthday for All Smartphones Q37",$30.99 - $69.99,5,"Good value for the price.. Lets be clear though, this will NOT pair with any speakers etc.
It has its own built-in speaker which is good enough for Karaoke night at the house.
Its only as good as the person singing into it.. You have to project when using this, can't be shy, you HAVE to hold the mic as close your mouth for the best sound!
If your in a big or loud place you would be better with a wired mic hooked up to a speaker..",positive
23,Musical Instruments,"BONAOK Wireless Bluetooth Karaoke Microphone,3-in-1 Portable Handheld Karaoke Mic Speaker Machine Home Party Birthday for All Smartphones Q37",$30.99 - $69.99,4,"I bought this for my mom, she has been using this portable karaoke for 2 years but it still works fine.
She connects this portable karaoke to an iPad or sometimes to the 55"" TV and starts singing for 2 hours before the battery is fully discharged.
Have no issue, so far so good.",positive
24,Musical Instruments,"BONAOK Wireless Bluetooth Karaoke Microphone,3-in-1 Portable Handheld Karaoke Mic Speaker Machine Home Party Birthday for All Smartphones Q37",$30.99 - $69.99,5,"This is the one... I'm almost a little scared. It's been a couple weeks since it's gotten delivered and it still has battery. And I've used it A LOT. So like, I guess in the case of an apocalypse type scenario you can totally scream Katy Perry's ""firework"" out of a neon pink microphone like a true American, long, long, after the nukes are dropped.",positive
25,Musical Instruments,"BONAOK Wireless Bluetooth Karaoke Microphone,3-in-1 Portable Handheld Karaoke Mic Speaker Machine Home Party Birthday for All Smartphones Q37",$30.99 - $69.99,4,"Top came very dented, tried to fix it but it’s pretty difficult. Sound amplification seems to be okay. Could be louder",positive
26,Musical Instruments,"BONAOK Wireless Bluetooth Karaoke Microphone,3-in-1 Portable Handheld Karaoke Mic Speaker Machine Home Party Birthday for All Smartphones Q37",$30.99 - $69.99,5,I love waking up my family torturing them at 5am with the great sounds of song lmao,positive
27,Musical Instruments,"BONAOK Wireless Bluetooth Karaoke Microphone,3-in-1 Portable Handheld Karaoke Mic Speaker Machine Home Party Birthday for All Smartphones Q37",$30.99 - $69.99,5,This was a great gift for my daughter-in-law.,positive
28,Musical Instruments,"BONAOK Wireless Bluetooth Karaoke Microphone,3-in-1 Portable Handheld Karaoke Mic Speaker Machine Home Party Birthday for All Smartphones Q37",$30.99 - $69.99,4,"I am still using the product after multiple uses with no issues. The Bluetooth is great, the sound is great, and it comes in this cool case that seems sturdy enough. Best mic for the price.",positive
29,Musical Instruments,"BONAOK Wireless Bluetooth Karaoke Microphone,3-in-1 Portable Handheld Karaoke Mic Speaker Machine Home Party Birthday for All Smartphones Q37",$30.99 - $69.99,4,About what I expected - only wish for me is if could be a tad bit louder. It’s nice that it has that echo effect and other buttons to customize the sound. Didn’t not try to connect it to another speak and not sure if that’s possible. Would be nice to had that compatibility since it’s not as loud as I would like it but for the price it’s not bad,positive
30,Musical Instruments,Amazon Basics Guitar Folding A-Frame Stand for Acoustic and Electric Guitars,$17.95 - $25.95,5,"I bought one of these to keep my inexpensive parlor guitar at hand, and it works well, and the access increases impromptu practice sessions, my goal. Due to the mixed reviews, I looked it over with a critical eye when it arrived. Noticed it has brads, which I'm not fond of, but took another look, and the brads look sturdy and well-seated. It's neither structural nor mechanical, and I think it will stand up fine to the intended use: to sit on the floor and hold a guitar. I jiggled it a bit to see if the guitar would drop off, and even picked it up by the base and leaned it forward, and it has to lean a bit for the guitar to fall, bearing in mind that mine is a bottom-heavy, 12-fret-to-the-body, small guitar. I'm still attentive about where in the room I position it, but so far, I'm happy with it. I also like that it's close to the (carpeted) floor, so a fall is unlikely to be disastrous. Would I trust it with my $45K WWII D-28? No, but not a problem as I don't have one.
Yesterday I had the guitar on my bed and the stand empty, and wanted to set my bodhran down, and without thinking about it, placed it on the at-hand stand, where it sat like the stand was made for the purpose. Since I had been actively seeking options for resting places (leaving in case or under a shelf rejected on the out-of-sight-out-of-mind principle; on top of a book case rejected because cats and gravity), this seemed serendipitous. I picked up the stand, tried the tilt test, and it clung with tenacity. Foam rest at top and on legs protected the wood. I looked up options for purpose-built bodhran stands, and decided to buy another of these, since they can then be used interchangeably for either instrument, and I was already knew what I was getting. This bodhran is a 14.6 x 5.5 inches/6 (38 x 14 cm), and it looks custom-built for the purpose.
In reference to the snarkilicious Q&A's about whether this stand is cat-friendly, I noticed that my stand had tooth marks in the foam supports which hold the body of the guitar at the base. It was me or the cats, and I would remember, so I speculate that a cat or cats and the stand were getting *very* friendly at some point.",positive
31,Musical Instruments,Amazon Basics Guitar Folding A-Frame Stand for Acoustic and Electric Guitars,$17.95 - $25.95,5,"I have no idea who initially invented this style of guitar stand, but this is a great price for a well made copy. The stand opens to three different positions to fit a wide variety of body sizes. The foam arms are designed to work well with body solid body electrics and acoustic guitars. This is replacing a Fender branded folding stand I've used for about 20 years. It's bulkier (will not fit into a gig bag unless it has HUGE pockets) and heavier but is far more sturdy. It folds nicely into a shape that works as a handle for carrying it. I first saw one at a rehearsal space I was at and after seeing the price I ordered one immediately. HIghly recommended if looking for a compact stand for gigging.",positive
32,Musical Instruments,Amazon Basics Guitar Folding A-Frame Stand for Acoustic and Electric Guitars,$17.95 - $25.95,5,Compact stand. Very sturdy. I don't know if it fits all guitar bodies as well as it fits my Telecaster. I still prefer the neck support on a stand but for travel etc. this is perfect. The top rest is right on the neck plate on a Telecaster may be on the body on other shaped guitars. Still a really good product.,positive
33,Musical Instruments,Amazon Basics Guitar Folding A-Frame Stand for Acoustic and Electric Guitars,$17.95 - $25.95,5,"I never had other guitar stands, but I can tell the reviews on this are not fake. It's a pretty good guitar stand, and I would give it a 4/5 or 5/5. Very satisfied with this purchase!",positive
34,Musical Instruments,Amazon Basics Guitar Folding A-Frame Stand for Acoustic and Electric Guitars,$17.95 - $25.95,5,"Very impressive stand. Accommodates my simple 6-string Ibanez acoustic guitar. Protective foam on the cradle part of the stand keeps scratches from happening. Not sure about the longevity, but at the price paid replacing the stand would not be break the budget.

UPDATE: So impressed with the first one, I gladly bought a second. They are really well made.",positive
35,Musical Instruments,Amazon Basics Guitar Folding A-Frame Stand for Acoustic and Electric Guitars,$17.95 - $25.95,5,I actually purchased this to stand for my electric longboard (Evolve GTR) to stand it upright for storage. It works really well.,positive
36,Musical Instruments,Amazon Basics Guitar Folding A-Frame Stand for Acoustic and Electric Guitars,$17.95 - $25.95,5,"Really nice Stand with padding for support, sleek design, not bulky. It’s simple design is functional and looks nice.",positive
37,Musical Instruments,Amazon Basics Guitar Folding A-Frame Stand for Acoustic and Electric Guitars,$17.95 - $25.95,5,Adjustable open position makes this stand usable for a variety of instruments. One fo my acoustic and one for my electric guitars. Folds up to about a 10”x10” square and packs nicely into my accessories bag. Highly recommend.,positive
38,Musical Instruments,Amazon Basics Guitar Folding A-Frame Stand for Acoustic and Electric Guitars,$17.95 - $25.95,5,I purchased one of these and liked it so much I bought another one. This is a great guitar stand for the price. It can be adjusted for different size guitars and is very sturdy. The boy thing that would make this better is a rubber latch to keep the guitar a little safer but I have not had any issues without it,positive
39,Musical Instruments,Amazon Basics Guitar Folding A-Frame Stand for Acoustic and Electric Guitars,$17.95 - $25.95,4,"These stands are OK. Build is good. They sit sturdy. They hold a normal sized Acoustic guitar very nicely. MY issue is the way an Electric sits in it... it leans too far back, for Me... taking up the room I ""thought"" I would be saving with such a small guitar stand. My ""hanging"" style guitar stand can be located much closer to a wall or an amp than this little stand, because of the angle an electric guitar sits in it.",positive
40,Musical Instruments,Amazon Basics XLR Male to Female Microphone Cable,$9.95 - $28.23,5,"Purchased these xlr cables to connect my studio monitors. And I must say they look great. Haven't connected them yet but my first impression is they look like high quality cables. I felt confident in buying Amazon Basics brand because not that long ago I purchased a couple of rca cables of that brand and they were perfect, still running them today on my home theater set up. I only wish I had looked into Amazon brand cables before I bought a set of really expensive Monster cables a while back. Spent $70 for the pair and they look identical to these ones which cost a total of $20 shipped. Oh, and these are longer! I got the 15 foot long cables just to insure I'd have enough slack to play with for speaker placement. Will only be buying AB for my cable needs from now on! I feel like such a doof for spending that much money on Monster cables, they all do the same thing, transfer audio.",positive
41,Musical Instruments,Amazon Basics XLR Male to Female Microphone Cable,$9.95 - $28.23,5,"I do not use XLR cables much, but these appear to be of high quality and work well for my simple application, which is connecting a dynamic mic to a Scarlette 2i2 for feeding voice into a USB port for use when teaching online classes.",positive
42,Musical Instruments,Amazon Basics XLR Male to Female Microphone Cable,$9.95 - $28.23,5,Connect wireless receiver to mixer. Works as advertised.,positive
43,Musical Instruments,Amazon Basics XLR Male to Female Microphone Cable,$9.95 - $28.23,5,"For the money, this cord is decent quality. Have not received any issues with use.",positive
44,Musical Instruments,Amazon Basics XLR Male to Female Microphone Cable,$9.95 - $28.23,5,"Good for the price. Have had a couple for about five years, many gigs and practices. Recently bought more for home, replacing xlr to 1/4 inch cables. I'm sure there are better, but these cables work well.",positive
45,Musical Instruments,Amazon Basics XLR Male to Female Microphone Cable,$9.95 - $28.23,5,I bought these cables to be spares but found them wonderful so they have taken the place of several in our sound equipment.,positive
46,Musical Instruments,Amazon Basics XLR Male to Female Microphone Cable,$9.95 - $28.23,5,"What else is there to say? Cable functions as intended, is well built, and even looks like a quality product, down to the “Amazon Basics” logo.",positive
47,Musical Instruments,Amazon Basics XLR Male to Female Microphone Cable,$9.95 - $28.23,5,Good quality,positive
48,Musical Instruments,Amazon Basics XLR Male to Female Microphone Cable,$9.95 - $28.23,5,"works great, 10/10 er... 5/5. Whatever.",positive
49,Musical Instruments,Amazon Basics XLR Male to Female Microphone Cable,$9.95 - $28.23,5,Good. Me buy. You buy. It nice af,positive
50,Musical Instruments,OneOdio headphones-Pro-10,$31.99 - $35.99,5,"First off, if you have problems with sound only in one ear, you are using the wrong cord! I was getting frustrated because these would sound great one second, then the cord would move, and it would cut out in one ear. I was using the black cord, with 1/8"" plugs on both ends. This cord is intended for use with the microphone, so it has 3 bands (stereo/mic) on the plug instead of 2 (stereo). It will work sometimes, but it will cut out and be frustrating. For music listening only, use the red cord, and plug the 1/4"" plug into the same size jack on the left headphone. Voila, no more cutting out!

As for sound quality, I was pretty pleased. I am using these plugged into an electronic drumset, and the drums were loud and full. Plugged my phone in and drummed along with music, and the music sounded great along with the e-drums. I'd say there's not a ton of high-end, mainly mids and some decent bass - quality sound but maybe not for a true audiophile (which I'm not).

The cans were comfortable and light enough after wearing for a while. The frame is not exactly form-fitting, you do look a little goofy with these on as the frame extends from your head like a big antenna. But who's looking? I'd say these are pretty good headphones for a decent price.",positive
51,Musical Instruments,OneOdio headphones-Pro-10,$31.99 - $35.99,5,"I have ""0"" knowledge about headphones so I rely on reviews and a visit to the seller's web-site for help with my decision 95% of the time. I've only had this headset for a few days but I watched a movie last night and the voices were crystal clear. Tried watching the same movie last week and gave up after 15 minutes- voices- were so muffled I had no idea what was being said. The background music is not so overwhelming that the viewer just watches the action.... ""hand me a blankie and pillow, please!"".
I think the OneOdie Studio Pro 10 is a quality product and well worth the price. Because it's not in the $200-$300 range doesn't make it a toy. If you spent your money on it, treat it with R-E-S-P-E-C-T.
Based on my limited knowledge, I would highly recommend this headset. Maybe I'm just got lucky!",positive
52,Musical Instruments,OneOdio headphones-Pro-10,$31.99 - $35.99,5,"I have a HP laptop with speakers that are less than desirable. Compound this with a lifetime of audio problems, (hard of hearing), and the speakers are pretty much useless. A set of cheap computer/desktop speakers were purchased with good results as they had a separate volume control plus a jack for headphones/earbuds. Having a small desk, It was getting crowded between the laptop, the speakers and the desk light, compounded by the fact that the whole set up is against a wall that goes out to a common hallway. This restricts my volume as I don't need to have anyone hearing what I'm doing while I am online. Thus the purchase of these headphones.
I chose headphones over earbuds as my ears easily get irritated when something is inserted. My main concern was two fold. The first is I have a large head, (size 7 5/8) and past ear protection devices have been pretty much uncomfortable both against the ears and overall. The second is perspiration as sweat build up occurs after extended wear. Being quite a while since I wore headphones, (2012) I did note an improvement but was still a bit gun shy.
To be honest, these were not my first choice. I initially saw a set of DJ headphones with a 9' cord which appealed to me for freedom of movement. For whatever reason, these were ordered instead.
These headphones came 4 days after ordering through standard, free shipping. Arriving in a soft pack with a bubble lining, the headphones were in a box enclosed within a sleeve. This made unwrapping a bit of a challenge as I wanted to save the box in case of return. Finally gaining entry, the headphones were in a bubble wrapped bag and two sets of wiring were enclosed within another. It was then I realized my error. Throwing caution to the wind, I took them out and read the enclosed the multi language manual. This was helpful as it was discovered that the ear pieces work somewhat like a person's neck. One side rotating 90 degrees counter clockwise and the other 90 degrees clockwise. Both tilted both up and down and both have extenders to adjust to the wearer. Also noted was the padding. Both ear pieces had generous padding as well as the top of the head set. It was nice to note that both sides of the ear pieces had outlets to accomodate the speaker wires. This makes it easier to plug the side in from the source thus avoiding crossover.
Two sets of wires came. The first was a red, stretchable cord with a 6.5mm plug for items like guitars and speakers on one end and a 3mm plug for the head set. The cord is 2m long but can be stretched to 3m. The second cord is a 1.2m standard cord with 3mm plugs on both ends. There is also a ""control"" button should the wearer have the headphones plugged into a phone.
Assembling the pieces, I plugged the 3mm into the cheap speakers and ran a gauntlet of various apps from music to gaming. WOW! WOW! WOW! A full, rich, clear sound was experienced through both earpieces despite the plug being on the right side. Every sound was heard, no matter how subtle. I did note, however, it was a bit ""bassy"" for my preference, but I was completely overwhelmed by the sound quality. Wondering if maybe the speakers may have some influence, I plugged the headset directly into the laptop. NOPE! No change in quality and I gained a little more cord in the process.
After playing for about two to three hours, It was pleasantly noted that the only time it was noted the headset was on was when I reached up to my head to scratch. Very lightweight, snug, yet comfortable even with glasses. No sweat experienced. No discomfort against the ears or atop the head. The cheap speakers were then moved and attached to another device that also had less than desirable speakers. It is unknown about the noise cancellation as the residence is pretty quiet with the exception of others going up and downstairs as well as the upstairs resident. Time will tell.
These are definately a keeper. Even though I have owned these less than a day, I am totally impressed with the looks, feel, and performance of these headphones. Definately a keeper and highly recommended!!!!
04/29/2019 update. These have almost constantly on my head and I have made a couple observations. 1. Despite being ""full"" ear headphones, they are not sound blocking. On a couple of occasions, I have been hearing knocking on my door as well as the phone ringing and someone talking, even though I couldn't understand what was spoken. Both have originated about 20 feet away. 2. the head band has a tendency to slide forward towards the forehead. I haven't figured out why yet and will post when I do. Right now I am testing a couple of theories.",positive
53,Musical Instruments,OneOdio headphones-Pro-10,$31.99 - $35.99,5,"I have these on right now.
They're good headphones. Big and bulky, yes, but good sounding—better sounding than my AirPod Pros, even. These get LOUD. The bass on this isn't jaw shattering, but still pretty good. They're not noise cancelling, but they filter out noise pretty well, so I guess you could say they're noise isolating.
I will say, though, that music bleeds through these headphones pretty bad (if you play your music at too loud a volume, people next to you will hear what you're listening to). I don't mind, though, since I'll mostly be using these at home to thoroughly enjoy my music :)",positive
54,Musical Instruments,OneOdio headphones-Pro-10,$31.99 - $35.99,5,"I wear a size 8+ fitted cap. My head is the reason that single size hats say ""one size fits most"". As such, it's nearly impossible to find over ear headphones that are both comfortable on my ears and durable enoungh that I'm not worried they're going to break anytime I put them on my head. These fit me perfectly, and I can wear them for hours without even realizing I'm wearing them. As an added bonus, the sound quality is great. I've had better sound quality from headphones that were comfortable for my huge cranium, but I paid nearly four times what these cost me. Overall the ratio of quality, cost, and fit for big heads is better than I've found anywhere.",positive
55,Musical Instruments,OneOdio headphones-Pro-10,$31.99 - $35.99,5,"The quality is quite good. But I think it is important to say that my girlfriend's ears are quite small--these are perfectly comfortable on her, but not on me. Personally I need a more oval-shaped ear cup. Fortunately, they were for her! She is using them for editing video that has narration, sometimes music, etc.
But yeah, headphones are high quality, and so are the cords that come with them. I like how the main cord is mostly straight, but has a coiled springy section. That allows it to reach a good ways if necessary, but also the comfort of the springy part...it's hard to explain, but it lets you move around comfortably in your chair without feeling the weight of the full cord pulling your head down. Nice product, great price too.",positive
56,Musical Instruments,OneOdio headphones-Pro-10,$31.99 - $35.99,4,"I'm taking a long trip and I wanted a set of wired headphones so I won't have to wait for my earbuds to charge up. I didn't want to spend a lot of money for this one trip. So, I found these and after some research picked them up. When I first used them, I immediately thought I have to return because the sound was horrible. But I tried them again the next day and I can't say how surprised I was at how good they sounded. I mean the sound was awesome. The highs are not tinny, the mids are clear and the bass is balanced. It comes with a 1/4 and 1/8 inch cords. I'm no audiophile but I am a musician who has recorded with nice professional headphones. For the price, I'm recommending these all day.",positive
57,Musical Instruments,OneOdio headphones-Pro-10,$31.99 - $35.99,5,"So as far as sound, these are best sounding headphones I've owned. In comparison to the MS Surface headphones, these have fuller bass without compromising the treble. The plastic though for holding the speakers in looks incredibly cheap. Nothing has broken on it though and I use them almost every day taking them off and on. I am just very gentle with them in case the cheap look results in an unwanted mishap. All in all an excellent deal if you want affordable great quality sound.",positive
58,Musical Instruments,OneOdio headphones-Pro-10,$31.99 - $35.99,4,"I'm no expert audiophile or anything of that sort, but these sound really good! Pleasant bass, good overall balance, keep a great amount (but not all) sound out, and most importantly they fit REALLY nice. The hinges are actually smooth and durable unlike many budget headphones, and the ear space is spacious yet comfortable. It even fits my slightly-too-big head!

Warning though, the second time I ordered these I got sent a pair of A71s instead. Make sure the pair you get look the same on the box!",positive
59,Musical Instruments,OneOdio headphones-Pro-10,$31.99 - $35.99,4,"I bought these in a pinch because a pair of Shure headphones I had stopped working and I gotta say I'm glad I did. For the price these are amazing. Comfortable and great response. The only reason I'm giving it 4 and not 5 stars is because it's a little bass-y at lower volumes and the cord it comes with (1/8"" headphone to 1/4"") is a little wonky. However, you can replace that cord if you have one you prefer lying around. Given the chance to buy these again, I still would prefer something with less bass, but until they break or quit working, they'll do just fine!",positive
60,Musical Instruments,Guitar Cable,$9.79 - $16.99,5,Like the flexibility and durability. Give my amplifier and guitar an excellent sound.,positive
61,Musical Instruments,Guitar Cable,$9.79 - $16.99,5,Twist them bend them....Guitar Cords look like they will last a long time.,positive
62,Musical Instruments,Guitar Cable,$9.79 - $16.99,5,Bought to patch pedals an other guitars an a backup.,positive
63,Musical Instruments,Guitar Cable,$9.79 - $16.99,5,The product seems to be well made and durable. Bought three of them.,positive
64,Musical Instruments,Guitar Cable,$9.79 - $16.99,5,This is a lot better than I expected. Bought another one.,positive
65,Musical Instruments,Guitar Cable,$9.79 - $16.99,5,"I am by no means an experienced guitarist, or qualified enough to describe the differences in sound performance and quality between different guitar cables, so take my review with a grain of salt.
*ahem* CABLE MAKE GUITAR GO CHUG CHUG!",positive
66,Musical Instruments,Guitar Cable,$9.79 - $16.99,4,Does what I wanted it to do.,positive
67,Musical Instruments,Guitar Cable,$9.79 - $16.99,5,This is a very clear cable the one my friend let me borrow was OK but this is more clear and a lot louder than his. It’s only $9.99 will it hold up and being the last one I will ever buy for the rest of my life probably not but the great thing is I only paid 10 bucks for a very nice quality cable. I’m not running around the room like a chicken with his head cut off playing my guitar so I should be just fine for many years,positive
68,Musical Instruments,Guitar Cable,$9.79 - $16.99,5,Looks and feels well made. It should last a while!,positive
69,Musical Instruments,Guitar Cable,$9.79 - $16.99,5,"Sounds great, looks and feels durable, and is a great price",positive
