,cate,product,cost,review_star,review,tag
0,Office Products,"Amazon Basics Multipurpose Copy Printer Paper - White, 8.5 x 11 Inches","$8.49 - $1,619.00",5,"I picked this up because I needed some decent-quality, lighter weight paper for double-sided black and white laser printing. (The paper I usually have on hand is super thick, which is great for color printing and more professional applications, but is HEAVY.)

Honestly, I expected this to feel cheap. I was okay with that. I'm printing multi-page newsletters, and didn't need anything super thick; I needed something light enough that seven or eight pages would be less than two ounces to mail.

And I was pleasantly surprised by this paper. Not only is it lightweight, but it's also really well-made somehow. I don't get any show-through on double sided pages, and it's consistently good. My printer loves it and gets no jams or mangled pages, and the surface is just textured enough that the printing sticks like a charm. I have no problems folding or creasing it, and I don't get the feel that it'll fall apart or disintegrate, despite both its weight and its price tag. It's fairly bright white, too.

Honestly, I'm not sure why I didn't switch to this brand sooner. I'll still keep my heavier (Hammermill) paper for things that need to be more professional, but I'll definitely keep buying it for all other printing, both laser and ink jet.",positive
1,Office Products,"Amazon Basics Multipurpose Copy Printer Paper - White, 8.5 x 11 Inches","$8.49 - $1,619.00",5,"I bought a box of this paper when the order of similarly priced paper from another retailer was canceled without reason 3 times. It's not my first time buying printer paper from Amazon and it won't be the last. It's white, just the right weight, and prints come out crisp and clear.",positive
2,Office Products,"Amazon Basics Multipurpose Copy Printer Paper - White, 8.5 x 11 Inches","$8.49 - $1,619.00",5,"I read some 1 star reviews for this pager, but my experience is the complete opposite. This is great paper. The paper itself looks clean and smooth close up. It handles ink great from my Canon printer. Great price and great value.

My guess for some 1 star reviews is that there are different lots. So maybe every year there are different manufacturers or the paper pulp they receive is different.

I ordered and received this 500 sheet paper in July 2022 and love the paper.

I hope next time I order it, it will be the same great product.",positive
3,Office Products,"Amazon Basics Multipurpose Copy Printer Paper - White, 8.5 x 11 Inches","$8.49 - $1,619.00",5,"I really like the subscription option for getting this printer paper! Since I only use my printer for home use, I don't need or use a ream of paper all the time. I really like the paper itself and especially like the delivery/subscription option. Makes my life easier!",positive
4,Office Products,"Amazon Basics Multipurpose Copy Printer Paper - White, 8.5 x 11 Inches","$8.49 - $1,619.00",5,I am a budget shopper and so tend to go with the lower price. I was not disappointed with this paper. Works as well as other brands for everyday use.,positive
5,Office Products,"Amazon Basics Multipurpose Copy Printer Paper - White, 8.5 x 11 Inches","$8.49 - $1,619.00",5,I love the smaller boxes as I don't use that much but always need it around. The price was more than reasonable. Will definitely be back,positive
6,Office Products,"Amazon Basics Multipurpose Copy Printer Paper - White, 8.5 x 11 Inches","$8.49 - $1,619.00",5,I use this product for printing out stories from my computer and it works great. Just right for what I need it for. Would definitely buy it again.,positive
7,Office Products,"Amazon Basics Multipurpose Copy Printer Paper - White, 8.5 x 11 Inches","$8.49 - $1,619.00",5,For the most part copy paper is copy paper. Was happy that it was delivered to my house without the hassle of having to go shop for it.,positive
8,Office Products,"Amazon Basics Multipurpose Copy Printer Paper - White, 8.5 x 11 Inches","$8.49 - $1,619.00",5,"I like the fact that each of the three packs contains 500 sheets--just the right size pack for my computer paper shelf. Also, the price suits my budget, and the prompt delivery lets me get near the bottom of my remaining pack (from Amazon) before reordering. I use this paper for every printing task, from printing out the newest family tree or for printing out drafts of the stories of my NC mountain childhood for a book for my daughters and other family.",positive
9,Office Products,"Amazon Basics Multipurpose Copy Printer Paper - White, 8.5 x 11 Inches","$8.49 - $1,619.00",5,"Not sure what you’re expecting, because it is paper. If your planning on building a high rise, this probably won’t work for that, but if you want to use it to start a fire pit, it would work for that very well, proving you get a lit match or lighter to come in contact with it. The main thing I’ve noticed is every sheet of this I place in my printer, comes out with words and graphics on it, which is a good thing.",positive
