,cate,product,cost,review_star,review,tag
0,"Patio, Lawn & Garden",TERRO T2502 Ready-to-Use Indoor Fruit Fly Trap with Built in Window,$5.89 - $66.37,4,"we had a bit of a fruit fly problem, so we got some zap traps that looked like they would work for $20~30 and a pair of these. the zap traps did not catch ONE fly, not fruit flies or any other kind of flying bug. maybe we got crappy zap traps, but the apples (and specifically these, not the raid apples, which kinda work but not as well) have been amazing.

here's how it's gonna go - you only order these when you're frustrated that you can't get rid of the flies, so you'll fill the trap, and then you get frustrated when you see flies land on the trap and crawl in and out of the holes and not fly into the solution. but after just an hour, we had a clump of flies in the solution, and after a day, a large number of them. we can't figure out where they're coming from and this is the most important thing you can do to fix your fruit fly problem, but in the meantime this has made our situation more bearable.

also, there are a few reviews complaining that you have to order more traps because they don't open. they do. it's just not intuitive to open them, but if you squeeze them at the seam you can get them open to clean the flies out (do this outside!) and if you wanted to add your own fluid you could.",positive
1,"Patio, Lawn & Garden",TERRO T2502 Ready-to-Use Indoor Fruit Fly Trap with Built in Window,$5.89 - $66.37,3,"This product does not trap the flies whatsoever. The holes on the top are far too large and the flies can just buzz right out whenever they want. The only flies it actually kills are the ones who drown themselves! As a lure, the chemical (smells like mostly apple cider vinegar) works very well, so here's a breakdown of what you should do:

Step 1: Recon
-Examine the areas the flies congregate in. Generally this will be places like a produce basket, an under-the-microwave light, the garbage, a compost bucket, and the sink or other moist places.

Step 2: Address the congregation areas
-The flies are searching for food and water, especially anything sugary.

-If they are attacking your produce, determine if there's any old or broken produce and dispose of it. Place other produce in the refrigerator or inside enclosed (tupperware) containers. Clean the normal produce container inside and out, preferably with a dishwasher or soak in hot water. Clean the areas near it as well. Don't forget the onions and potatoes you might keep in a different spot! The oven is a great place to store things if you don't have alot of containers, but be careful that you don't bring the flies with you.
-If they are hanging out by the garbage, empty your garbage/recycling more frequently and clean the receptacles.
-If they are in the sink, try to wash the dishes immediately after use instead of leaving them for later.
-If they are in your dishwasher, try the above and hand wash for a week instead or run the dishwasher more frequently instead of letting dirty dishes sit.
- If you compost, leave the bucket outdoors for a while or stop composting while you deal with the infestation.

You get the idea.

Step 3: Lure and Kill
- If you bought these lures, place them in the biggest offending areas in a prominent place, preferably close to lighting (leave the lights on if you can). You will see the little devils sit right on top or slightly inside the lures. They may also hang out nearby. Now is your time to strike!
-Grab a bottle of windex and make sure it sprays a nice mist instead of a jet. Your best bet is to attack while they are grounded, but often the mist will weight their wings down and they will fall to the closest surface. It may take a second squirt but they will die rapidly in a pool of windex.
-Don't go crazy trying to get every single fly as they will settle down and congregate again in a little while.
-Be prepared to spray the windex whenever you approach the offending areas. If you're about to open the dishwasher, rip it open and spray right away! Same for garbage or the fridge.

This is a fool-proof way to commit fruit-fly genocide. They are going after essentially dirt and grime so get cleaning! Now is not the time to be eco-conscious and save that bruised apple. Use it, eat it, compost it, throw it away!

If you follow this guide your infestation should be under control within 72 hours and nearly/completely gone within a week. Be careful not to reoffend by going exactly back to old habits though!

Good luck!",fair
2,"Patio, Lawn & Garden",TERRO T2502 Ready-to-Use Indoor Fruit Fly Trap with Built in Window,$5.89 - $66.37,4,"I live in Texas and had a persistent fruit fly problem after buying a bad batch of strawberries.

I placed the “apples” near their hang out spots where they wouldn’t be disturbed, then added the lure. It was astonishing - flys started swarming over IMMEDIATELY. After 24-48 hours, my problem was solved.

It’s hard to look inside, but there are easily a couple dozen flys in each, and I haven’t seen one since! I was concerned the flies would have trouble finding their way inside and actually get trapped, but it worked out.

I tried pairing it with those flat, yellow, sticky fly catcher’s but those worked horribly. Dry enough that only one that landed on it got caught.

I’d give this 5 stars if it was reusable and they sold the lure, but apparently they don’t. Not eco friendly and I’ll see if I can find a way to do so.",positive
3,"Patio, Lawn & Garden",TERRO T2502 Ready-to-Use Indoor Fruit Fly Trap with Built in Window,$5.89 - $66.37,4,"This is a great product that works really well…however it consistently has been running out of liquid well before the 45 days they advertised. I bought and deployed several of these on Aug. 11 and half have dried up and the others are tracking to be dried up soon (only 14 days after purchase). To make it a little more annoying (and as several other reviewers have already mentioned), the company doesn’t sell the liquid alone “due to sanitary reasons”. The little apples are designed so well and even allows for the top to be removed easily, so it’s seems so wasteful to continue buying more and more of these plastic apples that I don’t need just to get more liquid. The liquid works so well, I’d happily buy it at the same cost for environmental reasons alone. So far, we have 12 of these little apples and are needing more liquid again, so searching for alternative solutions to avoid adding to our stock pile…",positive
4,"Patio, Lawn & Garden",TERRO T2502 Ready-to-Use Indoor Fruit Fly Trap with Built in Window,$5.89 - $66.37,4,"These suckers are really good for use. No DIY-mess that comes with making your own with a cup and saran wrap/rubber band and and toothpicks, no fuss, no clean-up... except two out of two times we've ordered them, the ""bait"" they said to use has failed to lure in any bugs.

Both times I just topped it off myself (first time with a few drips from a strawberry daiquiri wine cooler, second time with a few drops of white wine vinegar) and suddenly there were gobs and gobs of the nasty little bugs inside. Buying it from Amazon is a lot cheaper than any of the local options, but my assumption is the ones I got *may* have been a bit too old for the bait to still catch anything. Still, a few drops of home-chosen bait will (at least for me!) fix that issue.",positive
5,"Patio, Lawn & Garden",TERRO T2502 Ready-to-Use Indoor Fruit Fly Trap with Built in Window,$5.89 - $66.37,5,"I buy this every summer for fruit flies and it works great. I am not a fan of the smell, but that is probably unavoidable as I tend to be very sensitive about all odors. This is asking me to rate the ""adhesion"" but I don't know what adhesion they are referring to. You just squirt the bait into the little apple trap and then put the trap wherever you think the flies are breeding, like near the fruit or the sink. Within a couple of days, all the flies are gone! Hooray! The only downside is that if you need to bait the traps again later, you have to buy more bait and that costs more than buying the initial bait & traps. But it's not that big of a deal. Also, this only works for fruit flies. If you have house flies, pantry moths, or anything else, you have to treat for that insect. There isn't a product that gets rid of all insects and lets people survive.",positive
6,"Patio, Lawn & Garden",TERRO T2502 Ready-to-Use Indoor Fruit Fly Trap with Built in Window,$5.89 - $66.37,4,"Let’s get the good out of the way.

It works, it works fast, and puts a bug zapper to shame in efficiency.
So I’ll say this - if you’ve got a fruit fly problem, this is an EXCELLENT product for getting rid of them.

And for the bad. The refills.
Or really I should say, the non-existent refills.
These are plastic apples, with two plastic windows inside of them, that come with a little bottle of vinegar smelling liquid lure to add to the apples.

When I purchased these, I assumed I would use as needed, clean them out and store them to be used another day.
But nope. They don’t sell the lure. You’re supposed to just throw away these perfectly good, well designed plastic apples, and buy more of the traps so you can have more lure liquid.

I get it, it’s a cheap buy, but that’s not the point. Just a waste of plastic. I mean would you throw out a humming bird feeder once the liquid was gone?
Just seems silly and annoying.

But there it is. It will work incredibly well, but unless you want to make your own lure afterwards, you have to buy completely new traps.",positive
7,"Patio, Lawn & Garden",TERRO T2502 Ready-to-Use Indoor Fruit Fly Trap with Built in Window,$5.89 - $66.37,4,"This product works exactly as intended. However, if you live in a dry region (such as Arizona/southern Nevada/southern Utah) the bait fluid dries out far before the advertised “lasts up to 90 days” time.

The 90 days refer to 45 days for each of the two apples, using the provided lure fluid. Each of ours (southern Utah desert) dried out after 2-3 weeks. This is not the fault of the product, but it is something to take into consideration when making a purchase choice.",positive
8,"Patio, Lawn & Garden",TERRO T2502 Ready-to-Use Indoor Fruit Fly Trap with Built in Window,$5.89 - $66.37,4,"Gotta say, it works very well especially for the price! As a work from home freelance artist, I need absolute concentration. So it goes without saying that fly's in your face are VERY distracting as well as annoying.

Set one trap in my room and one in the kitchen. Seemed to take care of them quite well over the span of a few days. Granted, they still keep coming it seems, but so long as I have this little red apple of doom, it takes care of the problem... I'd say about 85-90% effective. Give it a try!!",positive
9,"Patio, Lawn & Garden",TERRO T2502 Ready-to-Use Indoor Fruit Fly Trap with Built in Window,$5.89 - $66.37,5,"We recently moved to a new office and noticed gnats and/or fruit flies seemed to like what we've done with the place. Every day, my coworkers and I were swatting at these things. The property management was slow at sending out pest control, so I took a chance on these. I ordered 6 total units and put them all out as soon as they arrived. Within 2 hours, each apple had at least 3 gnats on it. The one in the highest problem area had 7! The next morning, each apple had several dead bugs in it and the tops were still attracting more. There was only 1 that I noticed flying around that day compared to dealing with them all day. By the second morning, they were completely gone. We have not seen any since the first 24 hours and we are now a week fly/gnat free. Highly recommend. We will use these again should the problem return.",positive
10,"Patio, Lawn & Garden",TERRO,$12.28 - $31.97,5,"I had an occasional ant or two showing up in my office and could not track down where they were coming from. Every few minutes i'd feel one crawling up my leg, I'd pick it off me, look everywhere on the floor and find no others. It's like they were coming right up through the floor or something but they never revealed their entryway to me.
Got some tarro liquid gel bait, placed against a wall under my desk, and the next day I had a line of ants coming from somewhere across the room, all the way over to that bait. Suckers! I moved the bait to their entryway and they've been all over it for about 5 days now.
I also placed bait in my bathroom where there were some ants. Put it near where they were scavenging but these ants must not be part of the same group because they ignored it for 2 days until I put it right up in their faces, then they swarmed it. These ones liked to swim in it though and clogged up the entrance to the bait. Had to scrape out the dead body clump there to make it a little more attractive to future ants who may not like the idea of climbing over a pile of their dead family to get to the food.
Looking at the bait over these past few days, it seems many ants just get stuck in the gel and ultimately die. I'm not sure how much of this is actually making it back to the nest. Activity around the bathroom bait is definitely slowing though. Lots of ants hanging around but don't seem to be doing much, almost like they're drunk. They brought in reinforcements too, some at least 2-3 times bigger than what I usually saw there, but they too are stumbling around like drunkards now. The office ants are still pretty active though...they too seem to just get stuck and die but have greater numbers.
Overall, the bait is working! Watching it work is nearly as good as watching a Netflix series.

UPDATE: It's been about 11 days or so and the office ants don't seem to be slowing down. I put 3 baits there initially, and they slowly filled up with dead ants (1 was even completely dry) so, I decided to replace those with 3 fresh baits.
The other 2 ant locations I used this bait on worked really well and only took a few days to see a slowdown and eventual end to their activity there, but these office ants are apparently sturdier and have greater numbers.
Hopefully these 3 fresh baits are enough to finish off the office ants. Again, not sure on how much of this gets back to the nest... They all just seem to get stuck and die inside the bait. Will report back on progress.

UPDATE 2: Been just over 2 weeks now and the office ants are finally slowing down. I'm gonna conclude this room took longer simply because there were a lot more of them there than the other rooms. Eventually, they'll all die but you gotta be persistent and replace the baits when they inevitably turn into graveyards full of bodies. Probably another week and this group will be done for good.",positive
