,cate,product,cost,review_star,review,tag
0,Pet Supplies,Dr. Elsey's Cat Litter,$10.99 - $65.93,5,"Cat litter.

It's dusty. Dusty and gray. Also, granular. Decidedly less so upon being used, it forms a foul smelling hillock that waits for the low-man-on-the-totem-pole of the household to reluctantly scoop it. It smells of...cat litter? What else does cat litter smell like? I dunno. It's the medium in which we expect our pet cats to expel their waste.

That's it.

That's about as much brain real estate each of us has devoted to the rousing topic of ""Cat litter"" and deservedly so. Cat litter is one of those things that is so inconsequential in our lives, so banal of a product, that any amount of conversational effort devoted to it is too much. That is, when it works.

And yet...here I am reviewing it on Amazon.

In addition to having a decent (boring?) enough of a life that I can devote time to reviewing cat litter on Amazon, I have two cats. One is a white flame-point ragdoll cat that is the reincarnation of Steve McQueen that'll befriend a Rottweiler within minutes of meeting (Tucker) and the other is a painfully shy siamese that closely resembles a raccoon that swallowed a medicine ball - we call her ""the basement troll"" for her penchant for cool, dark spaces and cardboard boxes. Formally, however, she is known as ""Bailey"".

While Bailey is extremely sweet, she's very nervous and scares extremely easily. She hides in the basement whenever anyone comes to the house and hates being carried. While Tucker is as cool as Billy Dee Williams and makes the Dos Equis guy look like Don Knotts, Bailey is more sensitive than an open cavity. As a result, she's suffered from chronic bladder infections for years.

While both of these cats are polar opposites of each other, both had one thing in common - they both had a penchant for leaving tootsie rolls just outside of their litterbox. In addition, because Bailey suffered from routine bladder infections, we were starting to see rust-colored spots in not-so-inconspicous places around the house (essentially every carpeted corner in the house). While I certainly don't condone the tendency for families to throw their hands up in the air in exasperation and send their pet cat straight to the kennel when this happens, I can understand how it happens.

If only there was some sort of miracle product that keeps such tragedies from happening...

Yes, Precious Cat Ultra Premium Clumping Cat Litter is that product. How incredible is this stuff you ask? I'll tell you: it's so damned good that here I am, semi-supine in my cozy bed on the last Tuesday before Christmas and instead of figuring out how I'm going to get every last gift that I'm obligated to buy, I'm reviewing this cat litter. That's how f---ing great this stuff is. It's simply sublime - transcendent even. In a world where every product is so over-hyped, brightly packaged, and intrusively advertised on every screen in your house and yet is woefully and ultimately ineffectual, here's a product that's the equivalent of a circa 1974 George Foreman right cross packaged in a manila envelope.

Before I continue, I would just like to say that this isn't one of those inane, dipsh-t ""ironic"" reviews that self-entertained hipsters write in the hopes that they get recognized by Buzzfeed - I'm as sincere as I can be - this is the Alpha and Omega of cat litter.

With that out of the way, the first thing that comes to mind about this litter is that it saved our carpets, piles of dirty laundry and sanity from Bailey's sketchy bladder. Cynical as I am, I was fully expecting the worst for Bailey - her bladder infections were a more consistent recidivist than Tyron Biggums and there was no end in sight. Like seemingly all pet ailments, I was fully expecting Bailey's treatment to be outrageously expensive.

Thankfully, we're blessed with a vet that had long since paid off her exorbitant student loans and rather than recommend more ""tests"" (i.e. $$$$), she recommended Precious Cat Litter. Always in favor of the cheapest, easiest, and simplest answer, I happily ordered it from Amazon. I replaced all the litter in the house (Tidy Cat) with the Precious Cat stuff and was ill prepared with how fast I saw results. Literally minutes later, there were fresh clumps in one of the litter boxes. Both cats took to this stuff like a fish to water. No longer do we find ""surprises"" propped up against the litter box when it comes time to clean them out and that's pretty damned nice.

So, I give this stuff an easy 5 stars right off the bat due to its ability to coax Bailey to start using the litter box again, and thereby curing her bladder infections for good. That alone makes this a 5 star product. It fully exceeded my expectations. What really makes this stuff special is the comorbidity of the following:

1.) Cost - This litter is significantly cheaper than the major brands you see in large jugs at just about every supermarket in the country. For the longest time I couldn't understand why cat litter was so expensive - I mean it's not like clay and ""proprietary scent crystals"" are rare earth metals. Precious Cat Litter brings sanity back to cat litter pricing. It's also pretty sweet that a 40lb. bag of this stuff ships with free 2 day shipping with an Amazon Prime subscription. Thus, the value proposition is off the charts with this litter.

2.) Scent - There is none.

No, I'm not just talking about the actual scent of the litter - I'm talking about after it's been used. Bullsh-t you say? I can't blame you - every friggin' litter I've ever used that advertised such a claim has failed miserably. Cat urine is so putrid and so powerful that it causes many landlords to refuse cats to be present on their premises. I wish I had known about this product years ago because it effectively renders this objection null and void. The way this stuff absolutely smothers cat urine smells is positively game-changing. We have four cat litter boxes in our house - one is in the upstairs laundry room right at the top of the stairs. Normal cat litters would assault the olfactory senses of any poor soul unfortunate enough to walk upstairs in our house. Not so with this litter.

It's ability to c-o-m-p-l-e-t-e-l-y void the stench of cat urine is truly other-worldly, maybe even a little bit spooky. Absolutely nothing should work this well at canceling out one of the worst smells known to the human race. Thus, I have no other choice than to conclude that simple logic dictates that Beelzebub himself MUST be involved somewhere in the supply chain of this product - there's no way humans alone have unlocked the superpower of neutering cat urine funk. However, this raises a philosophical question unto itself - how bad could the devil really be if he/she/it is involved with such a flawless product? Eh? Think about it.

So, Precious Cat litter is not only super good at eliminating cat urine stench, but it also forces consumers to deeply ponder some of life's most mysterious philosophical questions. Tidy Cat don't do that, jus sayin'...

3.) Clumping performance - To me, next to the puke-inducing smell of cat urine, scooping soggy piles of cat mess is the absolute worst part of changing the litter box. With the mainstream brands, I've noticed there's about a 50:50 chance that the litter will clump. When it does, things are a-okay. When it doesn't, you might as well don a painter's mask and goggles to deal with the resulting acrid fumes. Once again, Precious Cat punches far above its weight here. This stuff clumps so consistently and so tightly that Detroit should consider using this stuff to fill potholes. Cleaning the litter box with Precious Cat is a much faster, much easier, and much less painful experience than ever.

So, I conclude my review. Is Precious Cat a fantastic cat litter? Indeed. However, it's something better than that - it's a product that transcends its meager goals, which is to merely be a substance that cats crap into. For one, it's absolutely unmatched in its ability to do what no other cat litter can do, namely ""leave no trace"" that a cat resides in your house, a ""silent warrior"" if you will. Yes, I said it - it's essentially the Navy SeALs of cat litter. It's also cheaper than its inept competitors. Perhaps most importantly, it can be the difference between a cat being happy and comfortable in a loving home and a cat finding itself in a shelter. Lastly, it's so outstanding that after witnessing its perfection, you'll be highly motivated to write paragraphs about it on Amazon.

Cat litter.

It's Precious Cat or nothing.",positive
1,Pet Supplies,Dr. Elsey's Cat Litter,$10.99 - $65.93,5,"This product is unscented, but completely masks scent. Even the waste bin I fill after scooping the litter box doesn’t stink as bad as the last litter I used. Very fast clumping. Very low dust. I use this stuff with confidence in the litter box in my kitchen, without fear of contaminating all my surfaces with litter dust.

Almost no tracking. I would wager the only tracking that happens is when I accidentally step on the stuff with my bare feet as I’m cleaning up after they kick it out of the box. My cats are champion kickers, so they do still manage to kick it outside the box a little, but not much, and it doesn’t fly far. I use a litter mat under one of my boxes and it keeps it almost completely contained (have I mentioned my cats being strong kickers?).

Half the cost of the “no dust” clay litter from Arm & Hammer, but works MUCH better. Does not stick to the walls of the litter box! This is really important because my kitty tends to urinate down the wall of her box all the time. Other litters would clump and harden on the box wall and stick there. Couldn’t scrape them completely off if I tried. Not so with this. It just comes completely away from the sides, even though my litter box is old and scratched up.

This stuff is amazing. Hands down the best litter I’ve used, and I’ve used some of the pricier ones. I would not want to use another litter even if I could easily afford it.

While in the process of switching to this from the high-cost, lightweight, all-natural, no-dust litter I’d been using previously, I had one box of this stuff and the rest of the old stuff. The cats completely ignored the old stuff. They would only use this stuff. They would rather use a very used box whole I was out all day at work, than use the “better” brand which was sitting untouched in the other box.

I’ve scooped immediately after liquid waste and it barely sticks to the scoop. Certainly much less than anything else I’ve used. Still, maybe let it sit it one minute before scooping. Solid waste? You can scoop it right away, as long as it’s been covered (mine doesn’t tend to cover his so I cover it for him). If it’s been sitting there for a minute or two you wouldn’t even have to cover it before scooping. This stuff is quick at desiccating all the waste very quickly.

Be warned. This litter is heavy. Not a good choice if you or your cats are weak or have pain issues, but if you’re strong enough, or have someone else who can help you with those things, it is totally worth it.

You might even try having a strong, wheeled bin for your litter, and standing at the door scooping the litter out into the bin at the door where your Amazon driver drops it, if your arms, wrists, and hands are reasonably functional but your spine or legs give you grief. I already have distant future mobility issue workarounds planned out, because as long as they make this stuff, as long as I have cats, and as long as I am able to, I intend to keep using this.",positive
2,Pet Supplies,Dr. Elsey's Cat Litter,$10.99 - $65.93,5,"Living in the country and being a total sucker, I have more than a few cats. They find me. Even living 40 miles out in the country, further than anyone will drive to dump animals, they still find me. Seriously. I wake up in bed with cats I don't know. I come home to find cats I don't know partying in the living room, napping on my bed and helping themselves to chow in the kitchen. Last year a feral had kittens under my kitchen sink. Three cats I had just met, in my house, had litters of kittens in bed next to me while I was sleeping.

So I'm not kidding when I tell you I need good litter.

None of my cats have had any of the cement clumps some people talked about. I guess that could eventually happen if the boxes aren't cleaned out in a timely manner. I'm not willing to check that out though.

I put this litter in what I call ""The Popular Box"", the one they all seem to prefer. I used my regular litter in the back room with the other boxes that get a lot less use. Just for giggles, I skipped a day of cleaning the box with THIS litter, but did clean the ones with the other litter.

Even though the box with Dr Elsey's litter missed a day of cleaning, even though that box get about 3 times as much use as the other boxes, it didn't smell. At all. The others did.

What dust? Very minimal. I especially noticed the difference when I added old litter in the back boxes. There is almost no dust with this stuff.

And the clumping? WOW! You could hurt someone with those clumps! Seriously! If you find a stranger in your house, just grab one of these to throw. They'll be in some serious pain!

I barely noticed any odor when I was cleaning out the ""Popular Box"". The far less used boxes with the old litter seemed overwhelming after using Dr Elsey's.

One thing to note is that although this is a forty pound bag of litter, the bag it comes in is not much bigger that the 20 lb bags I usually buy. This stuff is HEAVY! I had to drag the litter over to the box and scoop it out with a cup!

I also noticed that there is a lot less tracking of litter. I wasn't expecting that.

Needless to say, I'm beyond pleased with this litter. It's a little more expensive, more so for me because I have so many ""Guest Boxes"", but I'm definitely not going back to that other stuff.

Now, if they could make a litter that will scatter itself over the poo when my cats can't be bothered. Is it so much to ask at least that much after everything I do for them???

I guess they want to make sure I don't forget who's really the boss around here.",positive
3,Pet Supplies,Dr. Elsey's Cat Litter,$10.99 - $65.93,5,"Ok I used to be a A&H snob because I thought baking soda was the almighty of odor eliminators but I'm sold on this litter. I like this litter a lot and don't mind it is unscented. I usually opt for a scent of some kind however the scented bag would have taken another week so I took a leap and tried the unscented ultra. Clumps don't fall apart while scooping, however it does stick to the bottom if your cats likes to dig but most litter does that even A&H slide if your cats dig enough. It does a good job of absorbing liquids and odor control has been great so far. It does start to get a slight smell after 3-4 days but this is an improvement by far from other brands. I scoop often 1-2 times a day for 3 cats with 3 litter boxes and if I get lazy and skip a day this litter doesn't punish me with nasty smells or small peices of clumps all over the box.. I do use a odor eliminator after I scoop by about the 3rd day or so when the slight smell starts to happen and it works well to extend the freshness. Overall I think their are better litter brands out there but not at this price point especially if you have multiple cats.",positive
4,Pet Supplies,Dr. Elsey's Cat Litter,$10.99 - $65.93,5,"I am a new pet owner and I have been exploring different litters. My roommate (at the time) was using a litter that had so much dust, the cats would come out smelling like litter and anytime I went to empty it out, the pee clumps would just fall apart. On top of that it had a scent that not only was a bad scent, but then it would be mixed with cate feces. Gross.

I grew up with cats so I have experience and have tried a few since adopting my cat. I recently moved out on my own and tried the pellets and HATED them which shocked me. I came across this litter on Amazon and honestly thought I would try it but ultimately have to continue my search. I am converted! It's got a heavier consistency so there is literally no dust. The pee balls are covered and stick together literally 9x out of ten. Poop is easy enough with any litter. I smell literally nothing, not even when I'm changing her box.

I think I will stick with this litter. I think the bad reviews, something else is going on. This is a very good product and very well executed. I have been telling all my cat mom friends to try it because I love it that much.",positive
5,Pet Supplies,Dr. Elsey's Cat Litter,$10.99 - $65.93,5,"I am very impressed with this litter so far. When I first received it and added it to my cats' litter box, I was pleasantly surprised not to be able to smell anything at all from the box. Normally, there's always a little bit of odor when I walk past the laundry room, no matter how often I scoop. This litter completely smothers any odor when the litterbox has been scooped, and I can still barely smell anything when walking past the laundry room even if the box needs to be scooped. It's important to note, however, that I have a hooded litterbox with a flap over the entrance, and I scoop the box usually every other day. I have two cats, and they fill a litterbox quickly. However, keeping 4 or so inches in the box allows them to bury things better and means I can scoop the box less and smell odors less. I haven't kept 3-4 inches in the box in the past because it takes so much litter that I would have to buy two pails just to fill it to 3-4 and then have clean to add to it as I scoop it. However, this litter's granules are larger than most others', and the 40 lb. bag is excellent for the price. After adding 3-4 inches of litter to my cats' XL size hooded box, there's still at least 2/3 of a bag left. After scooping, the litter left in the box looks clean and doesn't get discolored and wet like other litters I've used. So far, I haven't added any extra litter to the box. With other litters I've used, I usually feel the need to add some on top often after scooping because the litter in the box gets stinky really fast. With this litter, I can see myself only adding more when the level in the box gets lower, and that's what I want. I originally searched for another type of litter because one of my cats has a coughing problem, and I wanted to see if switching to an unscented, dust free litter would help. I wish it was completely dust free, but 0.1% dust isn't much to complain about. I haven't noticed any dust at all, and my cat rarely coughs any more. One thing of note about this litter is that it is EXTREMELY heavy. I say this as a man who regularly lifts upwards of 100 lbs. at work. This stuff feels like it's made of lead. I think the fact that it comes in a bag, without many places to gain purchase, makes it harder to lift. I recommend lifting it up and hugging it with both hands on the bag when pouring instead of trying to hold one corner of the bag, as this makes the litter pour out very slowly. That being said, it's also best to support the ""spout"" (or the corner you cut open) with one hand. Otherwise, the top part of the bag is going to go limp and dump a ton of litter into the box. The weight of the bag does make it cumbersome, but I'm willing to deal with the logistics of it for the quality of the litter. However, I do recommend getting a metal litter scoop. The plastic one I have bends unless I'm careful about how fast and at what angle I scoop. It makes getting into the corners difficult, and I expect the plastic scoop to break soon. I'll definitely be getting a metal scoop when that happens. Despite the heaviness of the litter, it's very easy to scoop. My cats love to dig in the corner of the box and pee, which makes the pee get stuck on the side of the box. This litter is very easy to scrape off the sides, however. It also clumps very tightly, and even weaker clumps, like those formed by the urine scraped off the side of the box, have the consistency of a thick, sandy paste and are very scoopable. I haven't had any clumps fall apart on me. Also, an unforseen benefit of the heaviness and coarseness of this litter is that my litter mat can catch tracked litter a lot better. Since switching to this litter, there have been a lot less stray granules all over the laundry room floor, and I haven't seen any litter clumped in the fur on the bottoms of my long-haired cat's paws, which is what happened with the last litter I was using. Overall, I'm very pleased with this litter, especially considering it's about $17 for a 40 lb. bag. I could easily see one bag of this litter lasting me two months, even with two cats. That being said, I'm concerned about the price fluctuations and discrepancies in quality noted by other reviewers. If the price does go up beyond how much I'm willing to pay, I will probably search for another site to order this litter from or just look for another brand. The value of this litter is a huge factor of how much I like it, so taking that away would definitely turn me away from buying this litter regularly and exclusively, which is what I plan to do if everything remains the same as with this first order. If I receive a bag of product with bad quality, I won't be ordering this litter from Amazon again and will try to find somewhere else to order it from instead. But that being said, I'm very pleased with the product that I have received for this first order, and I will definitely be purchasing this product again.",positive
6,Pet Supplies,Dr. Elsey's Cat Litter,$10.99 - $65.93,5,"I love this specific dr. Elsey litter. The clumps don't fall apart. They stay solid which helps keep the litter less crumbly and in return makes the litter last longer unlike other brands. Another positive aspect of the solid clumps is that though the clumps stay solid, it is also not wasteful. Other clumping litter brands use a lot of litter to form a clump which causes the litter to finish much faster. Not this one. The litter lasts much longer than other brands. Please be aware that this review is only for this specific Dr. ELSEYS Clssic Litter deep red color bag with a grey cat on its side. I have tried other colors from Dr. Eleseys and they are not as good as this specific one.",positive
7,Pet Supplies,Dr. Elsey's Cat Litter,$10.99 - $65.93,5,I Love love love on how it clumps! I do not like it when it gets in between the cats toes and feet. I hate the smell when they poop and pee. I have to scoop litter box every day. Used to be every other day but wow it stinks. Really wish that this bag has added scent to it. I do use the arm and hammer scent for the litter but boy it always goes in my mouth when I pour it lol *the scent*. Next time I shall wear a mask. Other than that I would have given it 5 stars but no peeewww,positive
8,Pet Supplies,Dr. Elsey's Cat Litter,$10.99 - $65.93,4,"People write some curious things about this product. First as this is a clay product you can get a bad bag that has been dropped or tossed around that will powderize the clay granules. No lit yet r lasts forever. I only have one little cat and change the litter completely every two weeks ago and scoop every or every other day. And the stuff gets stinky. Cat owners GM can get nose blind to it but when I’m gone for a couple of days snd come back it’s noticeable. This product performs well but not perfectly as nothing will.it clumps well but the cat digging around can mess up a few clumps and even though I fill the box deep her digging sometimes can lead to adherence to the bottom of the box.
This product will give you good performance at a pretty reasonable price.",positive
9,Pet Supplies,Dr. Elsey's Cat Litter,$10.99 - $65.93,4,"I would have given this 5 stars if it eliminated odor a bit better. I usually use the more expensive Arm and Hammer but after reading the reviews for this one I thought I would give it a try. It's a great litter overall. It clumps very well and there is virtually no dust (this is a big plus for me!). I did appreciate that it was on the cheaper side too. The only thing I think they need to work on is covering up the odor a bit better. I am a twice a day scooper and I still had odor problems. After awhile I did add a freshener to the box then and it took care of the problem. Other than the slight smell issue, this is a great litter and I would definitely recommend.",positive
