,cate,product,cost,review_star,review,tag
0,Software,"Microsoft 365 Personal | 12-Month Subscription, 1 person| Premium Office Apps | 1TB OneDrive cloud storage | PC/Mac Download | Activation Required",$58.99,4,"I'm happy with Microsoft 365 but I was very unhappy when I was trying to download it. When you purchase a digital item from Amazon, they should give you explicit instructions in the process of downloading it. If you're having trouble figuring out how to download your Microsoft 365:
1. Go to Accounts
2. Click on Customer Service
3. Go to Messages (at the time, I had to scroll to the bottom and click on ""Get help with something else"", which led me to Memberships & Subscriptions and then Communications - see the problem?)
4. Find the message that begins with ""Activate"" and follow the simple directions
Good luck!",positive
1,Software,"Microsoft 365 Personal | 12-Month Subscription, 1 person| Premium Office Apps | 1TB OneDrive cloud storage | PC/Mac Download | Activation Required",$58.99,4,"We just downloaded this subscription and at first it was a little confusing when we initially tried to active and went to our 365 account an error message came up. We tried to activate via our email and received the same message. Once we got into our 365 account there was a blue tab saying ""install software."" Once we hit the tab button the software loaded with no errors and we are good to go now.

We didn't do anything with Tech support so we gave that a 4 and overall 4.",positive
2,Software,"Microsoft 365 Personal | 12-Month Subscription, 1 person| Premium Office Apps | 1TB OneDrive cloud storage | PC/Mac Download | Activation Required",$58.99,5,"I've read the many recent reviews indicating difficulties getting the product as purchased through Amazon activated. I had an existing office subscription that expired a few days ago. I purchased the new subscription through Amazon, and just clicked on the link I found in my Manage Subscriptions section of my Amazon account. It took me to directly to a Microsoft Account log-in page, where I logged into my Microsoft account, and then without any additional input from me, Amazon electronically transferred the information on the just purchased subscription into my Microsoft account; a 1 year subscription to Microsoft 365 is now activated and functional. Now, I have no idea what my subscription number is or what the actual activation code is, but I didn't have to input anything. I just clicked on the link provided by Amazon that is found in Amazon > Your Account > Memberships and Subscriptions > Other Subscriptions > Current Subscriptions. I hope this is helpful to anyone concerned about purchasing this through Amazon.",positive
3,Software,"Microsoft 365 Personal | 12-Month Subscription, 1 person| Premium Office Apps | 1TB OneDrive cloud storage | PC/Mac Download | Activation Required",$58.99,5,Not sure why any reviewer calls this fraudulent. It works and was super easy to change my subscription from family to personal 365. Just requires you to log into your Microsoft account. I did it a few weeks early and the time remaining on my family 365 is added to this subscription so not an issue!,positive
4,Software,"Microsoft 365 Personal | 12-Month Subscription, 1 person| Premium Office Apps | 1TB OneDrive cloud storage | PC/Mac Download | Activation Required",$58.99,4,I was hesitant to purchase after reading the reviews but it wasn't that bad. Just go to your Amazon memberships and you go to other subscriptions and your office purchase is there ready to activate. I did it from my desktop. Other than that it's an office program which I need and does what is supposed to.,positive
5,Software,"Microsoft 365 Personal | 12-Month Subscription, 1 person| Premium Office Apps | 1TB OneDrive cloud storage | PC/Mac Download | Activation Required",$58.99,5,Buen servicio. La renovación de la suscripción fue instantánea.,positive
6,Software,"Microsoft 365 Personal | 12-Month Subscription, 1 person| Premium Office Apps | 1TB OneDrive cloud storage | PC/Mac Download | Activation Required",$58.99,5,Easy for someone who struggles,positive
7,Software,"Microsoft 365 Personal | 12-Month Subscription, 1 person| Premium Office Apps | 1TB OneDrive cloud storage | PC/Mac Download | Activation Required",$58.99,5,Works with both hard drive and Internet-based software,positive
8,Software,"Microsoft 365 Personal | 12-Month Subscription, 1 person| Premium Office Apps | 1TB OneDrive cloud storage | PC/Mac Download | Activation Required",$58.99,5,easy to download and works great.,positive
9,Software,"Microsoft 365 Personal | 12-Month Subscription, 1 person| Premium Office Apps | 1TB OneDrive cloud storage | PC/Mac Download | Activation Required",$58.99,5,Fácil y práctico de adquirir.,positive
