,cate,product,cost,review_star,review,tag
0,Sports Collectibles,"Panini FIFA World Cup QATAR 2022 ALBUM + BOX (50 Packs, 5 Stickers per pack)",$62.00,5,Its the best one out yet,positive
1,Sports Collectibles,"Panini FIFA World Cup QATAR 2022 ALBUM + BOX (50 Packs, 5 Stickers per pack)",$62.00,1,To much money for some stickers that going be on the trash sooner,negative
2,Sports Collectibles,PANINI FIFA WORLD CUP QATAR 2022 STICKER BOX (50 packs x 5 stickers),$60.00,4,"Description says album + sticker box, I only recieved the stickers, but not the albums ….",positive
3,Sports Collectibles,PANINI FIFA WORLD CUP QATAR 2022 STICKER BOX (50 packs x 5 stickers),$60.00,3,This one does not bring the album just the stickers. Cheaper than panini…. 🤔,fair
4,Sports Collectibles,PANINI FIFA WORLD CUP QATAR 2022 STICKER BOX (50 packs x 5 stickers),$60.00,5,"Play Video
 50 packs with 5 players each, I thought it was a scam and I was scared of buying not gonna lie, but I buy and I got my thing!! I got MESSI AND LEWANDOWSKI 😭😭",positive
5,Sports Collectibles,PANINI FIFA WORLD CUP QATAR 2022 STICKER BOX (50 packs x 5 stickers),$60.00,1,Missing tbe album. On the original description it included the album. However I didnt received the album.,negative
6,Sports Collectibles,PANINI FIFA WORLD CUP QATAR 2022 STICKER BOX (50 packs x 5 stickers),$60.00,1,The box was broken when I received it,negative
7,Sports Collectibles,2022 Topps Series 1 Baseball Trading Cards Blaster Box (99 cards per box),$28.25,5,The box of 99 baseball cards arrived promptly as promised and my 11 year old grandson was really excited and happy with this birthday gift. I'm not a big baseball fan so I can only judge by the smile on his face that this was a welcome gift. It was shipped to my mailbox promptly as promised and in excellent condition.,positive
8,Sports Collectibles,2022 Topps Series 1 Baseball Trading Cards Blaster Box (99 cards per box),$28.25,5,Pulled a wander Franco refractor rookie,positive
9,Sports Collectibles,2022 Topps Series 1 Baseball Trading Cards Blaster Box (99 cards per box),$28.25,5,Product came on time. My grandson was thrilled with the cards he got.,positive
10,Sports Collectibles,2022 Topps Series 1 Baseball Trading Cards Blaster Box (99 cards per box),$28.25,5,Fast shipping; sturdy packaging; came as advertised,positive
11,Sports Collectibles,2022 Topps Series 1 Baseball Trading Cards Blaster Box (99 cards per box),$28.25,4,"Although I didn't get any hits, that's the chance you take. I had no problems with the product or dealer... the delivery is a different story.",positive
12,Sports Collectibles,2022 Topps Series 1 Baseball Trading Cards Blaster Box (99 cards per box),$28.25,5,2022 hanger boxes aren’t really going to get you your money back. But good gifts to kids.,positive
13,Sports Collectibles,2022 Topps Series 1 Baseball Trading Cards Blaster Box (99 cards per box),$28.25,5,Great cards to collects or sell them!!,positive
14,Sports Collectibles,2022 Topps Series 1 Baseball Trading Cards Blaster Box (99 cards per box),$28.25,5,I feel like it was a great but for a gift,positive
15,Sports Collectibles,2022 Topps Series 1 Baseball Trading Cards Blaster Box (99 cards per box),$28.25,5,Our grandson was thrilled,positive
16,Sports Collectibles,2022 Topps Series 1 Baseball Trading Cards Blaster Box (99 cards per box),$28.25,5,"Appeared sealed from factory, cards were in mint condition and was good value for the money. As far as I can tell you got the most cards for your money vs other sellers I considered.",positive
17,Sports Collectibles,100 Vintage Baseball Cards in Old Sealed Wax Packs - Perfect for New Collectors,$13.95,5,Easy Order / Fast Delivery /,positive
18,Sports Collectibles,100 Vintage Baseball Cards in Old Sealed Wax Packs - Perfect for New Collectors,$13.95,5,Good names,positive
19,Sports Collectibles,100 Vintage Baseball Cards in Old Sealed Wax Packs - Perfect for New Collectors,$13.95,5,"Not only was is fun opening the same packs of baseball cards I used to when I was a kid but I also got a 1990 Bowman Frank Thomas Rookie card in one of the unopened packs. All the packs where still factory sealed and i not only got that Frank Thomas rookie card but I also got several other stars and hall of famers as well.. Cal Ripken jr, Don Mattingly, Jose Canseco, Rafael Palmerio, Nolan Ryan, Will Clark, Carlton Fisk, Dale Murphy, Joe Carter, Jim Abbott, Mike Greenwell.. To name a few.. Over all an amazing buy even if i didn't get the Frank Thomas rookie i'd still be happy with my purchase...",positive
20,Sports Collectibles,100 Vintage Baseball Cards in Old Sealed Wax Packs - Perfect for New Collectors,$13.95,4,I got a few good names. Then a Sammy Sosa Star Rookie Card showed up I would post an image but I feel less handling is better for value.,positive
21,Sports Collectibles,100 Vintage Baseball Cards in Old Sealed Wax Packs - Perfect for New Collectors,$13.95,5,It was a gift for my grandson and he loved it,positive
22,Sports Collectibles,100 Vintage Baseball Cards in Old Sealed Wax Packs - Perfect for New Collectors,$13.95,3,Just like I remembered,fair
23,Sports Collectibles,100 Vintage Baseball Cards in Old Sealed Wax Packs - Perfect for New Collectors,$13.95,2,"So This is not expensive so you get what you pay for. I was looking for a bit of fun for my child. The packs we got were some of the old generic clear three packs then a freer and some other wax package. One pack was obviously opened before. This was bought to be a little treasure hunt. I do not buy scratch off tickets that are already scratched off. Likewise, I prefer card packs to be unopened. So my guess is that one will not have any treasure. So I am feeling a little meh about it. Just send 5 wax sealed packs and I think I would be happy. Other reviews said the same thing so I cannot be too disappointed.",negative
24,Sports Collectibles,100 Vintage Baseball Cards in Old Sealed Wax Packs - Perfect for New Collectors,$13.95,3,They where what they advertised,fair
25,Sports Collectibles,100 Vintage Baseball Cards in Old Sealed Wax Packs - Perfect for New Collectors,$13.95,4,"Not sure that when someone writes NO good cards, they open them and take out the good ones is actually true. I am guessing they are either a competitor wanted to write bad reviews or what, but I bought 2 sets of these for my son and 26 dollars spent, we got some pretty good cards.
Mike Mussina Rookie $45
Mike Boddick Rookie $25
Ken Griffey Jr $80
and about 15 other cards that are now is protective sleeves for future worth all averaging around 15 dollar a piece. So either I got packs by mistakes or some reviews cant be trusted.

Will buy again.",positive
26,Sports Collectibles,100 Vintage Baseball Cards in Old Sealed Wax Packs - Perfect for New Collectors,$13.95,5,"As always , great cards from a great seller & for an amazing price too",positive
27,Sports Collectibles,2022 Topps Series 1 Baseball Trading Cards Hanger Box (67 Cards),$18.90,5,The Topps Baseball Cards make a great addition to my grandson's collection. He is 10 years old and loves to get baseball cards.,positive
28,Sports Collectibles,2022 Topps Series 1 Baseball Trading Cards Hanger Box (67 Cards),$18.90,1,Both boxes arrived damaged. Cards not in original factory sealed packaging. Pretty certain these have been presorted cards. Shameful!,negative
29,Sports Collectibles,2022 Topps Series 1 Baseball Trading Cards Hanger Box (67 Cards),$18.90,1,Thanks,negative
30,Sports Collectibles,2022 Topps Series 1 Baseball Trading Cards Hanger Box (67 Cards),$18.90,5,New season exciting time.,positive
31,Sports Collectibles,2022 Topps Series 1 Baseball Trading Cards Hanger Box (67 Cards),$18.90,5,I have been collecting Topps cards from the late 70's.,positive
32,Sports Collectibles,2022 Topps Series 1 Baseball Trading Cards Hanger Box (67 Cards),$18.90,5,What a great deal. All our boxes were primo,positive
33,Sports Collectibles,2022 Topps Series 1 Baseball Trading Cards Hanger Box (67 Cards),$18.90,3,Disappointed in 4 boxes I've purchased hoping for at least 1 autograph but no.,fair
34,Sports Collectibles,2022 Topps Series 1 Baseball Trading Cards Hanger Box (67 Cards),$18.90,,"2021を購入したときは数枚毎　きちんとパッケージの袋に入っていましたが、この2022は67枚全てがもう一まとめ、透明袋に入っています。
やはり その思惑通り 大谷くんのカードは1枚も入っていませんでした。出品者の詐欺じゃないでしょうか。",fair
35,Sports Collectibles,100 Vintage Football Cards in Old Sealed Wax Packs - Perfect for New Collectors,$16.95,4,"I collect Baseball cards and decided to get into football cards as well. I got 2 bundles and I am happy with what I got. Only one double card. I also got A Joe Montana, Dan Marino, Icky Woods, Boomer Esiason, Howie Long, Don Shula and Chuck Knolls Coaches cards. I am pretty happy with what I got. A good start for a casual collector.",positive
36,Sports Collectibles,100 Vintage Football Cards in Old Sealed Wax Packs - Perfect for New Collectors,$16.95,5,This was so much fun. Pulled several Joe Montana cards and some Bo Jackson! Def will buy again. Cards were in amazing shape.,positive
37,Sports Collectibles,100 Vintage Football Cards in Old Sealed Wax Packs - Perfect for New Collectors,$16.95,5,"The package arrived early, the packs looked to be in mint condition and the cards were all what I'd consider pack fresh. The value is tremendous considering some of the cards I got. I had a very fun time opening them and I pulled two Joe Montana cards and an Emmit Smith card and all were in mint condition. Very happy with my purchase and I already ordered some more.",positive
38,Sports Collectibles,100 Vintage Football Cards in Old Sealed Wax Packs - Perfect for New Collectors,$16.95,5,This was awesome made me remember all the cards that I've had before. I love this alot and I can't wait to get them graded,positive
39,Sports Collectibles,100 Vintage Football Cards in Old Sealed Wax Packs - Perfect for New Collectors,$16.95,4,"Overall it was a fun rip for the value. My daughter enjoyed going through them. The only thing that I was a little disappointed with was that I ordered 2 and both bags had the same exact packs, so it didn't seem that random.",positive
40,Sports Collectibles,100 Vintage Football Cards in Old Sealed Wax Packs - Perfect for New Collectors,$16.95,5,Xmas gift I know he's gonna love it,positive
41,Sports Collectibles,100 Vintage Football Cards in Old Sealed Wax Packs - Perfect for New Collectors,$16.95,4,Good variety,positive
42,Sports Collectibles,100 Vintage Football Cards in Old Sealed Wax Packs - Perfect for New Collectors,$16.95,5,on time and awesome packs,positive
43,Sports Collectibles,100 Vintage Football Cards in Old Sealed Wax Packs - Perfect for New Collectors,$16.95,4,Bought for my partner who is an avid collector. She said it came with a good variety of cards. They were also all in good shape. Good value for the price.,positive
44,Sports Collectibles,100 Vintage Football Cards in Old Sealed Wax Packs - Perfect for New Collectors,$16.95,5,was fun ripping 32 year old unopened packs pulled a Bo Jackson too,positive
