,cate,product,cost,review_star,review,tag
0,Tools & Home Improvement,Brita Standard Water Filter,$13.29 - $51.29,5,"I live across the road from the Potomac River. Our water has always tasted very chlorinated in this location, but was tolerable to drink from the tap. I prefer room temp water and am not picky, but my husband wants chilled water and turns his nose up on the tap, so not having a refrigerator dispenser, we’ve had a Brita pitcher for some time. From a promo years back, I’ve just been accustomed to using the long term filters from the beginning, and they’ve seemed to have done their purpose, even if I think it’s more of a placebo effect for hubby.

Back in March suddenly one day our water was so badly chlorinated, it even smelled of bleach. We didn’t think much of it, but randomly listening to NPR a local DMV blurb said that areas where drinking water was sourced from the Potomac river were being maintained and with some sort of treatment, so water services would be disrupted in short intervals, and the taste of chlorine would be more noticeable but would be safe and temporary. Three months later it is still intolerable. My cats even have an aversion which is scary.

Anyway, our Brita pitcher was barely touching the chlorine. It was making a small difference, but it was still bad. We’ve definitely definitely been drinking less water, and I change up my cat fountain filter more often and refill from our filtered pitcher to help them. Realizing it was probably time to change the filter anyway (do those light indicators work for anyone???) I took into consideration that perhaps the long lasting filters may not work as good as the regular. I mean, why have the two options of there wasn’t an advantage to the short term one?

First off: Whoa. I had ZERO idea that a Brita could be filled so quickly. I thought that the obnoxious slow drip was just standard for being filtered. Wrong! I could actually finally fill the entire pitcher from empty without having to wait forever for the reservoir to empty, walking away and coming back in trips to the sink. Better yet? This quick filtering process actually does a substantially better job!

I nearly cried just now when I poured a glass of chilled water for the first time from this standard filter. No chlorine! I can stomach water again.

The convenience of refills and maintaining being healthy and hydrated will outweigh any costs of slightly more frequent replacement.",positive
1,Tools & Home Improvement,Brita Standard Water Filter,$13.29 - $51.29,4,"The water at my place used to taste great 5-7 years ago. Since then it has gotten and continues to worsen in both taste and smell. I bought a Brita pitcher and once the original filters were used up, I bought these. They do a great job taking out the stink and awful taste.

At the same time, the water has no flavor good or bad. It makes me wonder if there are any good minerals left in the water at all. Without minerals in the water, the water dilutes and flushes away the minerals in the body that we need to be healthy. While these minerals, vitamins and other nutrients need and can be replaced, that is an expensive and difficult process. The best sources are through diet, but that is already difficult and we can only eat so much in a sitting and or day.

There are water dispensers out there with filters filter systems out there that leave the good stuff behind leaving the water tasting fabulous, clean, refreshing, and satisfying. The satisfying because the good nutrients are still in the water.

These filters Do last a long time. I go over 6 months regularly. But, I am only 1 person and I don’t drink nearly enough water.

The filter can float up out of place when filling the water reservoir if not securely inserted into place.

The filter will sometimes fall or pop out of place when pouring a glass of water. When this happens with the lid is on, the lid pops off with a lot of force causing big splashing and dumping of water. This happens even when it’s positioned correctly and checked to make sure it’s and secure. Sometimes this happened even when I’ve poured some other glasses from the same batch of added water before the mishap. The water mess can cause time consuming and frustrating cleanup. It can cause permanent and/or costly damage to items such as furniture, carpeting, clothing, and paper products including personal and professional photos, documents and books, etc. The spills can also cause cooking/baking processes to be interrupted and/or damaging to whatever you are making.

The filters aren’t cheap, but given how much longer they last than the standard filter, they have less environmental impact. When I first bought the pitcher, there were boxes for sale that had 4 or more filters in it. I haven’t seen those available in a while and the price per unit has gone up quite a bit on buying 1 or 2 packs. I wish they could make a filter out of stainless steel with a natural fibers and filtering substances, like charcoal, but not necessarily charcoal.

Recap: The product is a mixed bag.

Pros:
Price: less than monthly filter replacement and other water filtering products.

Convenience: easier than monthly replacement. Less time spent buying.

Filter effectiveness: Can get out the things in water that make it taste and smell bad. (Results will vary depending on where you live, water pipe ages and materials the pipes are made of, (in your home, neighborhood, town, county), public water treatment plants, well water and water sources, polluting sources nearby, what is the water, etc.)

Cons:

Filtering: so effective the water ends up flushing out and/or diluting the minerals, vitamins, and other nutrients one needs for a healthy body.

Filter can float out of place when filling the reservoir.

Filter can and does sometimes fall or pop out of place which causes the pitcher lid to forcefully pop off, time consuming cleanup, damage to food products (and inadvertently cause damage the products used to cook and bake), at any time during and after the process, and can cause costly repairable damage and/or costly permanent damage to personal and professional, items from inexpensive to very expensive.

3) Causes permanent environmental damage.

4) Expensive to buy.",positive
2,Tools & Home Improvement,Brita Standard Water Filter,$13.29 - $51.29,5,"I live in the rural outskirts of Tampa with a well pumping hard groundwater to our house without any softener or filtration system in place. There has always been a slight oily sheen on the surface of a glass of said water, and within 2-3wks, the shower heads all start plugging from iron and calcium deposits.

Britta changed all of that (at least taste/consumption-wise). I exclusively drink water passed through these filters because the difference is night and day! They don't last as long as they clearly should for the price (I get 6wks max. out of each), but given how well they work I still feel the value for money is the best compared to the competitors.",positive
3,Tools & Home Improvement,Brita Standard Water Filter,$13.29 - $51.29,5,"I used to buy the 36 packs of bottled water at the grocery store, and I try to stay hydrated and at $4 a pack, I went through quite a bit (plus created a lot of plastic waste, as there isn’t easy recycling in my area). Switched to Brita a few months ago and haven’t looked back. The filters stay good for about 3 months and the price on this pack is definitely a good deal (and tastes better!) than bottled water. Cheaper on Amazon than in store too. I’ll be back in quite a few months ordering some more.",positive
4,Tools & Home Improvement,Brita Standard Water Filter,$13.29 - $51.29,5,"I have longer wanted a Brita and finally purchased one for the purpose of consuming much more water. It's easy to use and I like the fact that I can purchase filters that last six months which equals better value and much less waste. The first two days I couldn't stop drinking water. It tastes THAT MUCH BETTER than the untreated tap water. Thank you, Brita!",positive
5,Tools & Home Improvement,Brita Standard Water Filter,$13.29 - $51.29,5,"When Brita came out in the 90s, their filters cost about $8 each, filtered lead and harmful things, and lasted a good month or two.

Over the years, they appear to have snuck in cheap junk in the same white case, since bottled water is still $1 a gallon and they had to compete on price. The new filters last a few days or a week or two, don't filter lead, and often fail and grow mold. For a price that is suspiciously unchanged since the 90s. Yes, the price of a white filter from Brita has remained unchanged for almost 30 years! That should be a red flag that corners were cut.

Well, you get what you ( don't ) pay for. Filters today of good ( original ) quality should be $12-$15 each purely based on inflation. Which these are - just now in a blue plastic container.

Bottom line - if you MUST have filtered water in your area, this will work as advertised. The white basic ones simply do not.",positive
6,Tools & Home Improvement,Brita Standard Water Filter,$13.29 - $51.29,5,"I followed the instructions exactly as it said to prepare it for use. And the filter works perfectly. It flows faster than the Kirkland brand standard filter. I've been using it for 3 weeks now, and so far, so good. I'll be ordering another one for my other Brita pitcher.",positive
7,Tools & Home Improvement,Brita Standard Water Filter,$13.29 - $51.29,4,"If you have the earlier version like in my picture you may wonder if these with the thinner top fit. They do. The old style counter in my picture won't fit on the new version. It was not very reliable as a counter anyway, so I always changed filters based upon months of use.

I've seen people complain these will float up when you fill the pitcher. Also that they let water go around the lip of the filter meaning it gets no filtering. Or that you needed to add an O-ring. If so you don't have it seated fully. The old one would just drop in and seal fine. This one you need to wet the lip and then once you drop it in you will need to push quite hard on the top of it. It will slip in another 1/8th of an inch and you'll feel it bottom out. Now it won't bypass the filter or float up. If you check the bottom of the filter once installed, and you can wiggle it about with your finger it is not seated. Once seated it will be firm and your finger won't be able to wiggle it.",positive
8,Tools & Home Improvement,Brita Standard Water Filter,$13.29 - $51.29,5,"I’ve been needing to replace my water brita filter but everytime I went to a store they didn’t have any in stock! (Or I just couldn’t find them😂😅)

So I finally ordered them and thank god they fit- I was nervous about that too.
Easy to install and lasts a good while, I wish they were a little bit more affordable, But If a filtered water system is what you use then it’s a great product!",positive
9,Tools & Home Improvement,Brita Standard Water Filter,$13.29 - $51.29,5,I used to drink tap water in NY then I found this filter. It’s very easy to setup and starts filtering water in no time. Need to change filter in 2 months.,positive
