,cate,product,cost,review_star,review,tag
0,Toys & Games,"Crayola Colored Pencils, Assorted Colors",$5.97 - $64.88,4,"Crayola Colored Pencils, No Repeat Colors, 120 Count
I hesitated buying these because I have the Prismacolor 132 set, and a few other brands, including the Crayola 50 set. I finally caved because this set has 120 colors & it was a Prime deal.

Crayola pencils are harder than Prismacolor so they hold a point longer. I don't have to sharpen them as often. I haven't sharpened any yet, so I can't comment on bad wood, broken lead etc.
These don't blend as nicely as Prismacolor, but they do blend. Crayola pencil colors aren't as vibrant or rich as Prismacolor. I have to press harder to get more color on the page. However, I always begin coloring with a light pressure & go over it to intensify the color.
So far none of the colors I've used have been scratchy. If you've ever used a scratchy colored pencil, you'll understand what I mean.

In the attached picture, for the hair, I blended Red Violet topped with Raspberry. I was going for an aubergine shade & almost accomplished it. My phone did not take an accurate color of my picture. The actual color ended up deeper & richer than the photo. (I gave up trying to edit the photo to depict the correct color.)
For some reason, I colored the beads first with Tickle Me Pink, when I decided on the color of the elk, not sure what it is, the beads were too light so I went over them with Fiery Rose. That color is showing fairly accurate in the photo. The greens are off slightly too.

The pencils don't have numbers, but they do have color names which can be hard to read depending on your lighting. There aren't any metallic colors. I wanted silver for the crown, but used warm gray in its place.

I thought I was going to have problems with the flimsy box, but the pencils are packaged in lift out containers, 2 containers hold 36 pencils each, & 2 containers hold 24 each. The containers have a tall side which is designed to be put back in the box with the tall side against the side of the box, storing them this way will make the box stronger. I think I'll label each container with the color names & swatched colors showing the pencils in that box.

So far I've had a great experience with this set of 120 colors. I feel they are a good value for a budget colored pencil.

The photo is from Dimensions: A 3D-Inspired Coloring Book, François Gautier (Author)",positive
1,Toys & Games,"Crayola Colored Pencils, Assorted Colors",$5.97 - $64.88,5,The box came in perfect condition minus the tape that was put on it and tore it a little when I tried to open it. The color variety matches exactly with the box so no missing colors and they work perfect for coloring! Does not include a pencil sharpener however which may be a downside for some people.,positive
2,Toys & Games,"Crayola Colored Pencils, Assorted Colors",$5.97 - $64.88,5,"My mom colors alot of adult coloring books. These pencils have a nice assortment of colors. Crayola pencils last longer and the lead doesn't break, especially when sharpening them, like other brands do.",positive
3,Toys & Games,"Crayola Colored Pencils, Assorted Colors",$5.97 - $64.88,5,I just wanted some decent economically-priced colored pencils so I ordered these. They work well. I can use light pressure for a touch of color or heavier pressure for more saturation. They blended well-enough with other colors to do shading.,positive
4,Toys & Games,"Crayola Colored Pencils, Assorted Colors",$5.97 - $64.88,4,I ordered these to go along with another set of more expensive pencils. They have some shades that my other set doesn’t have. They color nice but they’re not very vibrant. They’re harder pencils than my others and they don’t break when I sharpen them. The downside is the packaging and the printing on the pencils. It’s hard to read the colors and numbers. But overall they’re worth the money.,positive
5,Toys & Games,"Crayola Colored Pencils, Assorted Colors",$5.97 - $64.88,5,This is exactly what I needed to create a variety of nail art showcasing my creativity and colored designs!!! With a multitude of colors I can really make my art more on point with the colors and designs I want to articulate to my clients.,positive
6,Toys & Games,"Crayola Colored Pencils, Assorted Colors",$5.97 - $64.88,5,The colors in this package are perfect for our creative 5 year old. He was excited to have so many options.,positive
7,Toys & Games,"Crayola Colored Pencils, Assorted Colors",$5.97 - $64.88,5,Color to color your life.,positive
8,Toys & Games,"Crayola Colored Pencils, Assorted Colors",$5.97 - $64.88,5,They are the best,positive
9,Toys & Games,"Crayola Colored Pencils, Assorted Colors",$5.97 - $64.88,5,Every color you will ever want or need !,positive
10,Toys & Games,"Pokémon Assorted Cards, 50 Pieces",$5.42,5,"My photo isnt a great fan out picture, but my son wanted his cards so I had to take a quick shot.
I took a gamble with this purchase after seeing all the repeat cards reviews. I first checked out the most recent reviews and saw mostly positive, so I gave it a shot. $5 for 50 ... worth a shot.
Very happy with my purchase. Out of 50, we just got one double and one triple, which it totally fine with us. Obviously no one wants repeats, but when you buy those packs at the store... you risk that too sooooooo... whatever.
My son is brand new to the pokemon world and has a couple of friends who like to play, so I got this for him as a start. If he starts to get really into it, we'll get him more advanced card and packs at the stores. For now, we got exactly what they said in the description and my son is very happy.
I cant say if you purchase this you WONT get an overwhelming amount of repeats, but you many very well get a nice versatile deck. I do wish I would've gotten the 100 pack instead....next time.",positive
11,Toys & Games,"Pokémon Assorted Cards, 50 Pieces",$5.42,4,"I bought this pack for my 7 year old Pokemon fanatic. We received more duplicates than I had expected. He only got 1 fire Pokemon and no electric Pokemon. Which is what he was hoping for. Pikachu specifically which I know is a rare find, and told him so. The cards were new and in good condition. They are good quality, not cheap looking. All in all a decent buy for $6.99",positive
12,Toys & Games,"Pokémon Assorted Cards, 50 Pieces",$5.42,5,"This was perfect! I couldn't be more happy. No duplicates. Many of the stage 1 cards had the accompanying basic Pokemon in the set too. Good variety. Only about 6 energy cards and 5 trainer cards, the rest were all pokemon. Perfect!! Will be purchasing again. Can't believe what a great value this is compared to what they offer in the stores.",positive
13,Toys & Games,"Pokémon Assorted Cards, 50 Pieces",$5.42,4,"32 Unique Cards, 18 doubles, so it is actually 50 cards total. 2 sets of triples. 7 energy, 10 trainer cards. 3 Stage 1 and 30 Basic.

Ok purchase for a young kid just starting out to play with, wanting some random cards, or to use for Pokemon craft or something if you need some extras.",positive
14,Toys & Games,"Pokémon Assorted Cards, 50 Pieces",$5.42,5,"Esta fue una excelente inversión, fue para mis hijos quienes hasta ahora están conociendo acerca de las cartas de Pokémon y están encantados. No sé si estas cartas son o no originales, pero la calidad es muy buena y en el paquete de 50 cartas solo 2 salieron repetidas. Algo que creo que es importante tener en cuenta es seleccionar el vendedor que mejor calificaciones tenga.",positive
15,Toys & Games,"Pokémon Assorted Cards, 50 Pieces",$5.42,4,"I purchased for a gift for a friend’s son Easter basket and I didn’t realize they weren’t going to come with original package. They came in a ziploc bag. There wasn’t many duplicates which was nice, but I had to explain to my friend that, that was the way they came.",positive
16,Toys & Games,"Pokémon Assorted Cards, 50 Pieces",$5.42,4,"Like new cards. Nothing special, just your basic kinds of cards. No holos or V/Vmax/etc. but if you're just looking for cards to add to your playing decks, not a bad deal.",positive
17,Toys & Games,"Pokémon Assorted Cards, 50 Pieces",$5.42,4,It is exactly as advertised,positive
18,Toys & Games,"Pokémon Assorted Cards, 50 Pieces",$5.42,4,"My last comment was taken down
So far the best 50 cards for 5 bucks, plus shipping
$1.50 worth of holo's",positive
19,Toys & Games,"Pokémon Assorted Cards, 50 Pieces",$5.42,4,"I am pretty satisfied with my purchase.
Good buy.
Came intact, little to no duplicates even across packs, I bought 4.
Don't expect any special cards, there aren't any.
Only commons mostly character cards, few trainers.
Great for beginner play.
Good variety of cards.
Review the seller before purchase.
I bought from TNLG Trading.",positive
20,Toys & Games,"Play-Doh Modeling Compound 10-Pack Case of Colors, Non-Toxic, Assorted, 2 oz. Cans, Ages 2 and up, Multicolor (Amazon Exclusive)",$7.99,5,These are the small playdohs which are perfect for 2-3 year olds I would say! I brought this for my toddler and she loved playing with all the different colors. The best thing was its very easy too clean.. I have wood floors and it comes right up. Not sure about carpet but it mostlikely depends on how deep the playdoh gets.. she has alittle rug in her room and I was still able to pick up the pieces easily. Overall you cant beat the price! Kids love it and can learn with the colors!,positive
21,Toys & Games,"Play-Doh Modeling Compound 10-Pack Case of Colors, Non-Toxic, Assorted, 2 oz. Cans, Ages 2 and up, Multicolor (Amazon Exclusive)",$7.99,5,"Bought these for CDC class. I saw them for a good deal and the teacher had requested some.

I no longer have kids in school however teachers have to buy A LOT with their own money. I try to donate a lot of supplies yearly",positive
22,Toys & Games,"Play-Doh Modeling Compound 10-Pack Case of Colors, Non-Toxic, Assorted, 2 oz. Cans, Ages 2 and up, Multicolor (Amazon Exclusive)",$7.99,5,"I love this pack of 10 play doh containers. They are small enough to travel with and since I have 10, I can just throw them out as we go. We purchased these for entertainment on an airplane and it worked really well for us!",positive
