,cate,product,cost,review_star,review,tag
0,Video Games,Nintendo eShop Gift Card,$5.00 - $99.00,5,I just found out today that the Ultra Pokémon versions had just been released recently and wanted to play it right away without having to order the game and wait for it to arrive at my doorstep. I didn’t want to enter all my new credit card info onto the game console so I decided to go the Amazon route. Buying the ecash gift card allowed me to input the code to add funds in the Nintendo eshop so I was able to purchase the game right from the Nintendo 3ds xl and download it right away. I highly recommend this for people who don’t want to wait for their Nintendo gift card to arrive in the mail.,positive
1,Video Games,Nintendo eShop Gift Card,$5.00 - $99.00,4,Took me a bit to do just now. I tried putting the codes on my switch and kept denying me. (I got two $5 cards since the $10 wasn't available lol) well anyways fast forward 30 min later lol... I just went on Nintendos website and put it on my account. Checked my switch and boom there was the $10! Now time to figure out if I can use it on my 3ds like Google says 😭😂,positive
2,Video Games,Nintendo eShop Gift Card,$5.00 - $99.00,5,So far so good. I've never had a problem with e shop cards thru Amazon digital. (Knock on wood) but it seems that stores dont carry $5 cards so gotta go thru an online store. Just took a couple of minutes to get.,positive
3,Video Games,Nintendo eShop Gift Card,$5.00 - $99.00,5,I got a game called cult of the lamb and it’s been pretty fun. Yes it didn’t cover the entire cost but I had gift card money on amazon not switch. So…yeah. Worked immediately.,positive
4,Video Games,Nintendo eShop Gift Card,$5.00 - $99.00,5,I get these so my nieces and nephews and I can get the game to you want on the family Nintendo,positive
5,Video Games,Nintendo eShop Gift Card,$5.00 - $99.00,5,"Ok first off if you buy a measly $5 gift shop card your either broke, or you are $1 short from buying the online purchase you were originally trying to buy. Well, for me that was the case because I was like $1 short of buying a game I wanted. Great product, but let me clear up a few things:
1. This is an ONLINE gift-card, meaning the seller won’t ship a package with the code card in it. (Yes you can buy these e-shop gift cards in stores)
2. Make sure you enter in the right code!!(after you purchase this, click the “view item” and then click a button that says something like “go to my online game purchases” and to the code should appear.) You’ll scroll down in the reviews and many say that the code doesn’t work. These are probably the people who accidentally entered in the code next to the real code that says “redemption code”, I forget what the other code is, but I think it’s your order number or something, NOT your actual redemption code.
To redeem this go on your switch to the e-shop and click on the section that says “redeem a code” then enter it in.
Your welcome, gosh that took a while to type. Anyways hope that helped.",positive
6,Video Games,Nintendo eShop Gift Card,$5.00 - $99.00,5,"Really easy transaction for this gift card. After the purchase, I immediately had an email in my inbox with redemption code.

Entered code into eShop and was able to get the games I wanted without having to get out to the store.",positive
7,Video Games,Nintendo eShop Gift Card,$5.00 - $99.00,5,the nintendo shop for the 3DS is still open (for now) and so i used it to buy a new wallpaper type deal! i was surprised nintendo made a gift card with such a little amount but it worked perfectly in this case!,positive
8,Video Games,Nintendo eShop Gift Card,$5.00 - $99.00,5,"I will never buy another game card at the store again, digital may not necessarily be cheaper but the time and gas I save shopping online, totally worth it. Also the redemption code was available immediately after purchase.",positive
9,Video Games,Nintendo eShop Gift Card,$5.00 - $99.00,5,I buy the 20 dollars gift card and it was really fast I got no trouble at all.So I’m really satisfied with this buy :D,positive
10,Video Games,Xbox Gift Card [Digital Code],$10.00 - $100.00,5,"If you dont want to drive to the store in your pajamas , to get money for a purchase on your xbox system , or to add on a game with game pass , this is the instant way to do it from your computer screen .
Simply buy the gift card on amazon , ( make sure its the digital code card ) and Amazon sends you the access code to your email box . Open the email , get the access code , then click on connect to microsoft .com ...which automatically grants it to your ( xbox Login ) account . Took me less than a minute .
Then Fire up your xbox , login , and you go to purchase any game youll see you have money in the xbox wallet already . Its That simple . ( Highly Recomended )",positive
11,Video Games,Xbox Gift Card [Digital Code],$10.00 - $100.00,5,"I'm on PC and I wanted to buy Dolby Atmos. For some reason it didn't work with my credit card, I found out you can add funds to your account using these cards. Worked perfectly.",positive
12,Video Games,Xbox Gift Card [Digital Code],$10.00 - $100.00,5,This is the first wireless charger I have ever purchased and it is fantastic! My 🍎 watch and phone right in the same place…nothing could be better!,positive
13,Video Games,Xbox Gift Card [Digital Code],$10.00 - $100.00,5,I sent this to my friend and it worked?,positive
14,Video Games,Xbox Gift Card [Digital Code],$10.00 - $100.00,5,Always come to Amazon for my gift card for xbox,positive
15,Video Games,Xbox Gift Card [Digital Code],$10.00 - $100.00,5,very fast reload xbox,positive
16,Video Games,Xbox Gift Card [Digital Code],$10.00 - $100.00,5,I ordered this and instantly got the code. Used it to purchase the fall guys battle pass ofc,positive
17,Video Games,Xbox Gift Card [Digital Code],$10.00 - $100.00,5,It's and Xbox card not much needed to say.,positive
18,Video Games,Xbox Gift Card [Digital Code],$10.00 - $100.00,5,Loved it. So did my son 😂,positive
19,Video Games,Xbox Gift Card [Digital Code],$10.00 - $100.00,5,Great product,positive
20,Video Games,Roblox Digital Gift Card - 800 Robux [Includes Exclusive Virtual Item] [Online Game Code],$9.40,5,"Never thought to purchase a Roblox card from Amazon, but when they put it on sale, I was in.
Been buying Roblox cards for 5 years now.
Birthdays and Christmas for 8 to 14 year old children.
They love these things, but buy the $25 or $50 mostly.
During holiday time it hard to get your hands on them from Walmart, let alone load them.
Digital is the perfect answer. Works the same way, but they send in an email with the code.
Win win. Try it.",positive
